,Unnamed: 0,DCA License Number,License Type,License Expiration Date,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code,Address_full,total_violations,active_violations,ecb_violations,acrive_ecb_violations,geo_address,geocoded,lat,lon
10,10,2103419-DCA,Business,04/25/2022,LAZ PARKING NEW YORK/NEW JERSEY LLC,0,25,COLUMBIA HEIGHTS,0,BROOKLYN,NY,11201,7184042575,Brooklyn,3.0,25 COLUMBIA HEIGHTS,0.0,0.0,13.0,0.0,25 COLUMBIA HEIGHTS NY 11201,"(40.7019286, -73.993884)",40.7019286,-73.993884
11,11,2105250-DCA,Business,07/17/2022,EVERYTHING PARKING INC,Park Inc,2201,NOSTRAND AVE,0,BROOKLYN,NY,11210,7043771755,Brooklyn,3.0,2201 NOSTRAND AVE,0.0,0.0,0.0,0.0,2201 NOSTRAND AVE NY 11210,"(40.6312212, -73.9467112)",40.6312212,-73.9467112
12,12,1217500-DCA,Business,12/22/2019,220 RIVERSIDE PARKING LLC,0,220,RIVERSIDE BLVD,0,NEW YORK,NY,10069,2126869800,Manhattan,1.0,220 RIVERSIDE BLVD,0.0,0.0,0.0,0.0,220 RIVERSIDE BLVD NY 10069,"(40.7798567, -73.9873973)",40.7798567,-73.9873973
13,13,2101983-DCA,Business,04/27/2022,786 PARKING 1 CORP,0,747,CONCOURSE VLG W,0,BRONX,NY,10451,7186180276,Bronx,2.0,747 CONCOURSE VLG W,0.0,0.0,0.0,0.0,747 CONCOURSE VLG W NY 10451,"(40.8230377, -73.9236305)",40.8230377,-73.9236305
14,14,2081072-DCA,Business,03/31/2021,880 FIFTH PARKING LLC,0,880,5TH AVE,0,NEW YORK,NY,10021,0,Manhattan,1.0,880 5TH AVE,0.0,0.0,0.0,0.0,880 5TH AVE NY 10021,"(40.770654, -73.9679658)",40.770654,-73.9679658
15,15,1204520-DCA,Business,03/31/2021,MANHATTAN PARKING EAST 34TH STREET CORP.,0,333,E 34TH ST,0,NEW YORK,NY,10016,2126862508,Manhattan,1.0,333 E 34TH ST,0.0,0.0,0.0,0.0,333 E 34TH ST NY 10016,"(40.744299, -73.9740525)",40.744299,-73.9740525
16,16,1455450-DCA,Business,09/24/2014,"LAZ PARKING NEW YORK/NEW JERSEY, LLC","LAZ PARKING NY/NJ, LLC",8914,PARSONS BLVD,0,JAMAICA,NY,11432,8605227641,Queens,4.0,8914 PARSONS BLVD,0.0,0.0,0.0,0.0,8914 PARSONS BLVD NY 11432,"(40.7053451, -73.80168859999999)",40.7053451,-73.80168859999999
17,17,2097174-DCA,Business,04/24/2022,1 EZ PARK CORP,0,6298,WOODHAVEN BLVD,0,MIDDLE VILLAGE,NY,11379,9298017013,Queens,4.0,6298 WOODHAVEN BLVD,0.0,0.0,0.0,0.0,6298 WOODHAVEN BLVD NY 11379,"(40.72445810000001, -73.8696475)",40.72445810000001,-73.8696475
18,18,2068797-DCA,Business,11/23/2020,MODA CAR PARK LLC,0,8914,PARSONS BLVD,0,JAMAICA,NY,11432,212-996-6363 EXT.214,Queens,4.0,8914 PARSONS BLVD,0.0,0.0,0.0,0.0,8914 PARSONS BLVD NY 11432,"(40.7053451, -73.80168859999999)",40.7053451,-73.80168859999999
19,19,1232463-DCA,Business,03/31/2021,LAFAYETTE PLACE PARKING LLC,0,445,LAFAYETTE ST,0,NEW YORK,NY,10003,2127771659,Manhattan,1.0,445 LAFAYETTE ST,0.0,0.0,0.0,0.0,445 LAFAYETTE ST NY 10003,"(40.7295412, -73.9913066)",40.7295412,-73.9913066
20,20,2068603-DCA,Business,0,2211 3RD AVE PARKING LLC,0,2211,3RD AVE,0,NEW YORK,NY,10035,347-589-4139,Manhattan,1.0,2211 3RD AVE,0.0,0.0,0.0,0.0,2211 3RD AVE NY 10035,"(40.8011028, -73.9373438)",40.8011028,-73.9373438
21,21,2089165-DCA,Business,03/31/2025,ZANDER GARAGE LLC,0,301,ELIZABETH ST,0,NEW YORK,NY,10012,646-964-4323,Manhattan,1.0,301 ELIZABETH ST,0.0,0.0,0.0,0.0,301 ELIZABETH ST NY 10012,"(40.7249597, -73.9934249)",40.7249597,-73.9934249
22,22,2110270-DCA,Business,03/31/2025,3050 MP PARKING INC,0,3050,CORLEAR AVE,0,BRONX,NY,10463,7185817841,Bronx,2.0,3050 CORLEAR AVE,0.0,0.0,0.0,0.0,3050 CORLEAR AVE NY 10463,"(40.8800893, -73.90775030000002)",40.8800893,-73.90775030000002
23,23,2003723-DCA,Business,03/31/2023,BK PARKING GROUP INC.,0,4566,BROADWAY,0,NEW YORK,NY,10040,917-327-7488,Manhattan,1.0,4566 BROADWAY,0.0,0.0,0.0,0.0,4566 BROADWAY NY 10040,"(40.8598227, -73.9306395)",40.8598227,-73.9306395
24,24,2103992-DCA,Business,03/06/2022,CORAL CAR PARK LLC,0,525,WEST 122ND ST,0,NEW YORK,NY,10027,212-996-6363,Manhattan,1.0,525 WEST 122ND ST,0.0,0.0,0.0,0.0,525 WEST 122ND ST NY 10027,"(40.8116212, -73.95965509999999)",40.8116212,-73.95965509999999
25,25,1382731-DCA,Business,03/31/2025,"LAZ PARKING NEW YORK/NEW JERSEY, LLC",0,56-80,GREENWICH ST,0,NEW YORK,NY,10006,8605227641,Manhattan,1.0,56-80 GREENWICH ST,0.0,0.0,0.0,0.0,56-80 GREENWICH ST NY 10006,"(40.706424, -74.014718)",40.706424,-74.014718
26,26,2105671-DCA,Business,07/28/2022,Propark America New York LLC,Propark Mobility,155,Richmond Terrace,0,Staten Island,NY,10301,9144786300,Staten Island,5.0,155 Richmond Terrace,0.0,0.0,0.0,0.0,155 Richmond Terrace NY 10301,"(40.64742, -74.0805968)",40.64742,-74.0805968
27,27,1209498-DCA,Business,03/31/2023,CHAMPION PARKING 36 LLC,0,30,PARK AVE,0,NEW YORK,NY,10016,2123085959,Manhattan,1.0,30 PARK AVE,0.0,0.0,0.0,0.0,30 PARK AVE NY 10016,"(40.7483335, -73.9809404)",40.7483335,-73.9809404
28,28,2079187-DCA,Business,03/31/2021,BROOKLYN PARKING LLC,0,741,61ST ST,0,BROOKLYN,NY,11220,2123085959,Brooklyn,3.0,741 61ST ST,0.0,0.0,0.0,0.0,741 61ST ST NY 11220,"(40.6358499, -74.01118939999999)",40.6358499,-74.01118939999999
29,29,2078630-DCA,Business,03/31/2021,"IMPERIAL PARKING (U.S.), LLC",IMPARK,330,E 75TH ST,0,NEW YORK,NY,10021,212-937-8660,Manhattan,1.0,330 E 75TH ST,0.0,0.0,0.0,0.0,330 E 75TH ST NY 10021,"(40.7697616, -73.9550398)",40.7697616,-73.9550398
30,30,2057853-DCA,Business,03/31/2025,255 SCHERMERHORN STREET PARKING CORP.,0,33,BOND ST,0,BROOKLYN,NY,11201,2127367171,Brooklyn,3.0,33 BOND ST,0.0,0.0,0.0,0.0,33 BOND ST NY 11201,"(40.6883492, -73.98324099999999)",40.6883492,-73.98324099999999
31,31,1151777-DCA,Business,03/31/2025,"BROOK PARKING GARAGE, INC.",0,418,E 167TH ST,0,BRONX,NY,10456,7185888328,Bronx,2.0,418 E 167TH ST,0.0,0.0,0.0,0.0,418 E 167TH ST NY 10456,"(40.8303507, -73.9096728)",40.8303507,-73.9096728
32,32,0368822-DCA,Business,03/31/2021,OMNI PARKING LLC,0,143,W 68TH ST,0,NEW YORK,NY,10023,2126869800,Manhattan,1.0,143 W 68TH ST,0.0,0.0,0.0,0.0,143 W 68TH ST NY 10023,"(40.77552379999999, -73.9822674)",40.77552379999999,-73.9822674
33,33,0367613-DCA,Business,03/31/2025,THE BERGER'S PARKING CORPORATION,196 GARAGE,196,E 75TH ST,0,NEW YORK,NY,10021,2125358291,Manhattan,1.0,196 E 75TH ST,0.0,0.0,0.0,0.0,196 E 75TH ST NY 10021,"(40.7717341, -73.9595938)",40.7717341,-73.9595938
34,34,2054279-DCA,Business,06/13/2017,"87-10 NORTHERN BLVD PARKING, LLC",0,3306,88TH ST,0,JACKSON HEIGHTS,NY,11372,7184246555,Queens,4.0,3306 88TH ST,0.0,0.0,0.0,0.0,3306 88TH ST NY 11372,"(40.7558101, -73.88021309999999)",40.7558101,-73.88021309999999
35,35,1022575-DCA,Business,03/31/2023,"101 CAR PARK, LLC",0,101,W 23RD ST,0,NEW YORK,NY,10011,2122216111,Manhattan,1.0,101 W 23RD ST,0.0,0.0,0.0,0.0,101 W 23RD ST NY 10011,"(40.7433442, -73.9929538)",40.7433442,-73.9929538
36,36,2038250-DCA,Business,03/31/2021,"87-10 NORTHERN BLVD PARKING, LLC",0,3306,88TH ST,0,JACKSON HEIGHTS,NY,11372,7184246555,Queens,4.0,3306 88TH ST,0.0,0.0,0.0,0.0,3306 88TH ST NY 11372,"(40.7558101, -73.88021309999999)",40.7558101,-73.88021309999999
37,37,2089751-DCA,Business,03/31/2023,J P PARKING II CORP,0,4501,BROADWAY,0,NEW YORK,NY,10040,2018000358,Manhattan,1.0,4501 BROADWAY,10.0,6.0,1.0,1.0,4501 BROADWAY NY 10040,"(40.858597, -73.932045)",40.858597,-73.932045
38,38,2006294-DCA,Business,03/31/2025,"LAZ PARKING NEW YORK/NEW JERSEY, LLC",0,175,KENT AVE,0,BROOKLYN,NY,11249,8605227641,Brooklyn,3.0,175 KENT AVE,0.0,0.0,0.0,0.0,175 KENT AVE NY 11249,"(40.7180701, -73.96387279999999)",40.7180701,-73.96387279999999
39,39,2110241-DCA,Business,03/31/2025,MORNINGSIDE PARKING LLC,0,401,W 110TH ST,0,NEW YORK,NY,10025,2126869800,Manhattan,1.0,401 W 110TH ST,0.0,0.0,0.0,0.0,401 W 110TH ST NY 10025,"(40.80225, -73.96133809999999)",40.80225,-73.96133809999999
40,40,2110186-DCA,Business,03/31/2025,668 MP PARKING CORP,0,668,BUSHWICK AVE,0,BROOKLYN,NY,11221,7189441590,Brooklyn,3.0,668 BUSHWICK AVE,0.0,0.0,0.0,0.0,668 BUSHWICK AVE NY 11221,"(40.69707530000001, -73.9324385)",40.69707530000001,-73.9324385
41,41,1300931-DCA,Business,05/02/2022,"LAZ PARKING NEW YORK/NEW JERSEY, LLC",0,1,FORDHAM PLZ,0,BRONX,NY,10458,8605227641,Bronx,2.0,1 FORDHAM PLZ,0.0,0.0,0.0,0.0,1 FORDHAM PLZ NY 10458,"(40.8607715, -73.8901839)",40.8607715,-73.8901839
42,42,2038910-DCA,Business,01/13/2020,FULTON LAWRENCE PARKING LLC,0,111,LAWRENCE ST,0,BROOKLYN,NY,11201,2126869800,Brooklyn,3.0,111 LAWRENCE ST,0.0,0.0,0.0,0.0,111 LAWRENCE ST NY 11201,"(40.6928565, -73.9859924)",40.6928565,-73.9859924
43,43,2053069-DCA,Business,03/31/2021,PROPARK AMERICA NEW YORK LLC,0,920,PARK AVE,0,NEW YORK,NY,10028,9174152415,Manhattan,1.0,920 PARK AVE,0.0,0.0,0.0,0.0,920 PARK AVE NY 10028,"(40.776656, -73.96025159999999)",40.776656,-73.96025159999999
44,44,1412773-DCA,Business,03/31/2021,RECTOR WEST PARKING LLC,0,200,RECTOR PL,0,NEW YORK,NY,10280,2127864796,Manhattan,1.0,200 RECTOR PL,0.0,0.0,0.0,0.0,200 RECTOR PL NY 10280,"(40.7086444, -74.0161953)",40.7086444,-74.0161953
45,45,1293753-DCA,Business,03/31/2021,QUIK PARK STANDARD LLC,0,101,PARK AVE,0,NEW YORK,NY,10178,2128322066,Manhattan,1.0,101 PARK AVE,0.0,0.0,0.0,0.0,101 PARK AVE NY 10178,"(40.75098089999999, -73.9776329)",40.75098089999999,-73.9776329
46,46,0368546-DCA,Business,03/31/2021,CREATIVE PARKING LLC,0,16,W 16TH ST,0,NEW YORK,NY,10011,2122429635,Manhattan,1.0,16 W 16TH ST,0.0,0.0,0.0,0.0,16 W 16TH ST NY 10011,"(40.740655, -74.0005229)",40.740655,-74.0005229
47,47,1228867-DCA,Business,03/31/2021,QUIK PARK WEST 22 ST LLC,0,235,W 22ND ST,0,NEW YORK,NY,10011,2126869800,Manhattan,1.0,235 W 22ND ST,0.0,0.0,0.0,0.0,235 W 22ND ST NY 10011,"(40.7441225, -73.9972861)",40.7441225,-73.9972861
48,48,2110234-DCA,Business,03/31/2025,11 EAST 1ST STREET GARAGE LLC,0,11,E 1ST ST,0,NEW YORK,NY,10003,6465840409,Manhattan,1.0,11 E 1ST ST,0.0,0.0,0.0,0.0,11 E 1ST ST NY 10003,"(40.724342, -73.9917504)",40.724342,-73.9917504
49,49,2099665-DCA,Business,03/31/2025,VANCITY PARKING INC,0,415,GREENWICH ST,0,NEW YORK,NY,10013,6463689834,Manhattan,1.0,415 GREENWICH ST,0.0,0.0,0.0,0.0,415 GREENWICH ST NY 10013,"(40.721825, -74.00970219999999)",40.721825,-74.00970219999999
50,50,1244293-DCA,Business,03/31/2023,PACIFIC PARKING LLC,0,700,PACIFIC ST,0,BROOKLYN,NY,11217,2033212129,Brooklyn,3.0,700 PACIFIC ST,0.0,0.0,0.0,0.0,700 PACIFIC ST NY 11217,"(40.68174130000001, -73.9722702)",40.68174130000001,-73.9722702
51,51,2065872-DCA,Business,03/31/2023,PARK AMERICA CORP,0,351,E 51ST ST,0,NEW YORK,NY,10022,2124866888,Manhattan,1.0,351 E 51ST ST,0.0,0.0,0.0,0.0,351 E 51ST ST NY 10022,"(40.7548258, -73.966124)",40.7548258,-73.966124
52,52,2038904-DCA,Business,03/31/2025,247 NORTH 7TH STREET PARKING CORP,0,249,N 7TH ST,0,BROOKLYN,NY,11211,2127367171,Brooklyn,3.0,249 N 7TH ST,0.0,0.0,0.0,0.0,249 N 7TH ST NY 11211,"(40.71600970000001, -73.9545868)",40.71600970000001,-73.9545868
53,53,2081249-DCA,Business,03/31/2025,PARK 108 LLC,0,234,W 108TH ST,0,NEW YORK,NY,10025,2129299404,Manhattan,1.0,234 W 108TH ST,0.0,0.0,0.0,0.0,234 W 108TH ST NY 10025,"(40.8023408, -73.96668369999999)",40.8023408,-73.96668369999999
54,54,1331651-DCA,Business,03/31/2025,TOWER 25 PARKING LLC,0,305,E 24TH ST,0,NEW YORK,NY,10010,2126869800,Manhattan,1.0,305 E 24TH ST,0.0,0.0,0.0,0.0,305 E 24TH ST NY 10010,"(40.7384804, -73.9799178)",40.7384804,-73.9799178
55,55,1361354-DCA,Business,03/31/2025,EAST 61ST STREET PARKING GARAGE CORP.,0,150,E 61ST ST,0,NEW YORK,NY,10065,212-736-7171,Manhattan,1.0,150 E 61ST ST,0.0,0.0,0.0,0.0,150 E 61ST ST NY 10065,"(40.7631119, -73.9668867)",40.7631119,-73.9668867
56,56,0889341-DCA,Business,03/31/2025,THOMPSON ST. PARKING CORP.,0,221,THOMPSON ST,0,NEW YORK,NY,10012,2129299404,Manhattan,1.0,221 THOMPSON ST,0.0,0.0,0.0,0.0,221 THOMPSON ST NY 10012,"(40.7293325, -73.9992096)",40.7293325,-73.9992096
57,57,1386654-DCA,Business,0,"2000 PARKING GARAGE, INC.",0,2000,WHITE PLAINS RD,0,BRONX,NY,10462,3478435023,Bronx,2.0,2000 WHITE PLAINS RD,0.0,0.0,0.0,0.0,2000 WHITE PLAINS RD NY 10462,"(40.8502774, -73.86752059999999)",40.8502774,-73.86752059999999
58,58,2088835-DCA,Business,03/31/2025,30-40-60 GARAGE LLC,0,60,E 9TH ST,0,NEW YORK,NY,10003,6469644323,Manhattan,1.0,60 E 9TH ST,0.0,0.0,0.0,0.0,60 E 9TH ST NY 10003,"(40.7312988, -73.9924901)",40.7312988,-73.9924901
59,59,2105648-DCA,Business,06/07/2023,19 INDIA FEE OWNER LLC,0,10,HURON ST,0,BROOKLYN,NY,11222,212-484-0050,Brooklyn,3.0,10 HURON ST,0.0,0.0,0.0,0.0,10 HURON ST NY 11222,"(40.7320791, -73.9610316)",40.7320791,-73.9610316
60,60,1452247-DCA,Business,03/31/2021,"LAZ PARKING NEW YORK/NEW JERSEY, LLC",0,15902,JAMAICA AVE,0,JAMAICA,NY,11432,8605227641,Queens,4.0,15902 JAMAICA AVE,0.0,0.0,0.0,0.0,15902 JAMAICA AVE NY 11432,"(40.7032758, -73.79996489999999)",40.7032758,-73.79996489999999
61,61,2084204-DCA,Business,03/31/2025,142 WEST 57TH STREET PARKING CORP.,0,146,W 57TH ST,0,NEW YORK,NY,10019,2127367171,Manhattan,1.0,146 W 57TH ST,0.0,0.0,0.0,0.0,146 W 57TH ST NY 10019,"(40.76494, -73.9792549)",40.76494,-73.9792549
62,62,1409708-DCA,Business,03/31/2025,"LASALLE PARKING, LLC","HOWARD, LANCE",220,E 9TH ST,0,NEW YORK,NY,10003,2127143571,Manhattan,1.0,220 E 9TH ST,0.0,0.0,0.0,0.0,220 E 9TH ST NY 10003,"(40.7294946, -73.9883747)",40.7294946,-73.9883747
63,63,0368337-DCA,Business,03/31/2025,165 WEST 66TH STREET PARKING LLC,0,165,W 66TH ST,0,NEW YORK,NY,10023,212-686-9800,Manhattan,1.0,165 W 66TH ST,0.0,0.0,0.0,0.0,165 W 66TH ST NY 10023,"(40.7747695, -73.98396050000001)",40.7747695,-73.98396050000001
64,64,1384440-DCA,Business,03/31/2025,REX PARKING CORP.,0,10,E 153RD ST,0,BRONX,NY,10451,5166984240,Bronx,2.0,10 E 153RD ST,0.0,0.0,0.0,0.0,10 E 153RD ST NY 10451,"(40.8246015, -73.9285082)",40.8246015,-73.9285082
65,65,1256221-DCA,Business,03/31/2025,53RD STERLING PARKING LLC,0,304,E 53RD ST,0,NEW YORK,NY,10022,2126869800,Manhattan,1.0,304 E 53RD ST,0.0,0.0,0.0,0.0,304 E 53RD ST NY 10022,"(40.75640509999999, -73.9667438)",40.75640509999999,-73.9667438
66,66,0427868-DCA,Business,03/31/2025,249 PARKING CORP.,0,249,10TH AVE,0,NEW YORK,NY,10001,2126457548,Manhattan,1.0,249 10TH AVE,0.0,0.0,0.0,0.0,249 10TH AVE NY 10001,"(40.748885, -74.00362)",40.748885,-74.00362
67,67,1384437-DCA,Business,03/31/2025,REX PARKING CORP.,0,10,E 153RD ST,0,BRONX,NY,10451,5166984240,Bronx,2.0,10 E 153RD ST,0.0,0.0,0.0,0.0,10 E 153RD ST NY 10451,"(40.8246015, -73.9285082)",40.8246015,-73.9285082
68,68,1218382-DCA,Business,03/31/2025,444 MANHATTAN PARKING CORP.,0,444,MANHATTAN AVE,0,NEW YORK,NY,10026,0,Manhattan,1.0,444 MANHATTAN AVE,0.0,0.0,0.0,0.0,444 MANHATTAN AVE NY 10026,"(40.8064666, -73.955499)",40.8064666,-73.955499
69,69,2086766-DCA,Business,03/31/2025,"EAST 65TH GARAGE, LLC",0,1189,1ST AVE,0,NEW YORK,NY,10065,6469644323,Manhattan,1.0,1189 1ST AVE,0.0,0.0,0.0,0.0,1189 1ST AVE NY 10065,"(40.7631448, -73.9597689)",40.7631448,-73.9597689
70,70,2101595-DCA,Business,03/31/2025,NYC ARENA PARKING LLC,0,670,PACIFIC ST,0,BROOKLYN,NY,11217,9175668422,Brooklyn,3.0,670 PACIFIC ST,0.0,0.0,0.0,0.0,670 PACIFIC ST NY 11217,"(40.6820165, -73.9734946)",40.6820165,-73.9734946
71,71,1381712-DCA,Business,03/31/2021,CARTER PARKING CORP.,0,1841,CARTER AVE,0,BRONX,NY,10457,7917741903,Bronx,2.0,1841 CARTER AVE,0.0,0.0,0.0,0.0,1841 CARTER AVE NY 10457,"(40.846888, -73.9024544)",40.846888,-73.9024544
72,72,1458721-DCA,Business,03/31/2025,SCARLET 53 PARKING LLC,0,211,E 53RD ST,0,NEW YORK,NY,10022,2126869800,Manhattan,1.0,211 E 53RD ST,0.0,0.0,0.0,0.0,211 E 53RD ST NY 10022,"(40.7575405, -73.96835999999999)",40.7575405,-73.96835999999999
73,73,2090148-DCA,Business,03/31/2025,150 CHARLES STREET GARAGE LLC,0,150,CHARLES ST,0,NEW YORK,NY,10014,6465840409,Manhattan,1.0,150 CHARLES ST,0.0,0.0,0.0,0.0,150 CHARLES ST NY 10014,"(40.7338121, -74.0089966)",40.7338121,-74.0089966
74,74,2108225-DCA,Business,06/19/2023,RIVERSIDE BLVD. GARAGE LLC,0,120,RIVERSIDE BLVD,0,NEW YORK,NY,10069,6465840409,Manhattan,1.0,120 RIVERSIDE BLVD,0.0,0.0,0.0,0.0,120 RIVERSIDE BLVD NY 10069,"(40.7763767, -73.9891093)",40.7763767,-73.9891093
75,75,2101547-DCA,Business,03/31/2025,PENTA PARKING LLC,0,156,E 105TH ST,0,NEW YORK,NY,10029,2129299404,Manhattan,1.0,156 E 105TH ST,0.0,0.0,0.0,0.0,156 E 105TH ST NY 10029,"(40.7911593, -73.9464296)",40.7911593,-73.9464296
76,76,0901963-DCA,Business,03/31/2025,GRACIE PUBLIC PARKING CORP.,0,401,E 89TH ST,0,NEW YORK,NY,10128,2127367171,Manhattan,1.0,401 E 89TH ST,0.0,0.0,0.0,0.0,401 E 89TH ST NY 10128,"(40.7788108, -73.9473227)",40.7788108,-73.9473227
77,77,2096223-DCA,Business,03/31/2025,600 COLUMBUS PARKING CORP,0,600,COLUMBUS AVE,0,NEW YORK,NY,10024,2127367171,Manhattan,1.0,600 COLUMBUS AVE,0.0,0.0,0.0,0.0,600 COLUMBUS AVE NY 10024,"(40.7886957, -73.9709872)",40.7886957,-73.9709872
78,78,2036981-DCA,Business,03/31/2025,316 BERGEN PARKING CORP,0,312,BERGEN ST,0,BROOKLYN,NY,11217,2127367171,Brooklyn,3.0,312 BERGEN ST,0.0,0.0,0.0,0.0,312 BERGEN ST NY 11217,"(40.6833005, -73.98170979999999)",40.6833005,-73.98170979999999
79,79,2059807-DCA,Business,03/31/2023,"WOC 80 DEKALB GARAGE, LLC",0,80,DEKALB AVE,0,BROOKLYN,NY,11201,516-565-5600,Brooklyn,3.0,80 DEKALB AVE,0.0,0.0,0.0,0.0,80 DEKALB AVE NY 11201,"(40.6896359, -73.98004929999999)",40.6896359,-73.98004929999999
80,80,2106453-DCA,Business,08/08/2022,100 EAST BROADWAY PARKING CORP.,0,100,E BROADWAY,0,NEW YORK,NY,10002,2127367171,Manhattan,1.0,100 E BROADWAY,0.0,0.0,0.0,0.0,100 E BROADWAY NY 10002,"(40.7139245, -73.9933101)",40.7139245,-73.9933101
81,81,2054849-DCA,Business,03/31/2025,70TH PARK OPS LLC,0,400,E 70TH ST,0,NEW YORK,NY,10021,2129299404,Manhattan,1.0,400 E 70TH ST,0.0,0.0,0.0,0.0,400 E 70TH ST NY 10021,"(40.7661442, -73.9567938)",40.7661442,-73.9567938
82,82,2015757-DCA,Business,03/31/2025,116TH-117TH STREET PARKING CORP.,0,23,W 116TH ST,0,NEW YORK,NY,10026,2127367171,Manhattan,1.0,23 W 116TH ST,0.0,0.0,0.0,0.0,23 W 116TH ST NY 10026,"(40.8013352, -73.94746889999999)",40.8013352,-73.94746889999999
83,83,2078116-DCA,Business,03/31/2025,HOYT & SCHERMERHORN PARKING LLC.,0,45,HOYT ST,0,BROOKLYN,NY,11201,2126869800,Brooklyn,3.0,45 HOYT ST,0.0,0.0,0.0,0.0,45 HOYT ST NY 11201,"(40.6892617, -73.9857155)",40.6892617,-73.9857155
84,84,1186721-DCA,Business,03/31/2025,NICE PARK LLC,0,310,E 11TH ST,0,NEW YORK,NY,10003,2129299404,Manhattan,1.0,310 E 11TH ST,0.0,0.0,0.0,0.0,310 E 11TH ST NY 10003,"(40.7298178, -73.9857195)",40.7298178,-73.9857195
85,85,1312149-DCA,Business,03/31/2025,ENTERPRISE 40TH PARKING CORP.,0,315,E 40TH ST,0,NEW YORK,NY,10016,2127367171,Manhattan,1.0,315 E 40TH ST,0.0,0.0,0.0,0.0,315 E 40TH ST NY 10016,"(40.7482306, -73.9718505)",40.7482306,-73.9718505
86,86,1470216-DCA,Business,03/31/2025,KK ENTERPRISE GROUP INC,0,554,W 182ND ST,0,NEW YORK,NY,10033,9173277488,Manhattan,1.0,554 W 182ND ST,0.0,0.0,0.0,0.0,554 W 182ND ST NY 10033,"(40.8492821, -73.93226179999999)",40.8492821,-73.93226179999999
