,DCA License Number,License Type,License Expiration Date,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code,Address_full,total_violations,active_violations,ecb_violations,acrive_ecb_violations
38,2006294-DCA,Business,03/31/2025,"LAZ PARKING NEW YORK/NEW JERSEY, LLC",0,175,KENT AVE,0,BROOKLYN,NY,11249,8605227641,Brooklyn,3.0,175 KENT AVE,0.0,0.0,0.0,0.0
39,2110241-DCA,Business,03/31/2025,MORNINGSIDE PARKING LLC,0,401,W 110TH ST,0,NEW YORK,NY,10025,2126869800,Manhattan,1.0,401 W 110TH ST,0.0,0.0,0.0,0.0
40,2110186-DCA,Business,03/31/2025,668 MP PARKING CORP,0,668,BUSHWICK AVE,0,BROOKLYN,NY,11221,7189441590,Brooklyn,3.0,668 BUSHWICK AVE,0.0,0.0,0.0,0.0
41,1300931-DCA,Business,05/02/2022,"LAZ PARKING NEW YORK/NEW JERSEY, LLC",0,1,FORDHAM PLZ,0,BRONX,NY,10458,8605227641,Bronx,2.0,1 FORDHAM PLZ,0.0,0.0,0.0,0.0
42,2038910-DCA,Business,01/13/2020,FULTON LAWRENCE PARKING LLC,0,111,LAWRENCE ST,0,BROOKLYN,NY,11201,2126869800,Brooklyn,3.0,111 LAWRENCE ST,0.0,0.0,0.0,0.0
43,2053069-DCA,Business,03/31/2021,PROPARK AMERICA NEW YORK LLC,0,920,PARK AVE,0,NEW YORK,NY,10028,9174152415,Manhattan,1.0,920 PARK AVE,0.0,0.0,0.0,0.0
44,1412773-DCA,Business,03/31/2021,RECTOR WEST PARKING LLC,0,200,RECTOR PL,0,NEW YORK,NY,10280,2127864796,Manhattan,1.0,200 RECTOR PL,0.0,0.0,0.0,0.0
45,1293753-DCA,Business,03/31/2021,QUIK PARK STANDARD LLC,0,101,PARK AVE,0,NEW YORK,NY,10178,2128322066,Manhattan,1.0,101 PARK AVE,0.0,0.0,0.0,0.0
46,0368546-DCA,Business,03/31/2021,CREATIVE PARKING LLC,0,16,W 16TH ST,0,NEW YORK,NY,10011,2122429635,Manhattan,1.0,16 W 16TH ST,0.0,0.0,0.0,0.0
47,1228867-DCA,Business,03/31/2021,QUIK PARK WEST 22 ST LLC,0,235,W 22ND ST,0,NEW YORK,NY,10011,2126869800,Manhattan,1.0,235 W 22ND ST,0.0,0.0,0.0,0.0
48,2110234-DCA,Business,03/31/2025,11 EAST 1ST STREET GARAGE LLC,0,11,E 1ST ST,0,NEW YORK,NY,10003,6465840409,Manhattan,1.0,11 E 1ST ST,0.0,0.0,0.0,0.0
49,2099665-DCA,Business,03/31/2025,VANCITY PARKING INC,0,415,GREENWICH ST,0,NEW YORK,NY,10013,6463689834,Manhattan,1.0,415 GREENWICH ST,0.0,0.0,0.0,0.0
50,1244293-DCA,Business,03/31/2023,PACIFIC PARKING LLC,0,700,PACIFIC ST,0,BROOKLYN,NY,11217,2033212129,Brooklyn,3.0,700 PACIFIC ST,0.0,0.0,0.0,0.0
51,2065872-DCA,Business,03/31/2023,PARK AMERICA CORP,0,351,E 51ST ST,0,NEW YORK,NY,10022,2124866888,Manhattan,1.0,351 E 51ST ST,0.0,0.0,0.0,0.0
52,2038904-DCA,Business,03/31/2025,247 NORTH 7TH STREET PARKING CORP,0,249,N 7TH ST,0,BROOKLYN,NY,11211,2127367171,Brooklyn,3.0,249 N 7TH ST,0.0,0.0,0.0,0.0
53,2081249-DCA,Business,03/31/2025,PARK 108 LLC,0,234,W 108TH ST,0,NEW YORK,NY,10025,2129299404,Manhattan,1.0,234 W 108TH ST,0.0,0.0,0.0,0.0
54,1331651-DCA,Business,03/31/2025,TOWER 25 PARKING LLC,0,305,E 24TH ST,0,NEW YORK,NY,10010,2126869800,Manhattan,1.0,305 E 24TH ST,0.0,0.0,0.0,0.0
55,1361354-DCA,Business,03/31/2025,EAST 61ST STREET PARKING GARAGE CORP.,0,150,E 61ST ST,0,NEW YORK,NY,10065,212-736-7171,Manhattan,1.0,150 E 61ST ST,0.0,0.0,0.0,0.0
56,0889341-DCA,Business,03/31/2025,THOMPSON ST. PARKING CORP.,0,221,THOMPSON ST,0,NEW YORK,NY,10012,2129299404,Manhattan,1.0,221 THOMPSON ST,0.0,0.0,0.0,0.0
57,1386654-DCA,Business,0,"2000 PARKING GARAGE, INC.",0,2000,WHITE PLAINS RD,0,BRONX,NY,10462,3478435023,Bronx,2.0,2000 WHITE PLAINS RD,0.0,0.0,0.0,0.0
58,2088835-DCA,Business,03/31/2025,30-40-60 GARAGE LLC,0,60,E 9TH ST,0,NEW YORK,NY,10003,6469644323,Manhattan,1.0,60 E 9TH ST,0.0,0.0,0.0,0.0
59,2105648-DCA,Business,06/07/2023,19 INDIA FEE OWNER LLC,0,10,HURON ST,0,BROOKLYN,NY,11222,212-484-0050,Brooklyn,3.0,10 HURON ST,0.0,0.0,0.0,0.0
60,1452247-DCA,Business,03/31/2021,"LAZ PARKING NEW YORK/NEW JERSEY, LLC",0,15902,JAMAICA AVE,0,JAMAICA,NY,11432,8605227641,Queens,4.0,15902 JAMAICA AVE,0.0,0.0,0.0,0.0
61,2084204-DCA,Business,03/31/2025,142 WEST 57TH STREET PARKING CORP.,0,146,W 57TH ST,0,NEW YORK,NY,10019,2127367171,Manhattan,1.0,146 W 57TH ST,0.0,0.0,0.0,0.0
62,1409708-DCA,Business,03/31/2025,"LASALLE PARKING, LLC","HOWARD, LANCE",220,E 9TH ST,0,NEW YORK,NY,10003,2127143571,Manhattan,1.0,220 E 9TH ST,0.0,0.0,0.0,0.0
63,0368337-DCA,Business,03/31/2025,165 WEST 66TH STREET PARKING LLC,0,165,W 66TH ST,0,NEW YORK,NY,10023,212-686-9800,Manhattan,1.0,165 W 66TH ST,0.0,0.0,0.0,0.0
64,1384440-DCA,Business,03/31/2025,REX PARKING CORP.,0,10,E 153RD ST,0,BRONX,NY,10451,5166984240,Bronx,2.0,10 E 153RD ST,0.0,0.0,0.0,0.0
65,1256221-DCA,Business,03/31/2025,53RD STERLING PARKING LLC,0,304,E 53RD ST,0,NEW YORK,NY,10022,2126869800,Manhattan,1.0,304 E 53RD ST,0.0,0.0,0.0,0.0
66,0427868-DCA,Business,03/31/2025,249 PARKING CORP.,0,249,10TH AVE,0,NEW YORK,NY,10001,2126457548,Manhattan,1.0,249 10TH AVE,0.0,0.0,0.0,0.0
67,1384437-DCA,Business,03/31/2025,REX PARKING CORP.,0,10,E 153RD ST,0,BRONX,NY,10451,5166984240,Bronx,2.0,10 E 153RD ST,0.0,0.0,0.0,0.0
68,1218382-DCA,Business,03/31/2025,444 MANHATTAN PARKING CORP.,0,444,MANHATTAN AVE,0,NEW YORK,NY,10026,0,Manhattan,1.0,444 MANHATTAN AVE,0.0,0.0,0.0,0.0
69,2086766-DCA,Business,03/31/2025,"EAST 65TH GARAGE, LLC",0,1189,1ST AVE,0,NEW YORK,NY,10065,6469644323,Manhattan,1.0,1189 1ST AVE,0.0,0.0,0.0,0.0
70,2101595-DCA,Business,03/31/2025,NYC ARENA PARKING LLC,0,670,PACIFIC ST,0,BROOKLYN,NY,11217,9175668422,Brooklyn,3.0,670 PACIFIC ST,0.0,0.0,0.0,0.0
71,1381712-DCA,Business,03/31/2021,CARTER PARKING CORP.,0,1841,CARTER AVE,0,BRONX,NY,10457,7917741903,Bronx,2.0,1841 CARTER AVE,0.0,0.0,0.0,0.0
72,1458721-DCA,Business,03/31/2025,SCARLET 53 PARKING LLC,0,211,E 53RD ST,0,NEW YORK,NY,10022,2126869800,Manhattan,1.0,211 E 53RD ST,0.0,0.0,0.0,0.0
73,2090148-DCA,Business,03/31/2025,150 CHARLES STREET GARAGE LLC,0,150,CHARLES ST,0,NEW YORK,NY,10014,6465840409,Manhattan,1.0,150 CHARLES ST,0.0,0.0,0.0,0.0
74,2108225-DCA,Business,06/19/2023,RIVERSIDE BLVD. GARAGE LLC,0,120,RIVERSIDE BLVD,0,NEW YORK,NY,10069,6465840409,Manhattan,1.0,120 RIVERSIDE BLVD,0.0,0.0,0.0,0.0
75,2101547-DCA,Business,03/31/2025,PENTA PARKING LLC,0,156,E 105TH ST,0,NEW YORK,NY,10029,2129299404,Manhattan,1.0,156 E 105TH ST,0.0,0.0,0.0,0.0
76,0901963-DCA,Business,03/31/2025,GRACIE PUBLIC PARKING CORP.,0,401,E 89TH ST,0,NEW YORK,NY,10128,2127367171,Manhattan,1.0,401 E 89TH ST,0.0,0.0,0.0,0.0
77,2096223-DCA,Business,03/31/2025,600 COLUMBUS PARKING CORP,0,600,COLUMBUS AVE,0,NEW YORK,NY,10024,2127367171,Manhattan,1.0,600 COLUMBUS AVE,0.0,0.0,0.0,0.0
78,2036981-DCA,Business,03/31/2025,316 BERGEN PARKING CORP,0,312,BERGEN ST,0,BROOKLYN,NY,11217,2127367171,Brooklyn,3.0,312 BERGEN ST,0.0,0.0,0.0,0.0
79,2059807-DCA,Business,03/31/2023,"WOC 80 DEKALB GARAGE, LLC",0,80,DEKALB AVE,0,BROOKLYN,NY,11201,516-565-5600,Brooklyn,3.0,80 DEKALB AVE,0.0,0.0,0.0,0.0
80,2106453-DCA,Business,08/08/2022,100 EAST BROADWAY PARKING CORP.,0,100,E BROADWAY,0,NEW YORK,NY,10002,2127367171,Manhattan,1.0,100 E BROADWAY,0.0,0.0,0.0,0.0
81,2054849-DCA,Business,03/31/2025,70TH PARK OPS LLC,0,400,E 70TH ST,0,NEW YORK,NY,10021,2129299404,Manhattan,1.0,400 E 70TH ST,0.0,0.0,0.0,0.0
82,2015757-DCA,Business,03/31/2025,116TH-117TH STREET PARKING CORP.,0,23,W 116TH ST,0,NEW YORK,NY,10026,2127367171,Manhattan,1.0,23 W 116TH ST,0.0,0.0,0.0,0.0
83,2078116-DCA,Business,03/31/2025,HOYT & SCHERMERHORN PARKING LLC.,0,45,HOYT ST,0,BROOKLYN,NY,11201,2126869800,Brooklyn,3.0,45 HOYT ST,0.0,0.0,0.0,0.0
84,1186721-DCA,Business,03/31/2025,NICE PARK LLC,0,310,E 11TH ST,0,NEW YORK,NY,10003,2129299404,Manhattan,1.0,310 E 11TH ST,0.0,0.0,0.0,0.0
85,1312149-DCA,Business,03/31/2025,ENTERPRISE 40TH PARKING CORP.,0,315,E 40TH ST,0,NEW YORK,NY,10016,2127367171,Manhattan,1.0,315 E 40TH ST,0.0,0.0,0.0,0.0
86,1470216-DCA,Business,03/31/2025,KK ENTERPRISE GROUP INC,0,554,W 182ND ST,0,NEW YORK,NY,10033,9173277488,Manhattan,1.0,554 W 182ND ST,0.0,0.0,0.0,0.0
87,1132131-DCA,Business,03/31/2025,250 WEST PARKING CORP.,0,250,W 19TH ST,0,NEW YORK,NY,10011,2127367171,Manhattan,1.0,250 W 19TH ST,0.0,0.0,0.0,0.0
88,2082682-DCA,Business,03/31/2025,ABM INDUSTRY GROUPS LLC,ABM PARKING SERVICES,750,LEXINGTON AVE,0,NEW YORK,NY,10022,9145255897,Manhattan,1.0,750 LEXINGTON AVE,0.0,0.0,0.0,0.0
89,0980801-DCA,Business,03/31/2025,"FIRST AVENUE PARKING, LLC",0,630,1ST AVE,0,NEW YORK,NY,10016,2127367171,Manhattan,1.0,630 1ST AVE,0.0,0.0,0.0,0.0
90,2070280-DCA,Business,03/31/2021,PARKING SYSTEMS PLUS INC,0,301,E 69TH ST,0,NEW YORK,NY,10021,8009441424,Manhattan,1.0,301 E 69TH ST,0.0,0.0,0.0,0.0
91,2082681-DCA,Business,03/31/2025,ABM INDUSTRY GROUPS LLC,ABM PARKING SERVICES,866,UNITED NATIONS PLZ,0,NEW YORK,NY,10017,9145255897,Manhattan,1.0,866 UNITED NATIONS PLZ,0.0,0.0,0.0,0.0
92,0427239-DCA,Business,03/31/2025,9495 PARKING CORP.,0,1832,2ND AVE,0,NEW YORK,NY,10128,2122893800,Manhattan,1.0,1832 2ND AVE,0.0,0.0,0.0,0.0
93,0992413-DCA,Business,03/31/2025,CASTLE PARKING CORP.,0,2846,WEBSTER AVE,0,BRONX,NY,10458,7189334751,Bronx,2.0,2846 WEBSTER AVE,0.0,0.0,0.0,0.0
94,0984236-DCA,Business,03/31/2025,61 JANE PARKING CORP.,0,61,JANE ST,0,NEW YORK,NY,10014,2122436303,Manhattan,1.0,61 JANE ST,0.0,0.0,0.0,0.0
95,2103699-DCA,Business,03/31/2025,354 EAST 91ST STREET PARKING CORP,0,1749,1ST AVE,0,NEW YORK,NY,10128,2127367171,Manhattan,1.0,1749 1ST AVE,0.0,0.0,0.0,0.0
96,2103990-DCA,Business,03/20/2023,"IMPERIAL PARKING (U.S.), LLC",0,6135,JUNCTION BLVD,0,REGO PARK,NY,11374,2129378660,Queens,4.0,6135 JUNCTION BLVD,0.0,0.0,0.0,0.0
97,2107034-DCA,Business,03/31/2025,MP STEINWAY PARKING LLC,0,3620,STEINWAY ST,0,LONG ISLAND CITY,NY,11101,2124903460,Queens,4.0,3620 STEINWAY ST,0.0,0.0,0.0,0.0
98,1452642-DCA,Business,03/31/2025,304 WEST 49TH PARKING CORP.,0,304,W 49TH ST,0,NEW YORK,NY,10019,2122475607,Manhattan,1.0,304 W 49TH ST,0.0,0.0,0.0,0.0
99,1470158-DCA,Business,03/31/2025,RYER PARKING LLC,0,2346,RYER AVE,0,BRONX,NY,10458,6463771900,Bronx,2.0,2346 RYER AVE,0.0,0.0,0.0,0.0
100,2003718-DCA,Business,03/31/2023,EAST 29 PARKING LLC,0,39,E 29TH ST,0,NEW YORK,NY,10016,2122624771,Manhattan,1.0,39 E 29TH ST,0.0,0.0,0.0,0.0
101,2089530-DCA,Business,03/31/2025,30-40-60 GARAGE LLC,0,30,E 9TH ST,0,NEW YORK,NY,10003,6469644323,Manhattan,1.0,30 E 9TH ST,0.0,0.0,0.0,0.0
102,2020001-DCA,Business,03/31/2025,44 ELIZABETH STREET PARKING CORP,0,44,ELIZABETH ST,0,NEW YORK,NY,10013,0,Manhattan,1.0,44 ELIZABETH ST,0.0,0.0,0.0,0.0
103,2042301-DCA,Business,03/31/2025,210 CENTRAL PARK SOUTH PARKING CORP.,0,210,CENTRAL PARK S,0,NEW YORK,NY,10019,2127367171,Manhattan,1.0,210 CENTRAL PARK S,0.0,0.0,0.0,0.0
104,2051385-DCA,Business,05/24/2023,43-25 HUNTER STREET PARKING CORP.,0,4325,HUNTER ST,0,LONG ISLAND CITY,NY,11101,2127367171,Queens,4.0,4325 HUNTER ST,0.0,0.0,0.0,0.0
105,1465356-DCA,Business,03/31/2025,ORMOND PLACE PARKING CORP.,0,12,CLAVER PL,0,BROOKLYN,NY,11238,7188570822,Brooklyn,3.0,12 CLAVER PL,0.0,0.0,0.0,0.0
106,2105918-DCA,Business,03/31/2025,215 E 95TH PARKING LLC,0,201,E 95TH ST,0,NEW YORK,NY,10128,2126869800,Manhattan,1.0,201 E 95TH ST,0.0,0.0,0.0,0.0
107,2035633-DCA,Business,03/31/2025,"LAZ PARKING NEW YORK/NEW JERSEY, LLC",LAZ PARKING NY/NJ LLC,300,SCHERMERHORN ST,0,BROOKLYN,NY,11217,8605227641,Brooklyn,3.0,300 SCHERMERHORN ST,0.0,0.0,0.0,0.0
108,2052975-DCA,Business,03/31/2025,M&N Group Parking Inc,0,2990,JEROME AVE,0,BRONX,NY,10468,9174705093,Bronx,2.0,2990 JEROME AVE,0.0,0.0,0.0,0.0
109,1245038-DCA,Business,03/31/2025,WELCOME PARKING LIMITED LIABILITY COMPANY,0,8806,VAN WYCK EXPY,0,JAMAICA,NY,11418,2016807129,Queens,4.0,8806 VAN WYCK EXPY,0.0,0.0,0.0,0.0
110,2083503-DCA,Business,03/31/2025,ABM INDUSTRY GROUPS LLC,ABM PARKING SERVICES,1633,BROADWAY,0,NEW YORK,NY,10019,9145255897,Manhattan,1.0,1633 BROADWAY,243.0,3.0,353.0,37.0
111,2094049-DCA,Business,03/31/2025,LAZ PARKING NEW YORK/NEW JERSEY LLC,0,15902,JAMAICA AVE,0,JAMAICA,NY,11432,7184042575,Queens,4.0,15902 JAMAICA AVE,0.0,0.0,0.0,0.0
112,1425382-DCA,Business,05/07/2023,34 NORTH 7TH PARKING CORP.,0,34,N 7TH ST,0,BROOKLYN,NY,11249,2127367171,Brooklyn,3.0,34 N 7TH ST,0.0,0.0,0.0,0.0
113,2102186-DCA,Business,03/31/2025,EDISON NY PARKING LLC,EDISON PARKFAST,182,SCHERMERHORN ST,0,BROOKLYN,NY,11201,973-849-2879,Brooklyn,3.0,182 SCHERMERHORN ST,0.0,0.0,0.0,0.0
114,1258315-DCA,Business,03/31/2025,MP HUB PARKING LLC,0,3000,3RD AVE,0,BRONX,NY,10455,2124903460,Bronx,2.0,3000 3RD AVE,0.0,0.0,0.0,0.0
115,1006124-DCA,Business,03/31/2025,"EDISON NY PARKING, LLC",0,161,10TH AVE,0,NEW YORK,NY,10011,973-643-7700,Manhattan,1.0,161 10TH AVE,0.0,0.0,0.0,0.0
116,2027740-DCA,Business,03/31/2021,QUIK PARK EAST 94TH STREET LLC,0,1829,1ST AVE,0,NEW YORK,NY,10128,2126869800,Manhattan,1.0,1829 1ST AVE,0.0,0.0,0.0,0.0
117,1244225-DCA,Business,03/31/2025,PARK KWIK LLC,0,110,LIVINGSTON ST,0,BROOKLYN,NY,11201,7182222500,Brooklyn,3.0,110 LIVINGSTON ST,0.0,0.0,0.0,0.0
118,2094768-DCA,Business,03/31/2021,"LAZ PARKING NEW YORK/NEW JERSEY, LLC",0,228,WATER ST,0,NEW YORK,NY,10038,8605227641,Manhattan,1.0,228 WATER ST,0.0,0.0,0.0,0.0
119,0901637-DCA,Business,03/31/2025,WOOSTER PARKING CORP.,0,349,CANAL ST,0,NEW YORK,NY,10013,212-929-9404,Manhattan,1.0,349 CANAL ST,0.0,0.0,0.0,0.0
120,2080640-DCA,Business,03/31/2025,E 74TH PARKING CORP.,0,343,E 74TH ST,0,NEW YORK,NY,10021,8009441424,Manhattan,1.0,343 E 74TH ST,0.0,0.0,0.0,0.0
121,1333128-DCA,Business,03/31/2025,2721 NEIGHBORHOOD PARKING LOT CORP.,0,2721,BRONXWOOD AVE,0,BRONX,NY,10469,347-427-7606,Bronx,2.0,2721 BRONXWOOD AVE,0.0,0.0,0.0,0.0
122,2043321-DCA,Business,03/31/2025,PARK FDB LLC,0,2280,FREDERICK DOUGLASS BLVD,0,NEW YORK,NY,10027,2122228487,Manhattan,1.0,2280 FREDERICK DOUGLASS BLVD,0.0,0.0,0.0,0.0
123,1122123-DCA,Business,03/31/2021,23RD STREET PARKING INC,0,318,E 23RD ST,0,NEW YORK,NY,10010,718-551-8963,Manhattan,1.0,318 E 23RD ST,0.0,0.0,0.0,0.0
124,2097372-DCA,Business,03/31/2025,115 EAST 87TH STREET PARKING CORP.,0,115,E 87TH ST,0,NEW YORK,NY,10128,2127367171,Manhattan,1.0,115 E 87TH ST,0.0,0.0,0.0,0.0
125,1386079-DCA,Business,11/29/2012,"ONE PARKING GOTHAM, INC.",0,4201,28TH ST,0,LONG ISLAND CIT,NY,11101,4802722100,Queens,4.0,4201 28TH ST,0.0,0.0,0.0,0.0
