Jurisdiction,County,HE Compliance,HE Due Date,HE Status details,Adoption Date,COG,6th Cycle Draft,HCD Review Letter,Review Date,Population (2010),Median Income
LOMITA,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,8/15/2022,SCAG,http://www.lomita.com/cityhall/housing-element/HCD/Draft-2021-2029-housing-element.pdf,,10/14/2022,20256,"$71,606"
PASADENA,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,8/15/2022,SCAG,https://www.cityofpasadena.net/planning/planning-division/community-planning/general-plan/housing-element-update/#2021-2029-housing-element,https://r20.rs6.net/tn.jsp?f=001hsrDT-aEXs-bDMjB0i1KfKouLkDYK4qiquK1_8oLHtTOtDLJ61T-wqSNHJEYckSPBsLtgm9w4WxUN1Re7h1c_UVfQRZb7nk0lvCQl8ism-7Uwr4y681q_D_52p4pPm5mZ1YBLINMA_7bOZACCa9tycUt-vztRznBECFAdlBfEX7mh5n3U0EMW31S622bb0D0cHUes2LkUpDMt1-cQJN6kRqCH55NCiw7T3sQe6jrD7qRSeFA47um_YhuSBBCoAaf&c=yhDhFqz21VFwyER7amzjW_HYWw2GAdT2kjvNYFf0XYuBvDaMF39w0g==&ch=QMaEj7nSywWqOtWODZ0exmfEntisA0_hAETF19k8hymJNXgwwcPVDA==,10/14/2022,137122,"$83,068"
RANCHO PALOS VERDES,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,8/15/2022,SCAG,"https://www.rpvca.gov/DocumentCenter/View/17674/Draft-6th-Cycle-Housing-Element, https://www.rpvca.gov/DocumentCenter/View/17882/HCD-Review-Draft-Draft-HE-RPV-11-19-21_opt",,10/14/2022,41643,"$138,557"
SAN DIMAS,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,9/29/2022,SCAG,https://sandimasca.gov/wp-content/uploads/2021/07/San-Dimas-Housing-Element_2021_July6.pdf,SfvSanFernandoDraftOut011122.pdf,10/14/2022,33371,"$86,410"
LAWNDALE,Los Angeles County,IN,"10/15/2021, 12/15/2023",Adopted & Reviewed,,SCAG,https://lawndale.generalplan.org/s/Lawndale-HCD-Review-Draft-2021-2029-Housing-Element.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/lanLawndaleAdoptOut041422.pdf,10/13/2022,32769,"$62,013"
SIGNAL HILL,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,"https://www.cityofsignalhill.org/98/Planning, https://ca-signalhill2.civicplus.com/DocumentCenter/View/11769/Draft-Housing-Element-Update-6th-Cycle",http://www.hcd.ca.gov/community-development/housing-element/docs/lanSignalHillDraft051122.pdf,10/13/2022,11016,"$75,508"
FOUNTAIN VALLEY,Orange County,IN,10/15/2021,Adopted & Reviewed,,SCAG,"https://www.fountainvalley.org/DocumentCenter/View/14193/FV_HE_PublicReviewDraft_2021_Sept_allgraphics, https://www.fountainvalley.org/DocumentCenter/View/14193/FV_HE_PublicReviewDraft_2021_Sept_allgraphics, https://www.fountainvalley.org/DocumentCenter/View/15399/FV_HE_PublicReviewDraft_20220630-1, https://www.fountainvalley.org/DocumentCenter/View/15585/FV_HE_PublicReviewDraft_20220805_withgraphics",oraFullertonDraft012722.pdf,10/13/2022,55313,"$93,075"
NORCO,Riverside County,IN,10/15/2021,Adopted & Reviewed,,SCAG,http://www.norco.ca.us/civicax/filebank/blobdload.aspx?BlobID=29093,,10/13/2022,27063,"$102,817"
AGOURA HILLS,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,"https://www.agourahillscity.org/home/showpublisheddocument/25109/637641849006700000,  https://www.agourahillscity.org/department/planning-community-development/housing-element",http://www.hcd.ca.gov/community-development/housing-element/docs/lanAgouraHillsRevisedDraftOut042022.pdf,10/12/2022,20330,"$122,998"
AVALON,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,,http://www.hcd.ca.gov/community-development/housing-element/docs/lanAvalonAdopted041222.pdf,10/12/2022,3728,"$74,769"
HAWTHORNE,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.cityofhawthorne.org/home/showpublisheddocument/4361/637708494368670000,http://www.hcd.ca.gov/community-development/housing-element/docs/LanHawthorneAdoptedOut052022.pdf,10/12/2022,84293,"$54,215"
TORRANCE,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.torranceca.gov/home/showpublisheddocument/69157,http://www.hcd.ca.gov/community-development/housing-element/docs/LanTorranceDraftOut070622.pdf,10/12/2022,145538,"$93,492"
WHITTIER,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.envisionwhittier.org/files/managed/Document/184/Whittier%20HCD%20Draft%20June%208%202021.pdf,RivWildomarAdoptedIn011022.pdf,10/12/2022,85331,"$77,270"
SAN CLEMENTE,Orange County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.san-clemente.org/home/showdocument?id=64186&t=637587460397849338,lanSanDimasDraftOut112921.pdf,10/12/2022,63522,"$110,434"
CORONA,Riverside County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.coronaca.gov/home/showpublisheddocument/20234/637595123478830000,,10/12/2022,152374,"$83,752"
LAGUNA WOODS,Orange County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.cityoflagunawoods.org/wp-content/uploads/2021/07/2021-07-21-Draft-General-Plan-Housing-Element.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/OraLagunaWoodsAdoptedOut040822.pdf,10/11/2022,16192,"$44,020"
MORENO VALLEY,Riverside County,IN,10/15/2021,Adopted & Reviewed,,SCAG,http://www.moval.org/cdd/documents/general-plan-update/draft-docs/GP-Elements/HousingElement.pdf,,10/11/2022,193365,"$66,134"
ALHAMBRA,Los Angeles County,OUT,10/15/2021,2nd Draft,,SCAG,https://a0319d53-e757-4231-8030-9d8424946325.filesusr.com/ugd/a9197a_823407a01b234dc6bfae4d71389258d9.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/lanAlhambraAdopt04822.pdf,10/10/2022,83089,"$61,384"
CULVER CITY,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,8/11/2022,SCAG,"https://www.dropbox.com/s/wr13jfshf7eo3yh/CCGPU%20Draft%20Housing%20Element%20HCD%20Submittal%20Version%209-9-21.pdf?dl=0, https://www.pictureculvercity.com/draft-housing-element",http://www.hcd.ca.gov/community-development/housing-element/docs/lanCulverCityAdoptedOut042122.pdf,10/10/2022,38883,"$95,044"
TUSTIN,Orange County,IN,10/15/2021,Adopted & Reviewed,,SCAG,"https://www.tustinca.org/DocumentCenter/View/5508, https://www.tustinca.org/DocumentCenter/View/5508",http://www.hcd.ca.gov/community-development/housing-element/docs/oraTustinadoptedOUT.pdf,10/10/2022,75540,"$84,697"
BIG BEAR LAKE,San Bernardino County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.citybigbearlake.com/images/DOWNLOADS/CITY_DEPARTMENTS/Planning/ATT_2_-_DRAFT_2021_Housing_Element.pdf,,10/10/2022,5019,"$51,060"
BURBANK,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.burbankhousingelement.com/wp-content/uploads/2021/05/Public-Review-Draft-2021-2029-Burbank-Housing-Element.pdf,https://www.hcd.ca.gov/sites/default/files/docs/planning-and-community/housing-element/LanBurbankDraftIN090722.pdf,10/7/2022,103340,"$75,827"
LA PUENTE,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://lapuente.org/wp-content/uploads/2021/11/La-Puente-2021-2029-HEU-Public-Review-Draft_v2.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/lanLaPuenteAdopted042522.pdf,10/7/2022,39816,"$64,592"
PARAMOUNT,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.paramountcity.com/home/showpublisheddocument/7450/637648820503700000,http://www.hcd.ca.gov/community-development/housing-element/docs/LanParamountAdoptedOut06092.pdf,10/7/2022,54098,"$55,670"
CALIMESA,Riverside County,OUT,10/15/2021,2nd Draft,,SCAG,http://www.cityofcalimesa.net/Forms/Calimesa%20Draft%20HE%2012-21.pdf ,https://www.hcd.ca.gov/community-development/housing-element/docs/rivcalimesadraftout021522.pdf,10/7/2022,7879,"$56,903"
LA QUINTA,Riverside County,OUT,10/15/2021,Adopted & Reviewed,9/27/2022,SCAG,"https://www.laquintaca.gov/home/showpublisheddocument/45305/637599587940170000, https://www.laquintaca.gov/home/showpublisheddocument/45749",http://www.hcd.ca.gov/community-development/housing-element/docs/RivLaQuintaDraftIn062922.pdf,10/7/2022,37467,"$77,839"
ONTARIO,San Bernardino County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.ontarioplan.org/wp-content/uploads/sites/4/2021/10/Ontario-Housing-Element-Update_Public-Review-Draft_October-2021.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/SbdOntarioAdoptedOut051022.pdf,10/7/2022,163924,"$65,046"
REDLANDS,San Bernardino County,IN,10/15/2021,Adopted & Reviewed,10/6/2022,SCAG,https://www.cityofredlands.org/sites/main/files/file-attachments/1_public_review_draft_redlands_6th_cycle_housing_element_final.pdf?1631312794,https://r20.rs6.net/tn.jsp?f=001hsrDT-aEXs-bDMjB0i1KfKouLkDYK4qiquK1_8oLHtTOtDLJ61T-wqSNHJEYckSP_0M646U-an6dy0DHKrDid5F_yqRCbaOLpdAR9o3QlA5W3rr7V4jF6BwNTxZPfYZdP0AcI9gGEtiQ2XU3UOkuVmnr1Kl4X1dq6cnGkuNRcNv3bAPIw38lRVNBRJXu4i7CT5ZiNCnQi_HG04QwZcB_AJnPkoV4EDhPcGD6b2jfHX0EqX1Tk7A0QQ==&c=yhDhFqz21VFwyER7amzjW_HYWw2GAdT2kjvNYFf0XYuBvDaMF39w0g==&ch=QMaEj7nSywWqOtWODZ0exmfEntisA0_hAETF19k8hymJNXgwwcPVDA==,10/7/2022,68747,"$74,839"
LA HABRA HEIGHTS,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.lhhcity.org/288/Housing-Element-Update,http://www.hcd.ca.gov/community-development/housing-element/docs/LanLaHabraHeightsDraftOur061322.pdf,10/6/2022,5325,"$115,762"
DIAMOND BAR,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.diamondbarca.gov/DocumentCenter/View/7669/Diamond-Bar-2021-2029-Housing-Element-Public-Review-Draft_3-25,,10/5/2022,55544,"$99,083"
NEWPORT BEACH,Orange County,IN,10/15/2021,Adopted & Reviewed,,SCAG,"https://www.newportbeachca.gov/PLN/Housing_Element_Update/March_10_2021_Draft/Complete_Document.pdf, https://www.newportbeachca.gov/home/showpublisheddocument/70105/637612696793600000",http://www.hcd.ca.gov/community-development/housing-element/docs/oraNewportBeachadoptedout041122.pdf,10/5/2022,85186,"$127,223"
PORT HUENEME,Ventura County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.ci.port-hueneme.ca.us/1272/2045-General-Plan,http://www.hcd.ca.gov/community-development/housing-element/docs/venPortHuenemeAdopt062322.pdf,10/5/2022,21723,"$64,126"
BRAWLEY,Imperial County,OUT,10/15/2021,2nd Draft,,SCAG,http://www.brawley-ca.gov/cms/kcfinder/upload/files/planning/City%20of%20Brawley%20Draft%202021-2029%20Housing%20Element.pdf,https://r20.rs6.net/tn.jsp?f=001hsrDT-aEXs-bDMjB0i1KfKouLkDYK4qiquK1_8oLHtTOtDLJ61T-wqSNHJEYckSPumYbS_E8IFgK6n-fdO4MVeg6or0lamEKHziox8GZjyN29oNvEou4rhZmXT2WctgqXDcorbdQkZPVJUsWxGBb_i8QxhK_8l7zOR0ODukQ8N0XYE7mnk89rIV2ltD71idEr7KtU56G3s5hJXYeQtoW2oMH4IeQ3HzEUWT3nnSf3qXUB9TGYoku2g==&c=yhDhFqz21VFwyER7amzjW_HYWw2GAdT2kjvNYFf0XYuBvDaMF39w0g==&ch=QMaEj7nSywWqOtWODZ0exmfEntisA0_hAETF19k8hymJNXgwwcPVDA==,10/4/2022,24953,"$42,326"
RIALTO,San Bernardino County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.yourrialto.com/633/Plan-to-House-Our-Rialto-Housing-Element,http://www.hcd.ca.gov/community-development/housing-element/docs/SbdRialtoAdoptedOut060322.pdf,10/3/2022,99171,"$61,518"
CALIPATRIA,Imperial County,IN,10/15/2021,Adopted & Reviewed,,SCAG,,http://www.hcd.ca.gov/community-development/housing-element/docs/ImpCalipatriaAdoptedOut071422.pdf,9/30/2022,7705,"$36,883"
IMPERIAL,Imperial County,IN,10/15/2021,Adopted & Reviewed,,SCAG,,http://www.hcd.ca.gov/community-development/housing-element/docs/impImperialCityDraft070522.pdf,9/30/2022,14758,"$85,654"
EL MONTE,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.ci.el-monte.ca.us/644/CITY-OF-EL-MONTE-2021-2029-HOUSING-ELEME,http://www.hcd.ca.gov/community-development/housing-element/docs/lanElMonteAdoptedOUT041122.pdf,9/30/2022,113475,"$49,003"
LA VERNE,Los Angeles County,OUT,10/15/2021,2nd Draft,,SCAG,,,9/30/2022,31063,"$88,131"
POMONA,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.pomonaca.gov/home/showpublisheddocument/3711https://www.pomonaca.gov/government/departments/development-services/planning-division/general-plan/pro-housing-pomona ,http://www.hcd.ca.gov/community-development/housing-element/docs/lanPomonaAdoptcorrected041222.pdf,9/30/2022,149058,"$60,598"
HUNTINGTON BEACH,Orange County,OUT,10/15/2021,2nd Draft,,SCAG,https://www.huntingtonbeachca.gov/files/users/housing-element-update/Public-Review-Draft-Housing-Element.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/OraHuntingtonBeachDraftOut060922.pdf,9/30/2022,189992,"$95,046"
NEEDLES,San Bernardino County,IN,10/15/2021,Adopted,,SCAG,,,9/30/2022,4844,"$33,717"
LAGUNA HILLS,Orange County,OUT,10/15/2021,2nd Draft,,SCAG,https://www.lagunahillsca.gov/DocumentCenter/View/6539/Public-Review-Draft-2021-2029-Laguna-Hills-Housing-Element-Update?bidId=,oraLagunaNiguelADOPTEDOUT011922.pdf,9/28/2022,30344,"$100,985"
HAWAIIAN GARDENS,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://hgcity.primegov.com/meeting/attachment/673.pdf?name=Attachment%20B-%20Draft%206th%20Cycle%20Housing%20Element,https://r20.rs6.net/tn.jsp?f=001hsrDT-aEXs-bDMjB0i1KfKouLkDYK4qiquK1_8oLHtTOtDLJ61T-wqSNHJEYckSPBKeCNsf5hURw0onusfkmw1wBzq7uq1EpIUCVF2oNJysefKMFWJ2kLk_cb_Pvont_S8xaBCu-2byD0zIkYVA2bSb76CSrv3kvjaBKPnFkqXJ5buqmONIUmkKllcoFxhdpIaxIOS6fMRbk9VpxnZm0lVN7rpY0ODhQQewigzvskCYZcP9H_ysZXpVCSTGw5Up6&c=yhDhFqz21VFwyER7amzjW_HYWw2GAdT2kjvNYFf0XYuBvDaMF39w0g==&ch=QMaEj7nSywWqOtWODZ0exmfEntisA0_hAETF19k8hymJNXgwwcPVDA==,9/26/2022,14254,"$49,483"
RIVERSIDE,Riverside County,IN,10/15/2021,Adopted & Reviewed,,SCAG,http://riversideca.gov/cedd/sites/riversideca.gov.cedd/files/pdf/planning/2021/Housing_Element/2021-05-10%20Housing%20Element%20Housing%20Plan%20-%20HCD%20Review%20Draft.pdf   http://riversideca.gov/cedd/sites/riversideca.gov.cedd/files/pdf/planning/2021/Housing_Element/2021-05-10%20Housing%20Element%20Action%20Plan%20-%20HCD%20Review%20Draft.pdf   http://riversideca.gov/cedd/sites/riversideca.gov.cedd/files/pdf/planning/2021/Housing_Element/2021-06-03%20TBR%20Web%20Version%20-%20With%20AFFH.pdf    http://riversideca.gov/cedd/sites/riversideca.gov.cedd/files/pdf/planning/2021/Housing_Element/Appendix%20A%20-%20Housing%20Opportunity%20Sites%20Inventory.pdf,rivRiversideCountyAdopt123021.pdf,9/26/2022,303871,"$69,045"
GARDENA,Los Angeles County,OUT,10/15/2021,2nd Draft,,SCAG,"https://cityofgardena.org/wp-content/uploads/2021/04/Draft-Inventory-Sites-Maps.pdf, https://cityofgardena.org/wp-content/uploads/2021/09/Gardena-Draft-HE-09-08-21.pdf",http://www.hcd.ca.gov/community-development/housing-element/docs/lanGardenaAdopted040822.pdf,9/22/2022,58829,"$58,447"
SAN JUAN CAPISTRANO,Orange County,IN,10/15/2021,Adopted & Reviewed,8/15/2022,SCAG,https://sanjuancapistrano.org/Portals/0/Documents/Development%20Services/General%20Plan/SJC%20HEU%20Public%20Draft%209-22-21%20Final%20x%20red.pdf,,9/22/2022,34593,"$91,600"
PERRIS,Riverside County,IN,10/15/2021,Adopted & Reviewed,8/3/2022,SCAG,https://www.cityofperris.org/home/showpublisheddocument/14576/637690501798330000,http://www.hcd.ca.gov/community-development/housing-element/docs/rivPerrisAdopted071222.pdf,9/22/2022,68386,"$63,829"
LAKEWOOD,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,8/12/2022,SCAG,https://www.lakewoodcity.org/civicax/filebank/blobdload.aspx?BlobID=30331,https://r20.rs6.net/tn.jsp?f=001hsrDT-aEXs-bDMjB0i1KfKouLkDYK4qiquK1_8oLHtTOtDLJ61T-wqSNHJEYckSPXf3lAmvEtncM8kJjzgtZdoczw3UeH5gY74NCY9qK4_NfUvZmF0UCZod4PbBOHECRFTmHBAWjpSPOPxFbBLbxmtt27VIRvYkizFnNMXqFN8a0PQoshbhf3SG810Mxbclje8fw0lOgg9accQJkh39a5Sq50npHCWqmeeugSGbsv-qBLavKM7aV2A==&c=yhDhFqz21VFwyER7amzjW_HYWw2GAdT2kjvNYFf0XYuBvDaMF39w0g==&ch=QMaEj7nSywWqOtWODZ0exmfEntisA0_hAETF19k8hymJNXgwwcPVDA==,9/16/2022,80048,"$93,432"
SOUTH GATE,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,7/20/2022,SCAG,http://www.cityofsouthgate.org/DocumentCenter/View/7617/South-Gate-2021-2029-HE,lanSouthPasadenaOut122121.pdf,9/16/2022,94396,"$52,321"
SANTA ANA,Orange County,IN,10/15/2021,Adopted & Reviewed,7/26/2022,SCAG,https://www.santa-ana.org/sites/default/files/pb/planning/Housing%20Element/2021-2029%20Housing%20Element%20Public%20Review%20Draft%2010.11.2021R.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/oraSantaAnaDraftOUT042522.pdf,9/16/2022,324528,"$66,145"
SOUTH PASADENA,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://www.southpasadenaca.gov/government/departments/planning-and-building/housing-element-update-2021-2029,http://www.hcd.ca.gov/community-development/housing-element/docs/LanSouthPasadenaDraftOut070822.pdf,9/15/2022,25619,"$104,308"
SANTA MONICA,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,10/12/2022,SCAG,https://www.santamonica.gov/housing-element-update-draft-concepts,venSantaPaulaDraftOut111521.pdf,9/14/2022,89736,"$96,570"
RANCHO SANTA MARGARITA,Orange County,IN,10/15/2021,Adopted & Reviewed,8/25/2022,SCAG,https://www.cityofrsm.org/DocumentCenter/View/7522/RSM-Public-Review-Draft-Housing-Element-Update,http://www.hcd.ca.gov/community-development/housing-element/docs/oraRanchoSantaMargaritaAdoptedOut041122.pdf,9/13/2022,47853,"$121,017"
LEMON GROVE,San Diego County,OUT,4/15/2021,Adopted & Reviewed,7/19/2022,SANDAG,,,9/12/2022,25320,"$63,548"
CALEXICO,Imperial County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,,https://www.hcd.ca.gov/sites/default/files/docs/planning-and-community/housing-element/ImpCalexicoDraftOut090922.pdf,9/9/2022,38572,"$43,592"
BALDWIN PARK,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,"https://www.baldwinpark.com/online-documents/community-development/planning/general-plan-individual-elements/housing-element-update-2021-2029/2500-bp-pc-cc-study-session-1-27-21/file, https://www.baldwinpark.com/planning#pane_cm9n4f_1https://www.baldwinpark.com/online-documents/community-development/planning/2708-000-baldwin-park-he-publicreviewdraft10-4-21/file",rivBanningDraftOut091721.pdf,9/9/2022,75390,"$65,904"
BELLFLOWER,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,7/21/2022,SCAG,https://www.bellflower.org/Document%20Center/Department/Planning/Planning%20Division/Housing%20Element%20Update/Bellflower%20Public%20Review%20Draft%202021-2029%20HE.pdf,https://www.hcd.ca.gov/sites/default/files/docs/planning-and-community/housing-element/LanBellflowerAdoptedIn090922.pdf,9/9/2022,76616,"$60,011"
CYPRESS,Orange County,IN,10/15/2021,Adopted & Reviewed,7/12/2022,SCAG,"https://www.cypressca.org/government/departments/community-development/planning-division/city-plans, https://www.cypressca.org/departments/community-development/information-on-notable-projects/housing-element-update",http://www.hcd.ca.gov/community-development/housing-element/docs/OraCypressSubsequentDraftOut051322.pdf,9/9/2022,47802,"$93,137"
MENIFEE,Riverside County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://storymaps.arcgis.com/stories/2580a24f64864ef1887d002a21926725,https://www.hcd.ca.gov/sites/default/files/docs/planning-and-community/housing-element/RivMenifeeDraftIn090922.pdf,9/9/2022,77519,"$70,224"
BREA,Orange County,IN,10/15/2021,Adopted & Reviewed,8/17/2022,SCAG,https://shapebrea.net/8505/widgets/34612/documents/20875,https://www.hcd.ca.gov/sites/default/files/docs/planning-and-community/housing-element/OraBreaAdoptIn090822.pdf,9/8/2022,39282,"$94,492"
CHINO HILLS,San Bernardino County,IN,10/15/2021,Adopted & Reviewed,8/17/2022,SCAG,https://www.chinohills.org/DocumentCenter/View/24118/CHINO-HILLS-6TH-CYCLE-HOUSING-ELEMENT-with-APPENDICES---HCD-REVIEW-DRAFT-7-6-2021,https://www.hcd.ca.gov/sites/default/files/docs/planning-and-community/housing-element/SbdChinoHillsAdoptedIn090822.pdf,9/8/2022,74799,"$106,347"
VISTA,San Diego County,IN,4/15/2021,Adopted & Reviewed,7/12/2022,SANDAG,https://www.cityofvista.com/Home/ShowDocument?id=23608,http://www.hcd.ca.gov/community-development/housing-element/docs/sdiVistaAdopt052722.pdf,9/7/2022,93834,"$72,125"
RANCHO CUCAMONGA,San Bernardino County,IN,10/15/2021,Adopted & Reviewed,7/19/2022,SCAG,https://www.cityofrc.us/sites/default/files/2021-06/RC%20DRAFT%20Housing%20Element%206-3-2021.pdf,https://www.hcd.ca.gov/sites/default/files/docs/planning-and-community/housing-element/sbdRanchoCucamongaAdoptIn090722.pdf,9/7/2022,165269,"$90,953"
MOORPARK,Ventura County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://secureservercdn.net/104.238.69.231/k9a.a69.myftpupload.com/wp-content/uploads/2021/12/2021-2029-4-HousingElement_draft_2021.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/venMoorparkDraftOUT050922.pdf,9/2/2022,34421,"$107,820"
BRADBURY,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,,https://www.hcd.ca.gov/sites/default/files/docs/planning-and-community/housing-element/LanBradburyDraftOut090122.pdf,9/1/2022,1048,"$146,250"
CERRITOS,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,7/29/2022,SCAG,http://www.cerritos.us/GOVERNMENT/_pdfs/2021-2029_housing_element_update.pdf,https://www.hcd.ca.gov/sites/default/files/docs/planning-and-community/housing-element/LanCerritosAdoptIn090122.pdf,9/1/2022,49041,"$106,190"
REDONDO BEACH,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,7/11/2022,SCAG,https://www.redondo.org/civicax/filebank/blobdload.aspx?BlobID=39544,http://www.hcd.ca.gov/community-development/housing-element/docs/lanRedondoBeachAdopt041222.pdf,9/1/2022,66747,"$113,499"
SOUTH LAKE TAHOE,El Dorado County,IN,"6/30/2022, 5/15/2021",Adopted & Reviewed,7/7/2022,HCD,,http://www.hcd.ca.gov/community-development/housing-element/docs/EldSouthLakeTahoeDraftOut0523.pdf,8/30/2022,21403,"$49,390"
INYO COUNTY UNINCORPORATED,Inyo County,IN,4/30/2021,Adopted & Reviewed,8/17/2022,HCD,,https://www.hcd.ca.gov/sites/default/files/docs/planning-and-community/housing-element/InyInyoCountyAdoptIn083022.pdf,8/30/2022,,$0
