,Jurisdiction,County,HE Compliance,HE Due Date,HE Status details,Adoption Date,COG,6th Cycle Draft,HCD Review Letter,Review Date,Population (2010),Median Income,geo_location,loc,point,lat,lon,altitude,display_location
21,TORRANCE,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.torranceca.gov/home/showpublisheddocument/69157,http://www.hcd.ca.gov/community-development/housing-element/docs/LanTorranceDraftOut070622.pdf,10/12/2022,145538.0,"$93,492",TORRANCE Los Angeles County CA,"Torrance, CA, USA","(33.8358492, -118.3406288, 0.0)",33.8358492,-118.3406288,0.0,Torrance in Los Angeles County
22,WHITTIER,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.envisionwhittier.org/files/managed/Document/184/Whittier%20HCD%20Draft%20June%208%202021.pdf,RivWildomarAdoptedIn011022.pdf,10/12/2022,85331.0,"$77,270",WHITTIER Los Angeles County CA,"Whittier, CA, USA","(33.9791793, -118.032844, 0.0)",33.9791793,-118.032844,0.0,Whittier in Los Angeles County
23,SAN CLEMENTE,Orange County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.san-clemente.org/home/showdocument?id=64186&t=637587460397849338,lanSanDimasDraftOut112921.pdf,10/12/2022,63522.0,"$110,434",SAN CLEMENTE Orange County CA,"San Clemente, CA, USA","(33.4273521, -117.6126004, 0.0)",33.4273521,-117.6126004,0.0,San clemente in Orange County
24,CORONA,Riverside County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.coronaca.gov/home/showpublisheddocument/20234/637595123478830000,,10/12/2022,152374.0,"$83,752",CORONA Riverside County CA,"Corona, CA, USA","(33.8752935, -117.5664384, 0.0)",33.8752935,-117.5664384,0.0,Corona in Riverside County
25,LAGUNA WOODS,Orange County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.cityoflagunawoods.org/wp-content/uploads/2021/07/2021-07-21-Draft-General-Plan-Housing-Element.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/OraLagunaWoodsAdoptedOut040822.pdf,10/11/2022,16192.0,"$44,020",LAGUNA WOODS Orange County CA,"Laguna Woods, CA, USA","(33.6101702, -117.7251162, 0.0)",33.6101702,-117.7251162,0.0,Laguna woods in Orange County
26,MORENO VALLEY,Riverside County,IN,10/15/2021,Adopted & Reviewed,,SCAG,http://www.moval.org/cdd/documents/general-plan-update/draft-docs/GP-Elements/HousingElement.pdf,,10/11/2022,193365.0,"$66,134",MORENO VALLEY Riverside County CA,"Moreno Valley, CA, USA","(33.9424658, -117.2296717, 0.0)",33.9424658,-117.2296717,0.0,Moreno valley in Riverside County
27,ALHAMBRA,Los Angeles County,OUT,10/15/2021,2nd Draft,,SCAG,https://a0319d53-e757-4231-8030-9d8424946325.filesusr.com/ugd/a9197a_823407a01b234dc6bfae4d71389258d9.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/lanAlhambraAdopt04822.pdf,10/10/2022,83089.0,"$61,384",ALHAMBRA Los Angeles County CA,"Alhambra, CA, USA","(34.095287, -118.1270146, 0.0)",34.095287,-118.1270146,0.0,Alhambra in Los Angeles County
28,CULVER CITY,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,8/11/2022,SCAG,"https://www.dropbox.com/s/wr13jfshf7eo3yh/CCGPU%20Draft%20Housing%20Element%20HCD%20Submittal%20Version%209-9-21.pdf?dl=0, https://www.pictureculvercity.com/draft-housing-element",http://www.hcd.ca.gov/community-development/housing-element/docs/lanCulverCityAdoptedOut042122.pdf,10/10/2022,38883.0,"$95,044",CULVER CITY Los Angeles County CA,"Culver City, CA, USA","(34.0211224, -118.3964665, 0.0)",34.0211224,-118.3964665,0.0,Culver city in Los Angeles County
29,TUSTIN,Orange County,IN,10/15/2021,Adopted & Reviewed,,SCAG,"https://www.tustinca.org/DocumentCenter/View/5508, https://www.tustinca.org/DocumentCenter/View/5508",http://www.hcd.ca.gov/community-development/housing-element/docs/oraTustinadoptedOUT.pdf,10/10/2022,75540.0,"$84,697",TUSTIN Orange County CA,"Tustin, CA, USA","(33.7420005, -117.8236391, 0.0)",33.7420005,-117.8236391,0.0,Tustin in Orange County
30,BIG BEAR LAKE,San Bernardino County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.citybigbearlake.com/images/DOWNLOADS/CITY_DEPARTMENTS/Planning/ATT_2_-_DRAFT_2021_Housing_Element.pdf,,10/10/2022,5019.0,"$51,060",BIG BEAR LAKE San Bernardino County CA,"Big Bear Lake, CA, USA","(34.2438963, -116.9114215, 0.0)",34.2438963,-116.9114215,0.0,Big bear lake in San Bernardino County
31,BURBANK,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.burbankhousingelement.com/wp-content/uploads/2021/05/Public-Review-Draft-2021-2029-Burbank-Housing-Element.pdf,https://www.hcd.ca.gov/sites/default/files/docs/planning-and-community/housing-element/LanBurbankDraftIN090722.pdf,10/7/2022,103340.0,"$75,827",BURBANK Los Angeles County CA,"Burbank, CA, USA","(34.1808392, -118.3089661, 0.0)",34.1808392,-118.3089661,0.0,Burbank in Los Angeles County
32,LA PUENTE,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://lapuente.org/wp-content/uploads/2021/11/La-Puente-2021-2029-HEU-Public-Review-Draft_v2.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/lanLaPuenteAdopted042522.pdf,10/7/2022,39816.0,"$64,592",LA PUENTE Los Angeles County CA,"La Puente, CA, USA","(34.0200114, -117.9495083, 0.0)",34.0200114,-117.9495083,0.0,La puente in Los Angeles County
33,PARAMOUNT,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.paramountcity.com/home/showpublisheddocument/7450/637648820503700000,http://www.hcd.ca.gov/community-development/housing-element/docs/LanParamountAdoptedOut06092.pdf,10/7/2022,54098.0,"$55,670",PARAMOUNT Los Angeles County CA,"Paramount, CA, USA","(33.8894598, -118.1597911, 0.0)",33.8894598,-118.1597911,0.0,Paramount in Los Angeles County
34,CALIMESA,Riverside County,OUT,10/15/2021,2nd Draft,,SCAG,http://www.cityofcalimesa.net/Forms/Calimesa%20Draft%20HE%2012-21.pdf ,https://www.hcd.ca.gov/community-development/housing-element/docs/rivcalimesadraftout021522.pdf,10/7/2022,7879.0,"$56,903",CALIMESA Riverside County CA,"Calimesa, CA, USA","(34.0039039, -117.0619755, 0.0)",34.0039039,-117.0619755,0.0,Calimesa in Riverside County
35,LA QUINTA,Riverside County,OUT,10/15/2021,Adopted & Reviewed,9/27/2022,SCAG,"https://www.laquintaca.gov/home/showpublisheddocument/45305/637599587940170000, https://www.laquintaca.gov/home/showpublisheddocument/45749",http://www.hcd.ca.gov/community-development/housing-element/docs/RivLaQuintaDraftIn062922.pdf,10/7/2022,37467.0,"$77,839",LA QUINTA Riverside County CA,"La Quinta, CA, USA","(33.6633573, -116.3100095, 0.0)",33.6633573,-116.3100095,0.0,La quinta in Riverside County
36,ONTARIO,San Bernardino County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.ontarioplan.org/wp-content/uploads/sites/4/2021/10/Ontario-Housing-Element-Update_Public-Review-Draft_October-2021.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/SbdOntarioAdoptedOut051022.pdf,10/7/2022,163924.0,"$65,046",ONTARIO San Bernardino County CA,"Ontario, CA, USA","(34.0633443, -117.6508876, 0.0)",34.0633443,-117.6508876,0.0,Ontario in San Bernardino County
37,REDLANDS,San Bernardino County,IN,10/15/2021,Adopted & Reviewed,10/6/2022,SCAG,https://www.cityofredlands.org/sites/main/files/file-attachments/1_public_review_draft_redlands_6th_cycle_housing_element_final.pdf?1631312794,https://r20.rs6.net/tn.jsp?f=001hsrDT-aEXs-bDMjB0i1KfKouLkDYK4qiquK1_8oLHtTOtDLJ61T-wqSNHJEYckSP_0M646U-an6dy0DHKrDid5F_yqRCbaOLpdAR9o3QlA5W3rr7V4jF6BwNTxZPfYZdP0AcI9gGEtiQ2XU3UOkuVmnr1Kl4X1dq6cnGkuNRcNv3bAPIw38lRVNBRJXu4i7CT5ZiNCnQi_HG04QwZcB_AJnPkoV4EDhPcGD6b2jfHX0EqX1Tk7A0QQ==&c=yhDhFqz21VFwyER7amzjW_HYWw2GAdT2kjvNYFf0XYuBvDaMF39w0g==&ch=QMaEj7nSywWqOtWODZ0exmfEntisA0_hAETF19k8hymJNXgwwcPVDA==,10/7/2022,68747.0,"$74,839",REDLANDS San Bernardino County CA,"Redlands, CA, USA","(34.0555693, -117.1825381, 0.0)",34.0555693,-117.1825381,0.0,Redlands in San Bernardino County
38,LA HABRA HEIGHTS,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.lhhcity.org/288/Housing-Element-Update,http://www.hcd.ca.gov/community-development/housing-element/docs/LanLaHabraHeightsDraftOur061322.pdf,10/6/2022,5325.0,"$115,762",LA HABRA HEIGHTS Los Angeles County CA,"La Habra Heights, CA, USA","(33.9608461, -117.9506186, 0.0)",33.9608461,-117.9506186,0.0,La habra heights in Los Angeles County
39,DIAMOND BAR,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.diamondbarca.gov/DocumentCenter/View/7669/Diamond-Bar-2021-2029-Housing-Element-Public-Review-Draft_3-25,,10/5/2022,55544.0,"$99,083",DIAMOND BAR Los Angeles County CA,"Diamond Bar, CA, USA","(34.0286226, -117.8103367, 0.0)",34.0286226,-117.8103367,0.0,Diamond bar in Los Angeles County
40,NEWPORT BEACH,Orange County,IN,10/15/2021,Adopted & Reviewed,,SCAG,"https://www.newportbeachca.gov/PLN/Housing_Element_Update/March_10_2021_Draft/Complete_Document.pdf, https://www.newportbeachca.gov/home/showpublisheddocument/70105/637612696793600000",http://www.hcd.ca.gov/community-development/housing-element/docs/oraNewportBeachadoptedout041122.pdf,10/5/2022,85186.0,"$127,223",NEWPORT BEACH Orange County CA,"Newport Beach, CA, USA","(33.6188829, -117.9298493, 0.0)",33.6188829,-117.9298493,0.0,Newport beach in Orange County
41,PORT HUENEME,Ventura County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.ci.port-hueneme.ca.us/1272/2045-General-Plan,http://www.hcd.ca.gov/community-development/housing-element/docs/venPortHuenemeAdopt062322.pdf,10/5/2022,21723.0,"$64,126",PORT HUENEME Ventura County CA,"Port Hueneme, CA, USA","(34.1477829, -119.1951074, 0.0)",34.1477829,-119.1951074,0.0,Port hueneme in Ventura County
42,BRAWLEY,Imperial County,OUT,10/15/2021,2nd Draft,,SCAG,http://www.brawley-ca.gov/cms/kcfinder/upload/files/planning/City%20of%20Brawley%20Draft%202021-2029%20Housing%20Element.pdf,https://r20.rs6.net/tn.jsp?f=001hsrDT-aEXs-bDMjB0i1KfKouLkDYK4qiquK1_8oLHtTOtDLJ61T-wqSNHJEYckSPumYbS_E8IFgK6n-fdO4MVeg6or0lamEKHziox8GZjyN29oNvEou4rhZmXT2WctgqXDcorbdQkZPVJUsWxGBb_i8QxhK_8l7zOR0ODukQ8N0XYE7mnk89rIV2ltD71idEr7KtU56G3s5hJXYeQtoW2oMH4IeQ3HzEUWT3nnSf3qXUB9TGYoku2g==&c=yhDhFqz21VFwyER7amzjW_HYWw2GAdT2kjvNYFf0XYuBvDaMF39w0g==&ch=QMaEj7nSywWqOtWODZ0exmfEntisA0_hAETF19k8hymJNXgwwcPVDA==,10/4/2022,24953.0,"$42,326",BRAWLEY Imperial County CA,"Brawley, CA 92227, USA","(32.9786566, -115.530267, 0.0)",32.9786566,-115.530267,0.0,Brawley in Imperial County
43,RIALTO,San Bernardino County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.yourrialto.com/633/Plan-to-House-Our-Rialto-Housing-Element,http://www.hcd.ca.gov/community-development/housing-element/docs/SbdRialtoAdoptedOut060322.pdf,10/3/2022,99171.0,"$61,518",RIALTO San Bernardino County CA,"Rialto, CA, USA","(34.1064001, -117.3703235, 0.0)",34.1064001,-117.3703235,0.0,Rialto in San Bernardino County
44,CALIPATRIA,Imperial County,IN,10/15/2021,Adopted & Reviewed,,SCAG,,http://www.hcd.ca.gov/community-development/housing-element/docs/ImpCalipatriaAdoptedOut071422.pdf,9/30/2022,7705.0,"$36,883",CALIPATRIA Imperial County CA,"Calipatria, CA 92233, USA","(33.1255957, -115.5141538, 0.0)",33.1255957,-115.5141538,0.0,Calipatria in Imperial County
45,IMPERIAL,Imperial County,IN,10/15/2021,Adopted & Reviewed,,SCAG,,http://www.hcd.ca.gov/community-development/housing-element/docs/impImperialCityDraft070522.pdf,9/30/2022,14758.0,"$85,654",IMPERIAL Imperial County CA,"Imperial, CA, USA","(32.8475528, -115.5694391, 0.0)",32.8475528,-115.5694391,0.0,Imperial in Imperial County
46,EL MONTE,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.ci.el-monte.ca.us/644/CITY-OF-EL-MONTE-2021-2029-HOUSING-ELEME,http://www.hcd.ca.gov/community-development/housing-element/docs/lanElMonteAdoptedOUT041122.pdf,9/30/2022,113475.0,"$49,003",EL MONTE Los Angeles County CA,"El Monte, CA, USA","(34.0686206, -118.0275667, 0.0)",34.0686206,-118.0275667,0.0,El monte in Los Angeles County
47,LA VERNE,Los Angeles County,OUT,10/15/2021,2nd Draft,,SCAG,,,9/30/2022,31063.0,"$88,131",LA VERNE Los Angeles County CA,"La Verne, CA 91750, USA","(34.1008426, -117.7678355, 0.0)",34.1008426,-117.7678355,0.0,La verne in Los Angeles County
48,POMONA,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.pomonaca.gov/home/showpublisheddocument/3711https://www.pomonaca.gov/government/departments/development-services/planning-division/general-plan/pro-housing-pomona ,http://www.hcd.ca.gov/community-development/housing-element/docs/lanPomonaAdoptcorrected041222.pdf,9/30/2022,149058.0,"$60,598",POMONA Los Angeles County CA,"Pomona, CA, USA","(34.055103, -117.7499909, 0.0)",34.055103,-117.7499909,0.0,Pomona in Los Angeles County
49,HUNTINGTON BEACH,Orange County,OUT,10/15/2021,2nd Draft,,SCAG,https://www.huntingtonbeachca.gov/files/users/housing-element-update/Public-Review-Draft-Housing-Element.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/OraHuntingtonBeachDraftOut060922.pdf,9/30/2022,189992.0,"$95,046",HUNTINGTON BEACH Orange County CA,"Huntington Beach, CA, USA","(33.6594835, -117.9988026, 0.0)",33.6594835,-117.9988026,0.0,Huntington beach in Orange County
50,NEEDLES,San Bernardino County,IN,10/15/2021,Adopted,,SCAG,,,9/30/2022,4844.0,"$33,717",NEEDLES San Bernardino County CA,"Needles, CA 92363, USA","(34.8480597, -114.6141315, 0.0)",34.8480597,-114.6141315,0.0,Needles in San Bernardino County
51,LAGUNA HILLS,Orange County,OUT,10/15/2021,2nd Draft,,SCAG,https://www.lagunahillsca.gov/DocumentCenter/View/6539/Public-Review-Draft-2021-2029-Laguna-Hills-Housing-Element-Update?bidId=,oraLagunaNiguelADOPTEDOUT011922.pdf,9/28/2022,30344.0,"$100,985",LAGUNA HILLS Orange County CA,"Laguna Hills, CA, USA","(33.5916433, -117.6986604, 0.0)",33.5916433,-117.6986604,0.0,Laguna hills in Orange County
52,HAWAIIAN GARDENS,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://hgcity.primegov.com/meeting/attachment/673.pdf?name=Attachment%20B-%20Draft%206th%20Cycle%20Housing%20Element,https://r20.rs6.net/tn.jsp?f=001hsrDT-aEXs-bDMjB0i1KfKouLkDYK4qiquK1_8oLHtTOtDLJ61T-wqSNHJEYckSPBKeCNsf5hURw0onusfkmw1wBzq7uq1EpIUCVF2oNJysefKMFWJ2kLk_cb_Pvont_S8xaBCu-2byD0zIkYVA2bSb76CSrv3kvjaBKPnFkqXJ5buqmONIUmkKllcoFxhdpIaxIOS6fMRbk9VpxnZm0lVN7rpY0ODhQQewigzvskCYZcP9H_ysZXpVCSTGw5Up6&c=yhDhFqz21VFwyER7amzjW_HYWw2GAdT2kjvNYFf0XYuBvDaMF39w0g==&ch=QMaEj7nSywWqOtWODZ0exmfEntisA0_hAETF19k8hymJNXgwwcPVDA==,9/26/2022,14254.0,"$49,483",HAWAIIAN GARDENS Los Angeles County CA,"Hawaiian Gardens, CA, USA","(33.8314045, -118.0728424, 0.0)",33.8314045,-118.0728424,0.0,Hawaiian gardens in Los Angeles County
