|building_address_city|List Date|Close Date|days_on_market|Sale Price|Sq. Ft.|price_per_sqft|Agent|Listing Broker|Buyer Agent|Buyer Broker|geo_address|building_name|address_only|loc|point|lat|lon|altitude|Sale Price int|price_per_sqft_int|year
15|Marquis 1100 E Biscayne Blvd 3507 Miami|11/18/2021|5/11/2022|158|$3,200,000.00|3776|$847.46|Domenico Albano|A & D Group Realty LLC|Ozgur Ureten|NB Elite Realty|Marquis 1100 E Biscayne Blvd 3507 Miami|Marquis |1100 E Biscayne Blvd 3507 Miami|1100 Biscayne Blvd UNIT 3507, Miami, FL 33132, USA|(25.7852071, -80.1901214, 0.0)|25.7852071|-80.1901214|0.0|3200000.0|847.46|2021
16|Prive Condo 5500 Island Estates Dr 1106 Aventura|2/19/2020|5/12/2022|775|$3,200,000.00|2877|$1,112.27|Jonathan Lief|Aventura Real Estate|Nicole Holtzheuser|Florida Luxurious Properties|Prive Condo 5500 Island Estates Dr 1106 Aventura|Prive Condo |5500 Island Estates Dr 1106 Aventura|5500 Island Estates Dr #1106, Aventura, FL 33160, USA|(25.946531, -80.130636, 0.0)|25.946531|-80.130636|0.0|3200000.0|1112.27|2021
17|Murano at Portofino Condo 1000 S Pointe Dr 101 Miami Beach|11/18/2021|5/11/2022|110|$3,200,000.00|1445|$2,214.53|Carolina Rainer|Douglas Elliman|James Kay|Premier Brokers Int'l Inc|Murano at Portofino Condo 1000 S Pointe Dr 101 Miami Beach|Murano at Portofino Condo |1000 S Pointe Dr 101 Miami Beach|1000 South Pointe Dr APT 101, Miami Beach, FL 33139, USA|(25.7690044, -80.1381107, 0.0)|25.7690044|-80.1381107|0.0|3200000.0|2214.53|2021
18|The Caribbean Condo 3737 Collins Ave S-1103 Miami Beach|1/24/2022|5/10/2022|33|$2,625,000.00|1621|$1,619.37|Ida Schwartz|Compass Florida LLC|Stacy Robins|Stacy Robins Companies Inc|The Caribbean Condo 3737 Collins Ave S-1103 Miami Beach|The Caribbean Condo |3737 Collins Ave S-1103 Miami Beach|3737 Collins Ave s 1103, Miami Beach, FL 33140, USA|(25.810647, -80.122714, 0.0)|25.810647|-80.122714|0.0|2625000.0|1619.37|2021
19|G0rove Isle Condo 2 Grove Isle Dr B1702 Miami|3/28/2022|5/9/2022|11|$2,070,000.00|2398|$863.22|Alec Macias|Sea Grove Realty|Alec Macias|Sea Grove Realty|G0rove Isle Condo 2 Grove Isle Dr B1702 Miami|G|0rove Isle Condo 2 Grove Isle Dr B1702 Miami|2 Grove Isle Dr B1702, Miami, FL 33133, USA|(25.7351295, -80.21874609999999, 0.0)|25.7351295|-80.21874609999999|0.0|2070000.0|863.22|2021
20|Apogee Condo 800 S Pointe Dr 1401 Miami  Beach|1/26/2021|5/16/2022|360|$12,250,000.00|6595|$2,948.96|Billy Hernandez|Douglas Elliman|Clemente Sanchez PA|Luxe Living Realty|Apogee Condo 800 S Pointe Dr 1401 Miami  Beach|Apogee Condo |800 S Pointe Dr 1401 Miami  Beach|800 South Pointe Dr APT 1401, Miami Beach, FL 33139, USA|(25.7677245, -80.13634490000001, 0.0)|25.7677245|-80.13634490000001|0.0|12250000.0|2948.96|2021
21|Mansions at Acqualina 17749 Collins Ave 2401/2402 Sunny Isles Beach|12/25/2021|5/18/2022|99|$12,210,000.00|9218|$1,324.58|Boris Vertsberger|FIP Realty Services, LLC|Chad Carroll|Compass Florida, LLC|Mansions at Acqualina 17749 Collins Ave 2401/2402 Sunny Isles Beach|Mansions at Acqualina |17749 Collins Ave 2401/2402 Sunny Isles Beach|17749 Collins Ave, Sunny Isles Beach, FL 33160, USA|(25.9400648, -80.12026379999999, 0.0)|25.9400648|-80.12026379999999|0.0|12210000.0|1324.58|2021
22|Fisher Island 7046 Fisher Island Dr 7046 Miami Beach|5/28/2021|5/17/2022|266|$10,400,000.00|3835|$2,711.86|Karla Abaunza|Luxury Living Realty|Jill Eber|Coldwell Banker|Fisher Island 7046 Fisher Island Dr 7046 Miami Beach|Fisher Island |7046 Fisher Island Dr 7046 Miami Beach|7046 Fisher Island Dr #7046, Miami Beach, FL 33109, USA|(25.7623526, -80.1473326, 0.0)|25.7623526|-80.1473326|0.0|10400000.0|2711.86|2021
23|Regalia 19575 Collins Ave 38 Sunny Isles Beach|2/4/2022|5/17/2022|35|$10,150,000.00|7600|$1,840.44|Chad Carroll|Compass Florida, LLC|Roberto Morales|Edmond Roberts, LLC|Regalia 19575 Collins Ave 38 Sunny Isles Beach|Regalia |19575 Collins Ave 38 Sunny Isles Beach|19575 Collins Ave UNIT 38, Sunny Isles Beach, FL 33160, USA|(25.956929, -80.1193868, 0.0)|25.956929|-80.1193868|0.0|10150000.0|1840.44|2021
24|Oceana Key Biscayne 350 Ocean Dr 403N Key Biscayne|3/9/2022|5/16/2022|12|$7,400,000.00|3005|$2,462.56|Monica Slodarz|Compass Florida, LLC|Lisa Sayfie|Compass Florida, LLC|Oceana Key Biscayne 350 Ocean Dr 403N Key Biscayne|Oceana Key Biscayne |350 Ocean Dr 403N Key Biscayne|350 Ocean Dr #403n, Key Biscayne, FL 33149, USA|(25.694538, -80.15759829999999, 0.0)|25.694538|-80.15759829999999|0.0|7400000.0|2462.56|2021
25|Fisher Island 7951 Fisher Island Dr 7951 Miami Beach|3/3/2022|5/16/2022|15|$5,999,000.00|3140|$1,910.51|Lazaro Rivero|Rivero Real Estate, Inc|Karla Abaunza|Luxury Living Realty|Fisher Island 7951 Fisher Island Dr 7951 Miami Beach|Fisher Island |7951 Fisher Island Dr 7951 Miami Beach|7951 Fisher Island Dr #7951, Miami Beach, FL 33109, USA|(25.7589149, -80.13751099999999, 0.0)|25.7589149|-80.13751099999999|0.0|5999000.0|1910.51|2021
26|Residences by Armani Casa 18975 Collins Ave 1500 Sunny Isles Beach|10/19/2020|5/18/2022|540|$5,200,000.00|3748|$1,387.41|Melissa Barragan|Dezer Platinum Realty LLC|Neal Klotsman|Douglas Elliman|Residences by Armani Casa 18975 Collins Ave 1500 Sunny Isles Beach|Residences by Armani Casa |18975 Collins Ave 1500 Sunny Isles Beach|18975 Collins Ave #1500, Sunny Isles Beach, FL 33160, USA|(25.9529783, -80.1191546, 0.0)|25.9529783|-80.1191546|0.0|5200000.0|1387.41|2021
27|Eighty Seven Park 8701 Collins Ave 706 Miami Beach|6/2/2021|5/18/2022|327|$4,875,000.00|3206|$2,749.58|Diana Garchitorena|Douglas Elliman|Diana Garchitorena|Douglas Elliman|Eighty Seven Park 8701 Collins Ave 706 Miami Beach|Eighty Seven Park |8701 Collins Ave 706 Miami Beach|8701 Collins Ave #706, Miami Beach, FL 33154, USA|(25.8720993, -80.1218779, 0.0)|25.8720993|-80.1218779|0.0|4875000.0|2749.58|2021
28|Murano Grande Portofino 400 Alton Rd 3103 Miami Beach|1/19/2022|5/17/2022|26|$4,400,000.00|3058|$1,438.85|Daniel Hertzberg|Coldwell Banker|Oliver Lloyd|Douglas Elliman|Murano Grande Portofino 400 Alton Rd 3103 Miami Beach|Murano Grande Portofino |400 Alton Rd 3103 Miami Beach|400 Alton Rd APT 3103, Miami Beach, FL 33139, USA|(25.7727159, -80.14041569999999, 0.0)|25.7727159|-80.14041569999999|0.0|4400000.0|1438.85|2021
29|W0  South Beach 2201 Collins Ave 801 Miami Beach|1/21/2022|5/16/2022|83|$3,650,000.00|1543|$2,365.52|Matthew Crane|Compass Florida, LLC|Christopher Adeleke|Douglas Elliman|W0  South Beach 2201 Collins Ave 801 Miami Beach|W|0  South Beach 2201 Collins Ave 801 Miami Beach|2201 Collins Ave #801, Miami Beach, FL 33139, USA|(25.7975046, -80.1281362, 0.0)|25.7975046|-80.1281362|0.0|3650000.0|2365.52|2021
30|Fendi Chateau 9349 Collins Ave 402 Surfside|3/24/2022|5/25/2022|14|$9,500,000.00|3453|$2,751.23|Romina Grinberg|Brown Harris Stevens|Ximena Penuela|Clarte Realty|Fendi Chateau 9349 Collins Ave 402 Surfside|Fendi Chateau |9349 Collins Ave 402 Surfside|9349 Collins Ave Apt 402, Surfside, FL 33154, USA|(25.8830205, -80.1216893, 0.0)|25.8830205|-80.1216893|0.0|9500000.0|2751.23|2021
31|Oceana Bal Harbour Condo 10201 Collins Ave 2402 Bal Harbour|11/1/2021|5/24/2022|146|$8,500,000.00|3450|$2,463.77|Matias Derito|HQ Int'l Realty Group, LLC|Bruno Junqueira|Coldwell Banker Realty|Oceana Bal Harbour Condo 10201 Collins Ave 2402 Bal Harbour|Oceana Bal Harbour Condo |10201 Collins Ave 2402 Bal Harbour|10201 Collins Ave Unit 2402, Bal Harbour, FL 33154, USA|(25.8951782, -80.1231506, 0.0)|25.8951782|-80.1231506|0.0|8500000.0|2463.77|2021
32|One Ocean 1 Collins Ave 406 Miami Beach|4/18/2022|5/24/2022|10|$6,995,000.00|3337|$2,096.19|Dina Goldentayer|Douglas Elliman|Marco Tine|Coldwell Banker Realty|One Ocean 1 Collins Ave 406 Miami Beach|One Ocean |1 Collins Ave 406 Miami Beach|1 Collins Ave Unit 406, Miami Beach, FL 33139, USA|(25.768079, -80.1339531, 0.0)|25.768079|-80.1339531|0.0|6995000.0|2096.19|2021
33|St Regis Bal Harbour 9705 Collins Ave 403N Bal Harbour|9/2/2021|5/24/2022|204|$5,100,000.00|2840|$1,795.77|Ricardo Montalvan|Weichert Realtors, NexGen|NON-MLS MEMBER|Non-MLS Member|St Regis Bal Harbour 9705 Collins Ave 403N Bal Harbour|St Regis Bal Harbour |9705 Collins Ave 403N Bal Harbour|9705 Collins Ave #403n, Bal Harbour, FL 33154, USA|(25.8892229, -80.1228812, 0.0)|25.8892229|-80.1228812|0.0|5100000.0|1795.77|2021
34|The Caribbean Condo 3739 Collins Ave N-601/3 Miami Beach|1/18/2022|5/26/2022|120|$4,250,000.00|3357|$1,266.01|Michael Duchon|The Corcoran Group|Eloy Carmenate|The Corcoran Group|The Caribbean Condo 3739 Collins Ave N-601/3 Miami Beach|The Caribbean Condo |3739 Collins Ave N-601/3 Miami Beach|3739 Collins Ave, Miami Beach, FL 33140, USA|(25.8105453, -80.1225323, 0.0)|25.8105453|-80.1225323|0.0|4250000.0|1266.01|2021
35|Green Diamond 4775 Collins Ave 3503 Miami Beach|4/12/2022|5/23/2022|8|$3,265,500.00|1980|$1,649.24|Michele Redlich|Coldwell Banker Realty|Menachem Fellig|Compass Florida, LLC|Green Diamond 4775 Collins Ave 3503 Miami Beach|Green Diamond |4775 Collins Ave 3503 Miami Beach|4775 Collins Ave APT 3503, Miami Beach, FL 33140, USA|(25.8227293, -80.1226745, 0.0)|25.8227293|-80.1226745|0.0|3265500.0|1649.24|2021
36|Ritz Carlton 15701 Collins Ave 3703 Sunny Isles Beach|10/8/2021|5/24/2022|194|$2,900,000.00|1447|$2,004.15|Giulietta Ulloa|BHHS EWM Realty|Richard Klassman|Winston Towers Realty, Inc|Ritz Carlton 15701 Collins Ave 3703 Sunny Isles Beach|Ritz Carlton |15701 Collins Ave 3703 Sunny Isles Beach|15701 Collins Ave #3703, North Miami Beach, FL 33160, USA|(25.9220146, -80.1217034, 0.0)|25.9220146|-80.1217034|0.0|2900000.0|2004.15|2021
37|Jade Residences Brickell 1331 Brickell Bay Dr 3405 Miami|4/1/2022|5/26/2022|39|$2,575,000.00|2130|$1,208.92|Silvana Giuffrida|London Real Estate Co|Christopher Richard|Re/Max Advance Realty|Jade Residences Brickell 1331 Brickell Bay Dr 3405 Miami|Jade Residences Brickell |1331 Brickell Bay Dr 3405 Miami|1331 Brickell Bay Dr APT 3405, Miami, FL 33131, USA|(25.7603363, -80.1893438, 0.0)|25.7603363|-80.1893438|0.0|2575000.0|1208.92|2021
38|Casa del Mar 881 Ocean Dr 10A Key Biscayne|3/3/2022|5/23/2022|15|$2,500,000.00|3120|$801.28|Karina Asturias Reguera|Compass Florida, LLC|Dolores Urdapilleta|Urdapilleta Real Estate, LLC|Casa del Mar 881 Ocean Dr 10A Key Biscayne|Casa del Mar |881 Ocean Dr 10A Key Biscayne|881 Ocean Dr #10a, Key Biscayne, FL 33149, USA|(25.685686, -80.15729309999999, 0.0)|25.685686|-80.15729309999999|0.0|2500000.0|801.28|2021
39|J0ade Ocean Condo 17121 Collins Ave 1608 Sunny Isles Beach|3/3/2022|5/24/2022|19|$2,275,000.00|1956|$1,163.09|Richard Goihman|Douglas Elliman|Vanesa Seijas|Urban Development & Investments LLC|J0ade Ocean Condo 17121 Collins Ave 1608 Sunny Isles Beach|J|0ade Ocean Condo 17121 Collins Ave 1608 Sunny Isles Beach|17121 Collins Ave APT 1608, Sunny Isles Beach, FL 33160, USA|(25.9343529, -80.1210992, 0.0)|25.9343529|-80.1210992|0.0|2275000.0|1163.09|2021
42|Oceana Key Biscayne 360 Ocean Dr 1101S Key Biscayne|2/8/2022|5/31/2022|44|$8,500,000.00|3791|$2,242.15|Riley Smith|BHHS EWM Realty|Riley Smith|BHHS EWM Realty|Oceana Key Biscayne 360 Ocean Dr 1101S Key Biscayne|Oceana Key Biscayne |360 Ocean Dr 1101S Key Biscayne|360 Ocean Dr #1101s, Key Biscayne, FL 33149, USA|(25.6942877, -80.1578218, 0.0)|25.6942877|-80.1578218|0.0|8500000.0|2242.15|2021
43|The Grove at Grand Bay 2675 S Bayshore Dr 1201S Miami|3/16/2022|5/31/2022|16|$8,400,000.00|4824|$1,741.29|John De Olazarra|Properties Group Inc|Michael Martirena|Compass Florida, LLC|The Grove at Grand Bay 2675 S Bayshore Dr 1201S Miami|The Grove at Grand Bay |2675 S Bayshore Dr 1201S Miami|2675 S Bayshore Dr #1201s, Miami, FL 33133, USA|(25.729886, -80.2368583, 0.0)|25.729886|-80.2368583|0.0|8400000.0|1741.29|2021
44|Continuum on South Beach 100 S Pointe Dr 3106 Miami Beach|5/2/2022|5/31/2022|9|$7,050,000.00|2048|$3,442.38|Juan Alvarez|Blokhaus Real Estate|Sheila Rojas|Brown Harris Stevens|Continuum on South Beach 100 S Pointe Dr 3106 Miami Beach|Continuum on South Beach |100 S Pointe Dr 3106 Miami Beach|100 South Pointe Dr APT 3106, Miami Beach, FL 33139, USA|(25.7676323, -80.137348, 0.0)|25.7676323|-80.137348|0.0|7050000.0|3442.38|2021
47|Residences by Armani Casa 18975 Collins Ave 4602 Sunny Isles Beach|1/28/2021|5/31/2022|449|$4,550,000.00|2682|$1,696.50|Mariana Niro|Douglas Elliman|Christian Espinosa|Optimar International Realty|Residences by Armani Casa 18975 Collins Ave 4602 Sunny Isles Beach|Residences by Armani Casa |18975 Collins Ave 4602 Sunny Isles Beach|18975 Collins Ave #4602, Sunny Isles Beach, FL 33160, USA|(25.9529783, -80.1191546, 0.0)|25.9529783|-80.1191546|0.0|4550000.0|1696.5|2021
49|O0 ceana Key Biscayne 360 Ocean Dr 604S Key Biscayne|1/25/2022|5/31/2022|82|$3,960,000.00|1703|$2,325.31|Andrey Jimenez-Trushina|One Sotheby's Intl Realty|Nurit Edelman|Nurit Edelman Realty, Inc|O0 ceana Key Biscayne 360 Ocean Dr 604S Key Biscayne|O|0 ceana Key Biscayne 360 Ocean Dr 604S Key Biscayne|360 Ocean Dr #604s, Key Biscayne, FL 33149, USA|(25.6942877, -80.1578218, 0.0)|25.6942877|-80.1578218|0.0|3960000.0|2325.31|2021
