type,price_per_month,address,Listing agent ,On Market,,,links used:
For Rent - House,"$73,000","101 Cape Florida DrKey Biscayne, FL 33149",,,,,
For Rent - Condo,"$66,000","100 S Pointe Dr Units 1804 & 1805Miami Beach, FL 33139",,,,,
For Rent - Condo,"$65,000","9701 Collins Ave Unit 2304SBal Harbour, FL 33154",,,,,
For Rent - House,"$65,000","1620 W 21st StMiami Beach, FL 33140",,,,,
For Rent - House,"$65,000","111 E Dilido DrMiami Beach, FL 33139",,,,,
For Rent - Condo,"$65,000","19213 Fisher Island Dr Unit 19213Miami Beach, FL 33109",,,,,
For Rent - House,"$65,000","1401 N Venetian WayMiami Beach, FL 33139",,,,,
For Rent - House,"$65,000","20251 NE 25th AveMiami, FL 33180",,,,,
For Rent - Condo,"$62,500","101 20th St Unit TH-EMiami Beach, FL 33139",,,,,
For Rent - House,"$60,000","6819 Sunrise PlCoral Gables, FL 33133",,,,,
For Rent - House,"$350,000","3905 Gem Twist CtWellington, FL 33414",,,,,
For Rent - Condo,"$273,750","3800 N Ocean Dr Apt 518Riviera Beach, FL 33404",,,,,
For Rent - House,"$225,000","2444 B RdLoxahatchee Groves, FL 33470",,,,,
For Rent - House,"$165,000","143 E Inlet DrPalm Beach, FL 33480",,,,,
For Rent - House,"$150,000","300 Indian RdPalm Beach, FL 33480",,,,,
For Rent - House,"$150,000","1120 S Ocean BlvdManalapan, FL 33462",,,,,
For Rent - House,"$150,000","1200 S Ocean BlvdManalapan, FL 33462",,,,,
For Rent - House,"$150,000","2999 N Ocean BlvdGulf Stream, FL 33483",,,,,
For Rent - House,"$125,000","12 Lagomar RdPalm Beach, FL 33480",,,,,
For Rent - House,"$125,000","215 Indian RdPalm Beach, FL 33480",,,,,
For Rent - Condo,"$108,333","327 E Royal Palm Rd Unit 503Boca Raton, FL 33432",,,,,
For Rent - House,"$100,000","437 Chilean AvePalm Beach, FL 33480",,,,,
For Rent - House,"$100,000","145 Kings RdPalm Beach, FL 33480",,,,,
For Rent - House,"$100,000","179 E Inlet DrPalm Beach, FL 33480",,,,,
For Rent - House,"$95,000","177 Clarke AvePalm Beach, FL 33480",,,,,
For Rent - House,"$95,000","511 S Ocean BlvdDelray Beach, FL 33483",,,,,
For Rent - House,"$85,000","3 Pelican LnPalm Beach, FL 33480",,,,,
For Rent - House,"$85,000","224 Atlantic AvePalm Beach, FL 33480",,,,,
For Rent - House,"$85,000","12156 Longwood Green DrWellington, FL 33414",,,,,
For Rent - House,"$80,000","11333 Long Meadow DrWellington, FL 33414",,,,,
For Rent - House,"$75,000","323 Seabreeze AvePalm Beach, FL 33480",,,,,
For Rent - House,"$75,000","3660 Jappeloup LnWellington, FL 33414",,,,,
For Rent - House,"$70,000","130 Brazilian AvePalm Beach, FL 33480",,,,,
For Rent - House,"$65,000","361 Mizner Lake Estates DrBoca Raton, FL 33432",,,,,
For Rent - House,"$65,000","80 Middle RdPalm Beach, FL 33480",,,,,
For Rent - House,"$60,000","1003 Rhodes Villa AveDelray Beach, FL 33483",,,,,
For Rent - House,"$60,000","1014 Melaleuca RdDelray Beach, FL 33483",,,,,
For Rent - House,"$60,000","707 Oriole CirBoca Raton, FL 33431",,,,,
For Rent - House,"$60,000","1900 S Ocean BlvdLantana, FL 33462",,,,,
For Rent - House,"$60,000","13 Via VizcayaPalm Beach, FL 33480",,,,,
For Rent - House,"$60,000","1426 N Ocean BlvdPalm Beach, FL 33480",,,,,
For Rent - House,"$60,000","327 Arabian RdPalm Beach, FL 33480",,,,,
For Rent - House,"$60,000","229 Pendleton AvePalm Beach, FL 33480",,,,,
For Rent - House,"$55,000","241 List RdPalm Beach, FL 33480",,,,,
For Rent - House,"$55,000","1285 N Ocean BlvdPalm Beach, FL 33480",,,,,
For Rent - House,"$55,000","5605 S Flagler DrWest Palm Beach, FL 33405",,,,,
For Rent - House,"$50,000","1054 Melaleuca RdDelray Beach, FL 33483",,,,,
For Rent - House,"$50,000","221 Atlantic AvePalm Beach, FL 33480",,,,,
For Rent - Townhome,"$50,000","Palm Beach, FL 33480",,,,,
For Rent - House,"$50,000","591 Phillips DrBoca Raton, FL 33432",,,,,
For Rent - House,"$50,000","315 Seaspray AvePalm Beach, FL 33480",,,,,
For Rent - House,"$50,000","89 Lighthouse DrJupiter, FL 33469",,,,,
For Rent - Other,"$1,325,000","1941 NE 1st StDeerfield Beach, FL 33441",,,,,
For Rent - House,"$419,900","3831 NE 5th AvePompano Beach, FL 33064",,,,,
For Rent - House,"$260,000","709 Idlewyld DrFort Lauderdale, FL 33301",,,,,
For Rent - House,"$250,000","529 Bontona AveFort Lauderdale, FL 33301",,,,,
For Rent - House,"$216,666","414 Riviera IsleFort Lauderdale, FL 33301",,,,,
For Rent - House,"$212,333","2306 Bay DrPompano Beach, FL 33062",,,,,
For Rent - House,"$135,000","2890 NE 28th St Unit 2890Fort Lauderdale, FL 33306",,,,,
For Rent - House,"$108,333","400 Royal Plaza DrFort Lauderdale, FL 33301",,,,,
For Rent - House,"$105,000","Fort Lauderdale, FL 33308",,,,,
For Rent - House,"$105,000","2204 Bay DrPompano Beach, FL 33062",,,,,
For Rent - House,"$100,000","401 Lido DrFort Lauderdale, FL 33301",,,,,
For Rent - House,"$100,000","2300 Aqua Vista BlvdFort Lauderdale, FL 33301",,,,,
For Rent - Condo,"$95,000","440 Mola AveFort Lauderdale, FL 33301",,,,,
For Rent - House,"$95,000","2200 Bay DrPompano Beach, FL 33062",,,,,
For Rent - House,"$95,000","418 Sunset DrHallandale Beach, FL 33009",,,,,
For Rent - House,"$95,000","1400 Bayview DrFort Lauderdale, FL 33304",,,,,
For Rent - House,"$84,500","9 E Fiesta WayFort Lauderdale, FL 33301",,,,,
For Rent - House,"$80,166","Fort Lauderdale, FL 33308",,,,,
For Rent - House,"$75,000","511 Isle of Capri DrFort Lauderdale, FL 33301",,,,,
For Rent - House,"$75,000","7401 Peppertree Cir SDavie, FL 33314",,,,,
For Rent - House,"$65,000","2817 NE 35th StFort Lauderdale, FL 33306",,,,,
For Rent - House,"$65,000","310 SE 11th AveFort Lauderdale, FL 33301",,,,,
For Rent - House,"$65,000","1025 Diplomat PkwyHollywood, FL 33019",,,,,
For Rent - Condo,"$65,000","472 Sunset DrHallandale Beach, FL 33009",,,,,
For Rent - House,"$65,000","628 Coral WayFort Lauderdale, FL 33301",,,,,
For Rent - House,"$60,000","300 Royal Plaza DrFort Lauderdale, FL 33301",,,,,
For Rent - House,"$60,000","2700 SE 18th St Unit 100Fort Lauderdale, FL 33301",,,,,
For Rent - House,"$60,000","2505 Laguna TerFort Lauderdale, FL 33316",,,,,
For Rent - House,"$60,000","1313 E Lake DrFort Lauderdale, FL 33316",,,,,
For Rent - Condo,"$59,900","333 Las Olas Way Apt 3210Fort Lauderdale, FL 33301",,,,,
For Rent - House,"$58,000","7 Pelican DrFort Lauderdale, FL 33301",,,,,
For Rent - House,"$55,000","1799 N Fort Lauderdale Beach BlvdFort Lauderdale, FL 33305",,,,,
For Rent - House,"$55,000","1761 SE 7th StFort Lauderdale, FL 33316",,,,,
For Rent - House,"$55,000","14305 Stirling RdSouthwest Ranches, FL 33330",,,,,
For Rent - House,"$55,000","2508 Mercedes DrFort Lauderdale, FL 33316",,,,,
For Rent - House,"$54,000","510 San Marco DrFort Lauderdale, FL 33301",,,,,
For Rent - House,"$50,000","2929 Center AveFort Lauderdale, FL 33308",,,,,
For Rent - House,"$50,000","42 Nurmi DrFort Lauderdale, FL 33301",,,,,
For Rent - House,"$50,000","Fort Lauderdale, FL 33308",,,,,
For Rent - House,"$50,000","703 Harrison StHollywood, FL 33019",,,,,
For Rent - House,"$50,000","74 Nurmi DrFort Lauderdale, FL 33301",6,,,,
For Rent - Condo,"$49,500","525 N Fort Lauderdale Beach Blvd Ph 1902Fort Lauderdale, FL 33304",,,,,
