Eviction ID,Address,City,State,Eviction Notice Source Zipcode,File Date,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,Constraints Date,Supervisor District,Neighborhoods - Analysis Boundaries,Location,Shape,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Neighborhoods,DELETE - Police Districts,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Zip Codes,"CBD, BID and GBD Boundaries as of 2017",Central Market/Tenderloin Boundary,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary Polygon - Updated,Fix It Zones as of 2018-02-07,Neighborhoods
M230048,200 Block Of Fremont  Street,San Francisco,CA,94105,1/9/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,Financial District/South Beach,"(37.78828581378092, -122.39396039143082)",POINT (-122.39396 37.788284),32,1,10,8,6,2,9,6,28855,3,,1,,,32
M230049,200 Block Of Fremont  Street,San Francisco,CA,94105,1/9/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,Financial District/South Beach,"(37.78828581378092, -122.39396039143082)",POINT (-122.39396 37.788284),32,1,10,8,6,2,9,6,28855,3,,1,,,32
M230050,200 Block Of Fremont  Street,San Francisco,CA,94105,1/9/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,Financial District/South Beach,"(37.78828581378092, -122.39396039143082)",POINT (-122.39396 37.788284),32,1,10,8,6,2,9,6,28855,3,,1,,,32
M230051,200 Block Of Fremont  Street,San Francisco,CA,94105,1/9/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,Financial District/South Beach,"(37.78828581378092, -122.39396039143082)",POINT (-122.39396 37.788284),32,1,10,8,6,2,9,6,28855,3,,1,,,32
M230052,200 Block Of Fremont  Street,San Francisco,CA,94105,1/9/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,Financial District/South Beach,"(37.78828581378092, -122.39396039143082)",POINT (-122.39396 37.788284),32,1,10,8,6,2,9,6,28855,3,,1,,,32
M230053,200 Block Of Fremont  Street,San Francisco,CA,94105,1/9/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,Financial District/South Beach,"(37.78828581378092, -122.39396039143082)",POINT (-122.39396 37.788284),32,1,10,8,6,2,9,6,28855,3,,1,,,32
M230054,200 Block Of Fremont  Street,San Francisco,CA,94105,1/9/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,Financial District/South Beach,"(37.78828581378092, -122.39396039143082)",POINT (-122.39396 37.788284),32,1,10,8,6,2,9,6,28855,3,,1,,,32
M230055,200 Block Of Fremont  Street,San Francisco,CA,94105,1/9/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,Financial District/South Beach,"(37.78828581378092, -122.39396039143082)",POINT (-122.39396 37.788284),32,1,10,8,6,2,9,6,28855,3,,1,,,32
M230056,200 Block Of Fremont  Street,San Francisco,CA,94105,1/9/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,Financial District/South Beach,"(37.78828581378092, -122.39396039143082)",POINT (-122.39396 37.788284),32,1,10,8,6,2,9,6,28855,3,,1,,,32
M230057,200 Block Of Fremont  Street,San Francisco,CA,94105,1/9/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,Financial District/South Beach,"(37.78828581378092, -122.39396039143082)",POINT (-122.39396 37.788284),32,1,10,8,6,2,9,6,28855,3,,1,,,32
M230058,200 Block Of Fremont  Street,San Francisco,CA,94105,1/9/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,Financial District/South Beach,"(37.78828581378092, -122.39396039143082)",POINT (-122.39396 37.788284),32,1,10,8,6,2,9,6,28855,3,,1,,,32
M230059,200 Block Of Fremont  Street,San Francisco,CA,94105,1/9/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,Financial District/South Beach,"(37.78828581378092, -122.39396039143082)",POINT (-122.39396 37.788284),32,1,10,8,6,2,9,6,28855,3,,1,,,32
M230060,200 Block Of Fremont  Street,San Francisco,CA,94105,1/9/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,Financial District/South Beach,"(37.78828581378092, -122.39396039143082)",POINT (-122.39396 37.788284),32,1,10,8,6,2,9,6,28855,3,,1,,,32
M230062,200 Block Of Fremont  Street,San Francisco,CA,94105,1/9/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,Financial District/South Beach,"(37.78828581378092, -122.39396039143082)",POINT (-122.39396 37.788284),32,1,10,8,6,2,9,6,28855,3,,1,,,32
M230063,200 Block Of Fremont  Street,San Francisco,CA,94105,1/9/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,Financial District/South Beach,"(37.78828581378092, -122.39396039143082)",POINT (-122.39396 37.788284),32,1,10,8,6,2,9,6,28855,3,,1,,,32
M230064,400 Block Of Eddy  Street,San Francisco,CA,94109,1/11/2023,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,Tenderloin,"(37.78361971423206, -122.41506205873048)",POINT (-122.41506 37.78362),20,5,10,36,36,10,9,7,28852,6,1,2,1,18,20
M230065,0 Block Of Mason  Street,San Francisco,CA,94102,1/10/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,Tenderloin,"(37.78379798027039, -122.40919797065438)",POINT (-122.409195 37.7838),,5,10,36,36,10,9,14,28852,6,1,2,1,18,19
M230066,100 Block Of Julian  Avenue,San Francisco,CA,94103,1/12/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,9,Mission,"(37.765788059307184, -122.42097895073323)",POINT (-122.42098 37.76579),53,3,2,20,19,4,7,8,28853,,,2,,,53
M230067,0 Block Of Turk  Street,San Francisco,CA,94102,1/12/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,Tenderloin,"(37.78333200817521, -122.40984274169635)",POINT (-122.40984 37.783333),20,5,10,36,36,10,9,14,28852,6,1,2,1,18,20
M230075,16601600 Block Of Beach  Street,San Francisco,CA,94123,1/9/2023,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2,Marina,"(37.804639472062256, -122.4362676775694)",POINT (-122.436264 37.804638),17,4,6,13,17,9,1,13,57,,,1,,,17
M230076,16601600 Block Of Beach  Street,San Francisco,CA,94123,1/9/2023,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2,Marina,"(37.804639472062256, -122.4362676775694)",POINT (-122.436264 37.804638),17,4,6,13,17,9,1,13,57,,,1,,,17
M230077,900 Block Of Divisadero  Street,San Francisco,CA,94115,1/13/2023,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,Western Addition,"(37.77826679927828, -122.43840705671468)",POINT (-122.43841 37.778267),97,4,11,39,41,5,11,15,29490,,,1,,,97
M230078,700 Block Of 20th  Avenue,San Francisco,CA,94121,1/13/2023,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,1,Outer Richmond,"(37.77374783406755, -122.47890432312936)",POINT (-122.478905 37.773746),8,8,4,29,26,6,2,11,55,,,1,,,8
M230079,0 Block Of South Park  Street,San Francisco,CA,94107,1/13/2023,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,Financial District/South Beach,"(37.78199360409787, -122.39371016890492)",POINT (-122.39371 37.781994),31,1,10,8,6,2,9,6,28856,,,1,,,31
M230080,0 Block Of Turk  Street,San Francisco,CA,94102,1/18/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,Tenderloin,"(37.78333200817521, -122.40984274169635)",POINT (-122.40984 37.783333),20,5,10,36,36,10,9,14,28852,6,1,2,1,18,20
M230081,1500 Block Of Great  Highway,San Francisco,CA,94122,1/18/2023,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4,Sunset/Parkside,"(37.75748284236077, -122.50900691477293)",POINT (-122.50901 37.757484),39,10,7,35,35,8,3,1,56,,,1,,,39
M230082,1100 Block Of Market  Street,San Francisco,CA,94103,1/18/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,South of Market,"(37.77956997369328, -122.41359142040496)",POINT (-122.41359 37.77957),32,5,10,34,34,2,9,8,28853,7,1,2,1,3,32
M230083,200 Block Of 07th  Street,San Francisco,CA,94103,1/18/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,South of Market,"(37.77736159963831, -122.40861452768395)",POINT (-122.408615 37.777363),32,1,10,34,34,2,9,8,28853,,,2,,6,32
M230084,500 Block Of Guerrero  Street,San Francisco,CA,94110,1/19/2023,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,9,Mission,"(37.76194921463705, -122.4238874964214)",POINT (-122.42389 37.761948),37,3,5,20,19,4,5,8,28859,,,1,,,37
M230085,600 Block Of San Jose  Avenue,San Francisco,CA,94110,1/20/2023,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,9,Noe Valley,"(37.74595432429292, -122.42187162528307)",POINT (-122.421875 37.745953),84,9,5,22,22,7,5,2,28859,,,1,,,84
M230086,0 Block Of Commer  Court,San Francisco,CA,94124,1/23/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,10,Bayview Hunters Point,"(37.73258751060433, -122.384979683289)",POINT (-122.38498 37.732586),86,2,9,1,1,3,8,10,58,,,2,,,86
M230087,800 Block Of Capp  Street,San Francisco,CA,94110,1/23/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,9,Mission,"(37.75310401634676, -122.417431859216)",POINT (-122.417435 37.753105),53,3,2,20,19,4,7,2,28859,,,2,,,53
M230088,0 Block Of Osceola  Lane,San Francisco,CA,94124,1/24/2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,10,Bayview Hunters Point,"(37.731708167761234, -122.3831262518932)",POINT (-122.383125 37.73171),86,2,9,1,1,3,8,10,58,,,2,,,86
M230089,700 Block Of Harrison  Street,San Francisco,CA,94107,1/25/2023,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,South of Market,"(37.781295126751466, -122.39897867478513)",POINT (-122.39898 37.781296),32,1,10,34,34,2,9,6,28856,4,,2,,,32
M230090,1500 Block Of Sacramento  Street,San Francisco,CA,94109,1/25/2023,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,3,Nob Hill,"(37.791813441029404, -122.41840198155205)",POINT (-122.4184 37.791813),16,6,3,21,21,1,10,5,28858,,,1,,,16
M230091,1500 Block Of Sacramento  Street,San Francisco,CA,94109,1/25/2023,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,3,Nob Hill,"(37.791813441029404, -122.41840198155205)",POINT (-122.4184 37.791813),16,6,3,21,21,1,10,5,28858,,,1,,,16
M230092,300 Block Of 10th  Avenue,San Francisco,CA,94118,1/26/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,1,Inner Richmond,"(37.78178647377939, -122.46863417386875)",POINT (-122.468636 37.781788),5,8,4,11,11,6,2,11,54,,,1,,,5
M230093,0 Block Of Jones  Street,San Francisco,CA,94102,1/26/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,Tenderloin,"(37.78160461376042, -122.41212240559267)",POINT (-122.412125 37.781605),20,5,10,36,36,10,9,7,28852,6,1,2,1,18,20
M230094,0 Block Of Jones  Street,San Francisco,CA,94102,1/26/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,Tenderloin,"(37.78160461376042, -122.41212240559267)",POINT (-122.412125 37.781605),20,5,10,36,36,10,9,7,28852,6,1,2,1,18,20
M230095,1300 Block Of Golden Gate  Avenue,San Francisco,CA,94115,1/27/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,Western Addition,"(37.77945936889728, -122.43277387180365)",POINT (-122.43278 37.77946),97,4,11,39,41,9,11,15,29490,,,2,,,97
M230096,1400 Block Of Portola  Drive,San Francisco,CA,94127,1/27/2023,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,West of Twin Peaks,"(37.738346664785944, -122.46725010793381)",POINT (-122.46725 37.738346),46,10,8,41,40,8,4,1,59,,,1,,,46
