,ID,ADDRESS,STNDADDR,UNIT,PROCNUM,FOLIO,GEOFOLIO,ISCONDO,TYPE,CAT1,DESC1,CAT2,DESC2,CAT3,DESC3,CAT4,DESC4,CAT5,DESC5,CAT6,DESC6,CAT7,DESC7,CAT8,DESC8,CAT9,DESC9,CAT10,DESC10,ISSUDATE,LSTINSDT,RENDATE,CCDATE,BLDCMPDT,RESCOMM,BPSTATUS,PROPUSE,APPTYPE,CLUC,FFRMLINE,LGLDESC1,LGLDESC2,ESTVALUE,PTSOURCE,MPRMTNUM,LSTAPPRDT,CONTRNUM,CONTRNAME,GlobalID,geometry,index_right,Name,Description
6831,2019072524.0,550 NW 1 AVE                 ,550 NW 1ST AVE,200 ,C2019209593,0141370720100,0141370720100,N,ELEC,0001,ELECTRICAL                                                  ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2019-08-09 00:00:00+00:00,20191113,00000000,00000000,00000000,C,E,1822,22,0047,INT BUILD OUT      ,FLAGLER GRAN CENTRAL STATION     ,PB  170-041     T  23364         ,00000000000,P,2019068877.0,20191113,13E000539       ,VOLT ELECTRIC CORP                                          ,{D49421C9-D461-448E-B91F-E686DADF795B},POINT (-80.19568075599994 25.779395916000055),0,Greater Downtown Miami,
7010,2020039158.0,20 NW 1 AVE                  ,101 W FLAGLER ST,    ,C2020088435,0141370270010,0141370270010,N,ELEC,0001,ELECTRICAL                                                  ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2020-03-24 00:00:00+00:00,20200721,00000000,00000000,00000000,C,F,1822,05,0047,TOTAL DEMO         ,DOWNTOWN GOVT CENTER 1ST ADDN    ,PB 127-16                        ,00000000000,P,2020029961.0,20200721,EC13006261      ,HIGH POWER ELECTRIC LLC                                     ,{7A106B3B-B434-4026-B47B-6AEB08DF96D2},POINT (-80.19717983399994 25.77436160700006),0,Greater Downtown Miami,
8049,2020009395.0,150 BISCAYNE BLVD            ,175 NE 6TH ST,    ,C2019163658,0101050902090,0101050902090,N,BLDG,0001,GENERAL (COUNTY)                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2019-11-08 00:00:00+00:00,00000000,00000000,00000000,00000000,C,E,1822,04,0081,BAYFRONT PK/BIKE ST,MIAMI NORTH SUB OF BLK 59        ,PB 1-185                         ,00000020000,P,0.0,00000000,CGC1512063      ,SAM-CON SERVICES LLC                                        ,{EAD646C9-D356-4202-9503-0848ECA279DA},POINT (-80.19067191499994 25.78033853100004),0,Greater Downtown Miami,
9388,1996095503.0,490 NE 2 AVE                 ,490 NE 2ND AVE,    ,C1996161555,0101070901030,0101070901030,N,MECH,0006,ELEVATOR INSTALL                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,1996-06-20 00:00:00+00:00,00000000,00000000,00000000,00000000,C,E,1822,07,0047,                   ,MIAMI NORTH PB B-41              ,LOTS 1 2 & 3 LESS N15FT &        ,00000000000,P,0.0,00000000,ELV000149       ,MIAMI ELEVATOR COMPANY                                      ,{8C768833-9C2A-4D35-B0D6-2F17A3E4561E},POINT (-80.19063764499998 25.77863354300007),0,Greater Downtown Miami,
9950,2022060698.0,73 W FLAGLER ST              ,73 W FLAGLER ST,    ,C2022129464,0101110501060,0101110501060,N,MECH,0009,GAS TANK & PUMP                                             ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2022-06-24 00:00:00+00:00,20220728,00000000,00000000,00000000,C,F,1822,04,0047,REPL FUEL TANK     ,MIAMI NORTH                      ,PB B-41                          ,00000005000,P,0.0,20220728,PCC056813       ,CHEROKEE ENTERPRISES INC                                    ,{A82EB4DE-ADB9-4605-93A2-F35B1AEAEBDC},POINT (-80.19515011999994 25.774655549000045),0,Greater Downtown Miami,
10388,2022019804.0,600 NW 1 AVE                 ,600 NW 1ST AVE,    ,C2022016319,0141370720090,0141370720090,N,FIRE,0004,FIRE ALARM                                                  ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2022-01-03 00:00:00+00:00,20220406,00000000,00000000,00000000,C,F,1521,03,0062,OFFICE RENO.       ,FLAGLER GRAN CENTRAL STATION     ,PB  170-041      T  23364        ,00000000000,P,2021082229.0,20220406,EF0000857       ,GENSET FIRE AND SECURITY LLC                                ,{73F08880-A58F-404C-A9EC-4D8E329E7D67},POINT (-80.19583815899995 25.780236158000037),0,Greater Downtown Miami,
11467,2020043643.0,111 NW 1 ST                  ,111 NW 1ST ST,    ,C2020096302,0141370230020,0141370230020,N,ELEC,0001,ELECTRICAL                                                  ,0035,TELEPHONE AND COMMUNICATION                                 ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2020-05-04 00:00:00+00:00,20210202,00000000,00000000,00000000,C,F,1822,03,0047,RENVT/EXPAND SPACE ,DOWNTOWN GOVERNMENT CENTER       ,PB 117-83                        ,00000000000,P,2020034318.0,20210202,EC13004184      ,AMPSTRONG ELECTRIC INC                                      ,{6255DFF4-FCFD-4C41-8E6D-95D1F8B9F73F},POINT (-80.19667055499997 25.775604522000037),0,Greater Downtown Miami,
13872,2021053614.0,41 SE 5 ST                   ,41 SE 5TH ST,    ,C2021107015,0141381330001,0141381330001,N,BLDG,0001,GENERAL (COUNTY)                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2021-05-26 00:00:00+00:00,20211118,00000000,20211118,20211118,C,F,1822,04,0047,2 EXTERIOR MACHINE ,BRICKELL ON THE RIVER S TWR CONDO,BRICKELL POINT PB 8-93           ,00000018794,P,0.0,20211118,CGC1525053      ,AUSTEN BUILDERS INC                                         ,{C47B9F95-5E82-428C-AE2D-195E6BBEF120},POINT (-80.19178547399997 25.769111542000076),0,Greater Downtown Miami,
14137,2021049686.0,270 NW 2 ST                  ,270 NW 2ND ST,    ,C2021105174,0101100801070,0101100801070,N,ELEC,0001,ELECTRICAL                                                  ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2021-05-11 00:00:00+00:00,20210716,00000000,00000000,00000000,C,F,1822,03,0047,INSTALL CT-4000 VCS,MIAMI NORTH PB B-41              ,LOTS 4 THRU 8 & LOTS 9 & 10 LESS ,00000000155,P,0.0,20210716,EC13003659      ,ECOLECTRIC COMPANY                                          ,{5CD4DB35-7E73-4845-9BD7-DDB7FB8CBE8C},POINT (-80.19875347999994 25.775488782000025),0,Greater Downtown Miami,
14842,2020061771.0,111 NW 1 ST                  ,111 NW 1ST ST,    ,C2020138352,0141370230020,0141370230020,N,ELEC,0032,DATA COMMUNICATION CABLES                                   ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2020-07-29 00:00:00+00:00,20201217,00000000,00000000,00000000,C,F,1822,03,0047,RENVT/EXPAND SPACE ,DOWNTOWN GOVERNMENT CENTER       ,PB 117-83                        ,00000000000,P,2020034318.0,20201217,ES12000714      ,ASE TELECOM & DATA INC                                      ,{C9B49B17-60BF-4219-9963-75AA6E8207D5},POINT (-80.19667055499997 25.775604522000037),0,Greater Downtown Miami,
15024,2022046315.0,101 WEST FLAGER ST           ,101 W FLAGLER ST,    ,C2022101354,0141370270010,0141370270010,N,PLUM,0001,PLUMBING                                                    ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2022-04-26 00:00:00+00:00,20220503,00000000,00000000,00000000,C,E,1822,03,0047,INTERIOR BUILT OUT ,DOWNTOWN GOVT CENTER 1ST ADDN    ,PB 127-16                        ,00000000000,P,2022043163.0,20220503,CFC1427353      ,C V OCEAN PLUMBING INC                                      ,{2B0C2B08-497E-4472-B880-31DA843AF86A},POINT (-80.19717983399994 25.77436160700006),0,Greater Downtown Miami,
15351,2023011656.0,20 NW 1 AVE                  ,101 W FLAGLER ST,    ,C2022119337,0141370270010,0141370270010,N,MECH,0009,GAS TANK & PUMP                                             ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2022-11-23 00:00:00+00:00,00000000,00000000,00000000,00000000,C,A,1822,04,0047,TANK STORAGE       ,DOWNTOWN GOVT CENTER 1ST ADDN    ,PB 127-16                        ,00000010000,P,0.0,00000000,PCC056770       ,CYPRESS CONSTRUCTION GROUP LLC                              ,{1F03AB26-2985-4292-9F05-325FD1F029FF},POINT (-80.19717983399994 25.77436160700006),0,Greater Downtown Miami,
16677,2022052766.0,191 SW 12 ST                 ,191 SW 12TH ST,    ,C2022111885,0141380510430,0141380510430,N,BLDG,0001,GENERAL (COUNTY)                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2022-05-23 00:00:00+00:00,20220524,00000000,20220524,20220524,C,F,1822,04,0040,STRUCTURAL BRACING ,MIAMI HEIGHTS SUB     PB 5-29    ,LOT 8 & LOT 11 LESS W10FT BLK 85 ,00000240000,P,0.0,20220524,CGC1529528      ,BUILDERS CHOICE RESTORATION LLC                             ,{E280A58C-40EB-47C9-B82D-58F0744F3DC9},POINT (-80.19696724799996 25.762630942000044),0,Greater Downtown Miami,
17450,2021007645.0,111 NW 1 ST                  ,111 NW 1ST ST,    ,C2021014603,0141370230020,0141370230020,N,FIRE,0032,FIRE SPRINKLERS                                             ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2020-11-02 00:00:00+00:00,20210108,00000000,00000000,00000000,C,F,1421,03,0047,FIRE SPRINKLERS    ,DOWNTOWN GOVERNMENT CENTER       ,PB 117-83                        ,00000000000,P,2021001607.0,20210108,FPC18000109     ,NATIONAL FIRE PROTECTION LLC                                ,{A0D6FD4A-44E3-4944-9DB5-3AF4CA52AA4C},POINT (-80.19667055499997 25.775604522000037),0,Greater Downtown Miami,
18707,2022003079.0,155 NW 3 ST                  ,155 NW 3RD ST,    ,C2022006978,0141370700010,0141370700010,N,ELEC,0001,ELECTRICAL                                                  ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2021-10-14 00:00:00+00:00,20220119,00000000,00000000,00000000,C,F,1421,10,0013,INST SCULPTURE     ,CHILDRENS COURTHOUSE             ,PB 168 - 097           T 23120   ,00000000000,P,2021030171.0,20220119,EC13006771      ,NOVOA ELECTRICAL CONTRACTORS INC                            ,{6EF3326C-0192-41B8-933C-7BEB35076ED7},POINT (-80.19729023399998 25.777502449000053),0,Greater Downtown Miami,
18942,2021034517.0,191 SW 12 ST                 ,191 SW 12TH ST,    ,C2021049820,0141380510430,0141380510430,N,BLDG,0099,SOIL IMPROVEMENT                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2021-03-11 00:00:00+00:00,00000000,20220921,00000000,00000000,C,A,2202,11,0003,SOIL IMPROVEMENT   ,MIAMI HGTS A SUB      PB 5-29    ,LOT 13 LESS W10FT & S75FT OF     ,00000018000,P,0.0,00000000,CGC1512928      ,KELLER NORTH AMERICA INC                                    ,{C085E821-5A3A-4D34-B302-815CB29F3C9C},POINT (-80.19696724799996 25.762630942000044),0,Greater Downtown Miami,
20130,2021057969.0,400 NW 1 AVE                 ,450 NW 1ST AVE,    ,C2021088142,0141370720080,0141370720080,N,ELEC,0003,ELECTRICAL SIGN                                             ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2021-06-14 00:00:00+00:00,20211210,00000000,00000000,00000000,C,F,1822,04,0081,SOUTH TOWER MAIN   ,FLAGLER GRAN CENTRAL STATION     ,PB 170-041                 T 2336,00000000600,P,0.0,20211210,ES0000092       ,CORPORATE SIGNS INC                                         ,{0EF5527D-A247-499F-8FBB-7873E9E5C966},POINT (-80.19570721699995 25.778338390000044),0,Greater Downtown Miami,
20208,2022070495.0,101 WEST FLAGER ST           ,101 W FLAGLER ST,    ,C2022160858,0141370270010,0141370270010,N,MECH,0041,MECHANICAL VENTILATION                                      ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2022-08-03 00:00:00+00:00,20221108,00000000,00000000,00000000,C,A,1822,03,0047,INTERIOR BUILT OUT ,DOWNTOWN GOVT CENTER 1ST ADDN    ,PB 127-16                        ,00000000000,P,2022043163.0,20221108,CMC039556       ,J T EQUIPMENT SERVICE CO                                    ,{AA2BF6E7-AA1A-4B73-8544-58C1B3FEA6DA},POINT (-80.19717983399994 25.77436160700006),0,Greater Downtown Miami,
22682,2022043829.0,101 W FLAGER ST              ,101 W FLAGLER ST,    ,C2022097001,0141370270010,0141370270010,N,PLUM,0001,PLUMBING                                                    ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2022-04-14 00:00:00+00:00,20220419,00000000,00000000,00000000,C,F,1822,12,0047,SHELL BUILDING     ,DOWNTOWN GOVT CENTER 1ST ADDN    ,PB 127-16                        ,00000000000,P,2020040698.0,20220419,CFC1429352      ,MODEL PLUMBING CONTRACTOR CORP                              ,{0EAD7E83-CD66-43CE-9C2E-F9AA6265CD87},POINT (-80.19717983399994 25.77436160700006),0,Greater Downtown Miami,
23413,2020008049.0,111 NW 1 ST                  ,111 NW 1ST ST,    ,C2019158410,0141370230020,0141370230020,N,ELEC,0001,ELECTRICAL                                                  ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2019-11-04 00:00:00+00:00,00000000,00000000,00000000,00000000,C,E,1822,04,0047,ELEC BIKE KIOSK    ,DOWNTOWN GOVERNMENT CENTER       ,PB 117-83                        ,00000000000,P,2019051826.0,00000000,EC13007391      ,DANTO ELECTRIC INC                                          ,{6763C12F-3D7C-483C-AEBE-DC34CBCFAB11},POINT (-80.19667055499997 25.775604522000037),0,Greater Downtown Miami,
28527,2020050252.0,700 NW 1 AVE                 ,700 NW 1ST AVE,10  ,C2020077218,0141370720120,0141370720120,N,ELEC,0004,FIRE ALARM SPECLT                                           ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2020-06-08 00:00:00+00:00,20200819,00000000,00000000,00000000,C,F,1421,26,0013,FIRE ALARM         ,FLAGLER GRAN CENTRAL STATION     ,PB 170-041   T 23364             ,00000000000,P,2020008093.0,20200819,EC0002170       ,FISK ELECTRIC COMPANY                                       ,{6B653372-E58C-43B9-AA0C-1D19E1B93799},POINT (-80.19591344899999 25.780609127000048),0,Greater Downtown Miami,
29012,2021057284.0,700 NW 1 AVE                 ,700 NW 1ST AVE,    ,C2021108110,0141370720120,0141370720120,N,ELEC,0004,FIRE ALARM SPECLT                                           ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2021-06-10 00:00:00+00:00,20210706,00000000,00000000,00000000,C,F,1421,22,0013,INT BUILD OUT/8TH  ,FLAGLER GRAN CENTRAL STATION     ,PB 170-041   T 23364             ,00000000000,P,2021043234.0,20210706,EC0002170       ,FISK ELECTRIC COMPANY                                       ,{91C7C3E3-DC90-4032-9879-A1FC820231DC},POINT (-80.19591344899999 25.780609127000048),0,Greater Downtown Miami,
31278,2020050391.0,220 NW 3 ST                  ,226 NW 3RD ST,    ,C2020109436,0101090501010,0101090501010,N,MECH,0023,SHEET METAL                                                 ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2020-06-09 00:00:00+00:00,20201103,00000000,00000000,00000000,C,F,1822,03,0047,DUCT WORK          ,MIAMI NORTH                      ,PB B-41                          ,00000000000,P,2020043257.0,20201103,16AE00283       ,MIAMI DADE INTERNAL SERVICES DEPARTMENT                     ,{98993D96-2F68-4F55-8E3D-23AA7A551503},POINT (-80.19850907399996 25.776645212000062),0,Greater Downtown Miami,
31603,2022011401.0,111 NW 1 ST                  ,111 NW 1ST ST,    ,C2021124734,0141370230020,0141370230020,N,ELEC,0004,FIRE ALARM SPECLT                                           ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2021-11-18 00:00:00+00:00,20230111,20221006,00000000,00000000,C,A,1822,03,0047,CARD READERS&ADA   ,DOWNTOWN GOVERNMENT CENTER       ,PB 117-83                        ,00000000000,P,0.0,20230111,08E000144       ,MIAMI DADE COUNTY GENERAL SERVICES ADMINISTRATION           ,{E3EBB2CD-176D-41C1-93D0-077F88AD9024},POINT (-80.19667055499997 25.775604522000037),0,Greater Downtown Miami,
