,neighborhood,borough,Quarter/Year,property_group,trd_doc_classification,SUM of doc_amount,MEDIAN of doc_amount,AVERAGE of doc_amount,SUM of bbl_count,avg_asking_rent,cleaned_sales_volume,cleaned_avg_price,cleaned_median_price,ppsqft
57,Arverne,Queens,26/Q1,Multi-Family Dwelling,Residential,"$3,550,486","$641,139","$710,097",5,,"$3,550,486","$710,097","$641,139",
58,Arverne,Queens,26/Q1,Single-Family Home,Residential,"$1,708,650",,,3,,"$1,708,650",,,
59,Arverne,Queens,25/Q2,Multi-Family Dwelling,Residential,"$6,102,000","$708,000","$678,000",9,,"$6,102,000","$678,000","$708,000",
60,Arverne,Queens,25/Q2,Single-Family Home,Residential,"$600,000",,,1,,"$600,000",,,
61,Arverne,Queens,25/Q3,Multi-Family Dwelling,Residential,"$5,081,170","$700,000","$725,881",7,,"$5,081,170","$725,881","$700,000",
62,Arverne,Queens,25/Q3,Single-Family Home,Residential,"$1,204,000",,,2,,"$1,204,000",,,
63,Arverne,Queens,24/Q4,Multi-Family Dwelling,Residential,"$2,964,823",,,3,,"$2,964,823",,,
64,Arverne,Queens,25/Q4,Multi-Family Dwelling,Residential,"$5,827,303","$704,135","$728,413",8,,"$5,827,303","$728,413","$704,135",
65,Arverne,Queens,25/Q4,Single-Family Home,Residential,"$1,098,000",,,2,,"$1,098,000",,,
66,Astoria,Queens,25/Q1,Co-op,Residential,"$7,132,500","$365,000","$419,559",17,2908.3333333333335,"$7,132,500","$419,559","$365,000",
67,Astoria,Queens,25/Q1,Condo,Residential,"$25,984,326","$662,500","$721,787",36,2908.3333333333335,"$25,984,326","$721,787","$662,500",
68,Astoria,Queens,25/Q1,Multi-Family Dwelling,Residential,"$55,586,963","$1,407,500","$1,389,674",40,2908.3333333333335,"$55,586,963","$1,389,674","$1,407,500",
69,Astoria,Queens,25/Q1,Single-Family Home,Residential,"$7,541,750","$1,000,000","$1,256,958",6,2908.3333333333335,"$7,541,750","$1,256,958","$1,000,000",
70,Astoria,Queens,26/Q1,Co-op,Residential,"$5,095,700","$415,000","$463,245",11,3111.6666666666665,"$5,095,700","$463,245","$415,000",
71,Astoria,Queens,26/Q1,Condo,Residential,"$26,597,397","$850,000","$917,152",29,3111.6666666666665,"$26,597,397","$917,152","$850,000",
72,Astoria,Queens,26/Q1,Multi-Family Dwelling,Residential,"$34,483,900","$1,334,000","$1,326,304",26,3111.6666666666665,"$34,483,900","$1,326,304","$1,334,000",
73,Astoria,Queens,26/Q1,Single-Family Home,Residential,"$9,389,000","$999,000","$1,043,222",9,3111.6666666666665,"$9,389,000","$1,043,222","$999,000",
74,Astoria,Queens,24/Q2,Multi-Family Dwelling,Residential,"$1,500,000",,,1,,"$1,500,000",,,
75,Astoria,Queens,25/Q2,Co-op,Residential,"$5,727,000","$372,500","$409,071",14,3050.6666666666665,"$5,727,000","$409,071","$372,500",
76,Astoria,Queens,25/Q2,Condo,Residential,"$37,549,789","$675,000","$695,366",54,3050.6666666666665,"$37,549,789","$695,366","$675,000",
77,Astoria,Queens,25/Q2,Multi-Family Dwelling,Residential,"$29,921,600","$1,135,000","$1,150,831",26,3050.6666666666665,"$29,921,600","$1,150,831","$1,135,000",
78,Astoria,Queens,25/Q2,Single-Family Home,Residential,"$10,178,000","$1,055,000","$1,272,250",8,3050.6666666666665,"$10,178,000","$1,272,250","$1,055,000",
79,Astoria,Queens,25/Q3,Co-op,Residential,"$8,404,500","$350,000","$420,225",20,3266.6666666666665,"$8,404,500","$420,225","$350,000",
80,Astoria,Queens,25/Q3,Condo,Residential,"$25,224,620","$625,000","$646,785",39,3266.6666666666665,"$25,224,620","$646,785","$625,000",
81,Astoria,Queens,25/Q3,Multi-Family Dwelling,Residential,"$48,033,150","$1,261,000","$1,264,030",38,3266.6666666666665,"$48,033,150","$1,264,030","$1,261,000",
82,Astoria,Queens,25/Q3,Single-Family Home,Residential,"$11,277,000","$945,000","$1,025,182",11,3266.6666666666665,"$11,277,000","$1,025,182","$945,000",
83,Astoria,Queens,24/Q4,Condo,Residential,"$360,000",,,1,,"$360,000",,,
84,Astoria,Queens,24/Q4,Multi-Family Dwelling,Residential,"$10,225,000","$1,600,000","$1,460,714",7,2866.6666666666665,"$10,225,000","$1,460,714","$1,600,000",
85,Astoria,Queens,24/Q4,Single-Family Home,Residential,"$1,200,000",,,1,,"$1,200,000",,,
86,Astoria,Queens,25/Q4,Co-op,Residential,"$5,641,710","$330,000","$402,979",14,3192.6666666666665,"$5,641,710","$402,979","$330,000",
87,Astoria,Queens,25/Q4,Condo,Residential,"$53,795,749","$766,475","$896,596",60,3192.6666666666665,"$53,795,749","$896,596","$766,475",
88,Astoria,Queens,25/Q4,Multi-Family Dwelling,Residential,"$52,573,300","$1,292,000","$1,282,276",41,3192.6666666666665,"$52,573,300","$1,282,276","$1,292,000",
89,Astoria,Queens,25/Q4,Single-Family Home,Residential,"$9,460,000","$1,155,000","$1,051,111",9,3192.6666666666665,"$9,460,000","$1,051,111","$1,155,000",
90,Auburndale,Queens,24/Q1,Multi-Family Dwelling,Residential,"$1,097,000",,,1,,"$1,097,000",,,
91,Auburndale,Queens,25/Q1,Condo,Residential,"$2,217,000",,,4,,"$2,217,000",,,
92,Auburndale,Queens,25/Q1,Multi-Family Dwelling,Residential,"$12,376,318","$1,612,500","$1,547,040",8,,"$12,376,318","$1,547,040","$1,612,500",
93,Auburndale,Queens,25/Q1,Single-Family Home,Residential,"$8,085,000","$825,000","$898,333",9,,"$8,085,000","$898,333","$825,000",
94,Auburndale,Queens,26/Q1,Co-op,Residential,"$1,014,000",,,3,,"$1,014,000",,,
95,Auburndale,Queens,26/Q1,Condo,Residential,"$572,500",,,1,,"$572,500",,,
96,Auburndale,Queens,26/Q1,Multi-Family Dwelling,Residential,"$12,121,859","$1,137,500","$1,212,186",10,,"$12,121,859","$1,212,186","$1,137,500",
97,Auburndale,Queens,26/Q1,Single-Family Home,Residential,"$16,954,435","$1,240,000","$1,211,031",14,,"$16,954,435","$1,211,031","$1,240,000",
98,Auburndale,Queens,25/Q2,Co-op,Residential,"$618,000",,,2,,"$618,000",,,
99,Auburndale,Queens,25/Q2,Multi-Family Dwelling,Residential,"$11,491,521","$1,350,000","$1,276,836",9,,"$11,491,521","$1,276,836","$1,350,000",
100,Auburndale,Queens,25/Q2,Single-Family Home,Residential,"$14,819,885","$1,070,000","$1,058,563",14,,"$14,819,885","$1,058,563","$1,070,000",
101,Auburndale,Queens,25/Q3,Condo,Residential,"$3,925,000","$640,000","$654,167",6,,"$3,925,000","$654,167","$640,000",
102,Auburndale,Queens,25/Q3,Multi-Family Dwelling,Residential,"$10,180,668","$1,265,000","$1,272,583",8,,"$10,180,668","$1,272,583","$1,265,000",
103,Auburndale,Queens,25/Q3,Single-Family Home,Residential,"$26,258,000","$990,000","$972,519",27,,"$26,258,000","$972,519","$990,000",
104,Auburndale,Queens,24/Q4,Condo,Residential,"$750,000",,,1,,"$750,000",,,
105,Auburndale,Queens,24/Q4,Multi-Family Dwelling,Residential,"$795,000",,,1,,"$795,000",,,
106,Auburndale,Queens,24/Q4,Single-Family Home,Residential,"$5,416,000","$988,000","$1,083,200",5,,"$5,416,000","$1,083,200","$988,000",
107,Auburndale,Queens,25/Q4,Condo,Residential,"$648,000",,,1,,"$648,000",,,
108,Auburndale,Queens,25/Q4,Multi-Family Dwelling,Residential,"$10,925,000","$1,445,000","$1,365,625",8,,"$10,925,000","$1,365,625","$1,445,000",
109,Auburndale,Queens,25/Q4,Single-Family Home,Residential,"$20,621,516","$975,000","$1,031,076",20,,"$20,621,516","$1,031,076","$975,000",
110,Bath Beach,Brooklyn,25/Q1,Co-op,Residential,"$4,301,865","$330,000","$330,913",13,,"$4,301,865","$330,913","$330,000",
111,Bath Beach,Brooklyn,25/Q1,Condo,Residential,"$12,967,024","$707,684","$648,351",20,,"$12,967,024","$648,351","$707,684",
112,Bath Beach,Brooklyn,25/Q1,Multi-Family Dwelling,Residential,"$18,247,888","$1,250,000","$1,303,421",14,,"$18,247,888","$1,303,421","$1,250,000",
113,Bath Beach,Brooklyn,25/Q1,Single-Family Home,Residential,"$7,175,000","$1,307,500","$1,195,833",6,,"$7,175,000","$1,195,833","$1,307,500",
114,Bath Beach,Brooklyn,26/Q1,Co-op,Residential,"$2,724,008","$342,500","$340,501",8,,"$2,724,008","$340,501","$342,500",
115,Bath Beach,Brooklyn,26/Q1,Condo,Residential,"$675,000",,,1,,"$675,000",,,
116,Bath Beach,Brooklyn,26/Q1,Multi-Family Dwelling,Residential,"$27,225,000","$1,370,000","$1,432,895",19,,"$27,225,000","$1,432,895","$1,370,000",
117,Bath Beach,Brooklyn,26/Q1,Single-Family Home,Residential,"$4,155,000","$920,000","$831,000",5,,"$4,155,000","$831,000","$920,000",
118,Bath Beach,Brooklyn,25/Q2,Co-op,Residential,"$1,680,000","$340,000","$336,000",5,,"$1,680,000","$336,000","$340,000",
119,Bath Beach,Brooklyn,25/Q2,Condo,Residential,"$4,297,858","$539,673","$613,980",7,,"$4,297,858","$613,980","$539,673",
120,Bath Beach,Brooklyn,25/Q2,Multi-Family Dwelling,Residential,"$25,669,000","$1,260,000","$1,283,450",20,,"$25,669,000","$1,283,450","$1,260,000",
121,Bath Beach,Brooklyn,25/Q2,Single-Family Home,Residential,"$988,500",,,1,,"$988,500",,,
122,Bath Beach,Brooklyn,24/Q3,Co-op,Residential,"$292,976",,,1,,"$292,976",,,
123,Bath Beach,Brooklyn,25/Q3,Co-op,Residential,"$1,627,500","$325,000","$325,500",5,,"$1,627,500","$325,500","$325,000",
124,Bath Beach,Brooklyn,25/Q3,Condo,Residential,"$3,271,099","$711,757","$654,220",5,,"$3,271,099","$654,220","$711,757",
125,Bath Beach,Brooklyn,25/Q3,Multi-Family Dwelling,Residential,"$26,692,000","$1,300,000","$1,334,600",20,,"$26,692,000","$1,334,600","$1,300,000",
126,Bath Beach,Brooklyn,25/Q3,Single-Family Home,Residential,"$6,353,000","$990,000","$1,058,833",6,,"$6,353,000","$1,058,833","$990,000",
127,Bath Beach,Brooklyn,24/Q4,Co-op,Residential,"$703,000",,,2,,"$703,000",,,
128,Bath Beach,Brooklyn,24/Q4,Condo,Residential,"$1,460,000",,,2,,"$1,460,000",,,
129,Bath Beach,Brooklyn,24/Q4,Multi-Family Dwelling,Residential,"$2,535,000",,,2,,"$2,535,000",,,
130,Bath Beach,Brooklyn,25/Q4,Co-op,Residential,"$1,235,000",,,4,,"$1,235,000",,,
131,Bath Beach,Brooklyn,25/Q4,Condo,Residential,"$7,666,964","$652,000","$638,914",12,,"$7,666,964","$638,914","$652,000",
132,Bath Beach,Brooklyn,25/Q4,Multi-Family Dwelling,Residential,"$21,559,945","$1,405,000","$1,437,330",15,,"$21,559,945","$1,437,330","$1,405,000",
133,Bath Beach,Brooklyn,25/Q4,Single-Family Home,Residential,"$5,057,880","$999,000","$1,011,576",5,,"$5,057,880","$1,011,576","$999,000",
134,Battery Park City,Manhattan,17/Q1,Condo,Residential,"$1,550,000",,,1,,"$1,550,000",,,
135,Battery Park City,Manhattan,25/Q1,Co-op,Residential,"$13,592,377","$1,226,991","$1,510,264",9,5021.666666666667,"$13,592,377","$1,510,264","$1,226,991",
136,Battery Park City,Manhattan,25/Q1,Condo,Residential,"$29,204,478","$851,000","$1,123,249",26,5021.666666666667,"$29,204,478","$1,123,249","$851,000",
137,Battery Park City,Manhattan,26/Q1,Co-op,Residential,"$18,167,386","$1,543,000","$1,816,739",10,5233.166666666667,"$18,167,386","$1,816,739","$1,543,000",
138,Battery Park City,Manhattan,26/Q1,Condo,Residential,"$27,628,238","$756,500","$1,062,625",26,5233.166666666667,"$27,628,238","$1,062,625","$756,500",
139,Battery Park City,Manhattan,25/Q2,Co-op,Residential,"$30,818,332","$1,175,000","$1,400,833",22,5256.166666666667,"$30,818,332","$1,400,833","$1,175,000",
140,Battery Park City,Manhattan,25/Q2,Condo,Residential,"$30,963,906","$837,500","$1,290,163",24,5256.166666666667,"$30,963,906","$1,290,163","$837,500",
141,Battery Park City,Manhattan,25/Q3,Co-op,Residential,"$8,839,389","$920,000","$1,262,770",7,5415.0,"$8,839,389","$1,262,770","$920,000",
142,Battery Park City,Manhattan,25/Q3,Condo,Residential,"$25,988,500","$810,000","$1,237,548",21,5415.0,"$25,988,500","$1,237,548","$810,000",
143,Battery Park City,Manhattan,24/Q4,Condo,Residential,"$5,650,000",,,3,,"$5,650,000",,,
144,Battery Park City,Manhattan,25/Q4,Co-op,Residential,"$15,807,910","$1,674,512","$1,756,434",9,5158.0,"$15,807,910","$1,756,434","$1,674,512",
145,Battery Park City,Manhattan,25/Q4,Condo,Residential,"$33,664,000","$952,500","$1,294,769",26,5158.0,"$33,664,000","$1,294,769","$952,500",
146,Bay Ridge,Brooklyn,24/Q1,Co-op,Residential,"$465,000",,,1,,"$465,000",,,
147,Bay Ridge,Brooklyn,25/Q1,Co-op,Residential,"$12,098,999","$385,000","$417,207",29,2416.6666666666665,"$12,098,999","$417,207","$385,000",
148,Bay Ridge,Brooklyn,25/Q1,Condo,Residential,"$4,789,103","$880,000","$798,184",6,2416.6666666666665,"$4,789,103","$798,184","$880,000",
149,Bay Ridge,Brooklyn,25/Q1,Multi-Family Dwelling,Residential,"$31,102,200","$1,397,500","$1,413,736",22,2416.6666666666665,"$31,102,200","$1,413,736","$1,397,500",
150,Bay Ridge,Brooklyn,25/Q1,Single-Family Home,Residential,"$24,330,500","$1,305,000","$1,431,206",17,2416.6666666666665,"$24,330,500","$1,431,206","$1,305,000",
151,Bay Ridge,Brooklyn,26/Q1,Co-op,Residential,"$12,328,629","$359,500","$385,270",32,2477.5,"$12,328,629","$385,270","$359,500",
152,Bay Ridge,Brooklyn,26/Q1,Condo,Residential,"$3,725,000",,,4,,"$3,725,000",,,
153,Bay Ridge,Brooklyn,26/Q1,Multi-Family Dwelling,Residential,"$33,855,208","$1,600,000","$1,612,153",21,2477.5,"$33,855,208","$1,612,153","$1,600,000",
154,Bay Ridge,Brooklyn,26/Q1,Single-Family Home,Residential,"$37,189,060","$1,490,000","$1,616,916",23,2477.5,"$37,189,060","$1,616,916","$1,490,000",
155,Bay Ridge,Brooklyn,24/Q2,Co-op,Residential,"$407,000",,,1,,"$407,000",,,
156,Bay Ridge,Brooklyn,24/Q2,Single-Family Home,Residential,"$1,070,000",,,1,,"$1,070,000",,,
157,Bay Ridge,Brooklyn,25/Q2,Co-op,Residential,"$19,098,725","$384,000","$434,062",44,2466.6666666666665,"$19,098,725","$434,062","$384,000",
158,Bay Ridge,Brooklyn,25/Q2,Condo,Residential,"$4,485,556","$752,500","$747,593",6,2466.6666666666665,"$4,485,556","$747,593","$752,500",
159,Bay Ridge,Brooklyn,25/Q2,Multi-Family Dwelling,Residential,"$30,048,648","$1,300,000","$1,430,888",21,2466.6666666666665,"$30,048,648","$1,430,888","$1,300,000",
160,Bay Ridge,Brooklyn,25/Q2,Single-Family Home,Residential,"$24,689,888","$1,279,500","$1,371,660",18,2466.6666666666665,"$24,689,888","$1,371,660","$1,279,500",
161,Bay Ridge,Brooklyn,25/Q3,Co-op,Residential,"$20,756,159","$367,500","$415,123",50,2506.0,"$20,756,159","$415,123","$367,500",
162,Bay Ridge,Brooklyn,25/Q3,Condo,Residential,"$5,112,060","$859,147","$852,010",6,2506.0,"$5,112,060","$852,010","$859,147",
163,Bay Ridge,Brooklyn,25/Q3,Multi-Family Dwelling,Residential,"$31,513,000","$1,390,000","$1,432,409",22,2506.0,"$31,513,000","$1,432,409","$1,390,000",
164,Bay Ridge,Brooklyn,25/Q3,Single-Family Home,Residential,"$26,229,500","$1,219,000","$1,457,194",18,2506.0,"$26,229,500","$1,457,194","$1,219,000",
165,Bay Ridge,Brooklyn,24/Q4,Co-op,Residential,"$3,272,000","$490,000","$467,429",7,2333.3333333333335,"$3,272,000","$467,429","$490,000",
166,Bay Ridge,Brooklyn,24/Q4,Condo,Residential,"$525,000",,,1,,"$525,000",,,
167,Bay Ridge,Brooklyn,24/Q4,Multi-Family Dwelling,Residential,"$1,615,000",,,1,,"$1,615,000",,,
168,Bay Ridge,Brooklyn,24/Q4,Single-Family Home,Residential,"$8,100,000",,,4,,"$8,100,000",,,
169,Bay Ridge,Brooklyn,25/Q4,Co-op,Residential,"$17,429,668","$389,000","$446,915",39,2520.0,"$17,429,668","$446,915","$389,000",
170,Bay Ridge,Brooklyn,25/Q4,Condo,Residential,"$5,319,800","$817,500","$886,633",6,2520.0,"$5,319,800","$886,633","$817,500",
171,Bay Ridge,Brooklyn,25/Q4,Multi-Family Dwelling,Residential,"$38,789,039","$1,435,500","$1,491,886",26,2520.0,"$38,789,039","$1,491,886","$1,435,500",
172,Bay Ridge,Brooklyn,25/Q4,Single-Family Home,Residential,"$23,367,499","$1,346,000","$1,374,559",17,2520.0,"$23,367,499","$1,374,559","$1,346,000",
173,Bay Terrace,Queens,24/Q1,Co-op,Residential,"$288,000",,,1,,"$288,000",,,
174,Bay Terrace,Queens,25/Q1,Co-op,Residential,"$10,131,000","$369,500","$389,654",26,,"$10,131,000","$389,654","$369,500",
175,Bay Terrace,Queens,25/Q1,Condo,Residential,"$14,849,000","$605,000","$645,609",23,,"$14,849,000","$645,609","$605,000",
176,Bay Terrace,Queens,25/Q1,Multi-Family Dwelling,Residential,"$6,160,000",,,4,,"$6,160,000",,,
177,Bay Terrace,Queens,25/Q1,Single-Family Home,Residential,"$5,755,000","$1,100,000","$1,151,000",5,,"$5,755,000","$1,151,000","$1,100,000",
178,Bay Terrace,Queens,26/Q1,Co-op,Residential,"$14,505,757","$385,000","$414,450",35,,"$14,505,757","$414,450","$385,000",
179,Bay Terrace,Queens,26/Q1,Condo,Residential,"$15,006,068","$586,250","$625,253",24,,"$15,006,068","$625,253","$586,250",
180,Bay Terrace,Queens,26/Q1,Multi-Family Dwelling,Residential,"$4,665,000",,,3,,"$4,665,000",,,
181,Bay Terrace,Queens,26/Q1,Single-Family Home,Residential,"$2,208,000",,,2,,"$2,208,000",,,
182,Bay Terrace,Queens,05/Q2,Co-op,Residential,"$718,000",,,1,,"$718,000",,,
183,Bay Terrace,Queens,22/Q2,Co-op,Residential,"$525,000",,,1,,"$525,000",,,
184,Bay Terrace,Queens,25/Q2,Co-op,Residential,"$10,887,960","$385,000","$403,258",27,,"$10,887,960","$403,258","$385,000",
185,Bay Terrace,Queens,25/Q2,Condo,Residential,"$24,306,576","$724,500","$714,899",34,,"$24,306,576","$714,899","$724,500",
186,Bay Terrace,Queens,25/Q2,Multi-Family Dwelling,Residential,"$4,575,000",,,3,,"$4,575,000",,,
187,Bay Terrace,Queens,25/Q2,Single-Family Home,Residential,"$3,216,455",,,2,,"$3,216,455",,,
188,Bay Terrace,Queens,25/Q3,Co-op,Residential,"$10,128,000","$372,500","$389,538",26,,"$10,128,000","$389,538","$372,500",
189,Bay Terrace,Queens,25/Q3,Condo,Residential,"$19,417,849","$659,000","$693,495",28,,"$19,417,849","$693,495","$659,000",
190,Bay Terrace,Queens,25/Q3,Multi-Family Dwelling,Residential,"$9,908,888","$1,650,000","$1,651,481",6,,"$9,908,888","$1,651,481","$1,650,000",
191,Bay Terrace,Queens,25/Q3,Single-Family Home,Residential,"$1,265,000",,,1,,"$1,265,000",,,
192,Bay Terrace,Queens,24/Q4,Co-op,Residential,"$1,568,000",,,4,,"$1,568,000",,,
193,Bay Terrace,Queens,24/Q4,Condo,Residential,"$3,068,000",,,4,,"$3,068,000",,,
194,Bay Terrace,Queens,24/Q4,Multi-Family Dwelling,Residential,"$1,560,000",,,1,,"$1,560,000",,,
195,Bay Terrace,Queens,24/Q4,Single-Family Home,Residential,"$1,500,000",,,1,,"$1,500,000",,,
196,Bay Terrace,Queens,25/Q4,Co-op,Residential,"$10,735,000","$385,000","$429,400",25,,"$10,735,000","$429,400","$385,000",
197,Bay Terrace,Queens,25/Q4,Condo,Residential,"$13,281,000","$600,000","$632,429",21,,"$13,281,000","$632,429","$600,000",
198,Bay Terrace,Queens,25/Q4,Multi-Family Dwelling,Residential,"$10,203,935","$1,500,000","$1,457,705",7,,"$10,203,935","$1,457,705","$1,500,000",
199,Bay Terrace,Queens,25/Q4,Single-Family Home,Residential,"$3,674,999",,,3,,"$3,674,999",,,
200,"Bay Terrace, SI",Staten Island,25/Q1,Co-op,Residential,"$275,000",,,1,,"$275,000",,,
201,"Bay Terrace, SI",Staten Island,25/Q1,Multi-Family Dwelling,Residential,"$3,336,000",,,4,,"$3,336,000",,,
202,"Bay Terrace, SI",Staten Island,25/Q1,Single-Family Home,Residential,"$3,332,500","$665,000","$666,500",5,,"$3,332,500","$666,500","$665,000",
