CompanyName,TotalCost
ASINET,3940372.0
AYA DIVERSITY ELECTRIC  LLC,3922986.0
Metropolitan Plumbing  Inc.,3911500.0
BTW CONSTRUCTION GROUP LLC,3878500.0
AMDI Construction Inc.,3869925.0
AVI Integrators  Inc dba Security 101,3851218.0
Insignia construction company llc,3812500.0
TORRE CONSTRUCTION & DEVELOPMENT LLC,3785094.0
Play Space Services Inc.,3761450.0
Artesian Pool Construction Inc,3704325.0100000002
STRUCTURAL PRESERVATION SYSTEMS LLC,3681261.0
Striking Electric LLC,3622000.0
Home Depot AtHome Services (the),3599651.15
ARQUIGREEN CORP,3568500.0
TRANSAMERICA CONSTRUCTION COMPANY,3548000.0
AG CONTRACTORS FL  LLC,3503456.0
Sigma Builders LLC,3500173.1
NEXTEP ELECTRIC INC,3468986.36
ASSOCIATED STEEL AND ALUMINUM INC ,3463046.0
STAR BRITE GROUP  INC,3459279.2
PCL CONSTRUCTION  INC,3437260.0
Brickell Group Construction LLC,3424576.0
RUIZ ELECTRIC CORPORATION,3406300.0
O B Construction Group Inc,3393756.0
Tirone Electric  Inc,3392430.0
Glass Tech Engineering Inc,3381478.0
Biscayne Construction Company Inc. DBA Biscayne Roofing and Waterproofing Systems,3345925.0
Caibai Constuction LLC,3337520.0
CA Lindman of South Florida LLC,3310280.0
CP Construction & Investment LLC,3272549.0
TRANSFORMERS ELECTRIC .LLC ,3252359.8
RING ELECTRIC INC,3244500.0
Blue Wave Communications LLC,3181521.0
PEOPLES PLUMBING & MECHANICAL  INC.,3175000.0
INFINITY CONSTRUCTION SERVICES INC,3172605.0
HYPOWER INC,3167262.0
Isaacs Roofing and  Insulation Corp.,3134299.0
FLORIDIAN BUILDERS II  LLC,3110110.0
ICG ICON CONSTRUCTION GROUP  LLC ,3100800.0
PCL Construction Services Inc.,3100000.0
IBUILD INC,3058560.0
LARKEN ELECTRIC INC,3052967.4
RJS CONSULTANTS INC. DBA PRESTIGE WINDOWS AND DOORS,3031327.4
CIASA ENGINEERING USA  INC DBA MAT CONSTRUCTION,3029739.0
OSDATEC INC. dba THE MIACON GROUP,3028896.7800000003
HCD GROUP CORP,3021013.0
NEWSTART CONSTRUCTION GROUP  LLC,3019538.0
EXCEL PLUMBING SERVICES  INC,3010810.0
JEMKO DEVELOPMENT CORP.,3005800.0
BRV CONSTRUCTION SERVICES INC,2976062.0
NR Group 3 Contractors Inc.,2939232.0
Benetti Services Inc,2938184.0
BY HIS GRACE CONSTRUCTION INC,2910790.0
Sunshine Electrical Contractors Corp,2908394.2
FIREPAK INC,2892525.0
UNIVERSAL AIR CONDITIONING CORP,2880023.0
Mora United LLC,2868578.0
Century Fire  Inc.,2858760.0
SAJO INC. DBA SAJO (MONTREAL) INC.,2841345.0
Artar Construction LLC,2830000.0
ENGINEERING SYSTEMS TECHNOLOGY INC.,2812729.0
ABSOLUTE OUTDOOR LIVING LLC/STRUXURE  SOUTH FLORIDA,2802196.0
TGSV ENTERPRISES INC,2791726.0
INFINITY DEVELOPERS INC,2788101.0
BUILDING CONCEPTS OF FLORIDA INC,2776176.0
JP VERTEX CONSTRUCTION CORP,2758000.0
BDI CONSTRUCTION COMPANY,2747855.0
SAN RAFAEL DOORS USA/DBA ARTISTIC BUILDING STUDIO INC,2734205.0
LHF Construction Inc,2727650.0
R2 Construction Group LLC,2686000.0
M.K. DEVELOPERS  INC,2677005.0
AV ELECTRICAL SERVICE INC,2672841.0
FIRST FLORIDA CONSTRUCTORS LLC,2663800.0
DIVERSIFIED ELECTRICAL MASTER CORP ,2639721.0
The Auto Project Inc,2627038.0
premier Air Conditioning & Refrigeration  Inc,2625000.0
GRYCON  LLC,2618525.0
Weber Group II LLC,2617000.0
LONCUS PLUMBING CONTRACTOR INC,2614935.0
DAVID HESTER INC,2605600.0
Build Manage Consult Construction Services  Inc.,2600000.0
Atelier Construction  llc,2570800.0
Polaris Fire Protection  Inc.,2567701.0
Air South Mechanical Inc,2544300.0
ART DECO CONTRACTORS  CORP.,2543187.0
Treo Construction LLC,2542878.0
Secure Windows & Doors Inc,2537419.0
TI Contractors LLC,2525541.0
UAG CONSTRUCTION  LLC ,2524640.0
EMERALD CONSTRUCTION CORP.,2502603.0
Telesco Construction Management  Inc,2500000.0
Gulf Plumbing Inc .,2492100.0
TRUE POWER ELECTRICAL CONTRACTOR INC,2467086.0
U.S. CONSTRUCTION CORP.,2453800.0
Airtech Air Conditioning,2404385.0
BUILCORE INC. ,2400265.0
JRM CONSTRUCTION MANAGEMENT LLC,2396190.0
VICTORIA ELECTRIC INC,2387700.0
RH BUILDER LLC,2385155.0
American Storm Protection Corp.,2368447.0
AMERICAN IMPACT WINDOWS & DOORS LLC ,2366402.0
Cellucrete Corp.,2353498.0
Ebsary Foundation Company,2350000.0
CPWR LLC DBA CAPITAL CONTRACTOR SERVICES,2345974.0
ADT COMMERCIAL LLC,2343396.0
305 POWER CORP,2314500.0
PACMAN DATA VOICE & ELECTRIC INC,2295000.0
ADVANCED HOOD SYSTEMS LLC,2281449.0
Oak Construction Co Inc,2273913.0
Kennedy Contractors Inc.,2258500.0
FLORIDA ELECTRICAL CONTRACTORS INC,2246318.0
Pinnacle Plumbing Inc,2235000.0
PROPERTY SERVICES WARRANTY  INC. ,2220843.0
THALES BUILDERS CORP,2209503.0
M & Y Electrical Inc,2202281.0
ADSUM GROUP LLC,2185313.0
Modular Contractors Inc,2183237.0
VERICON CONSTRUCTION COMPANY LLC,2171353.0
COOLTRACE INTERNATIONAL CORP,2169500.0
Sigler Advanced Solutions Inc.,2158995.0
Built By Design Inc.,2155751.0
PENAALUM GLASS & MIRROR INC,2154160.0
GC One Inc,2150000.0
JJW CONSTRUCTION  INC,2130750.0
MASTER CONSTRUCTION OF SOUTH FLORIDA INC,2107947.0
VEPCCO CONSTRUCTION & MANAGEMENT CORP,2097402.0
CARIBE S ELECTRIC  INC,2086976.4
TROPIC AIR CONDITIONING/DBA TROPIC MECHANICAL CONTRACTORS/DBA,2078500.0
SUNSHINE  STATE AIR CONDITIONING INC,2072000.0
COMANCHE CONSTRUCTION LLC,2056513.0
JAZAYRI CONSTRUCTION  INC,2052627.0
ACR Contractors Inc.,2050000.0
SKYLIGHT TECHNOLOGIES,2044900.0
QUEST BUILDERS GROUP  INC.,2032734.0
EXCLUSIVE TRIM  INC,2026798.0
Spire Building Solutions LLC,2014913.0
POWER MAX ELECTRICAL CORP,2005500.0
VIP SYSTEMS MIAMI  INC.,2002800.0
JWR CONSTRUCTION SERVICES INC,2000000.0
POMA METALS CORP,1998460.0
BERNAL CONSTRUCTION CORP,1996511.0
 NUSPACE NETWORK  LLC DBA/NUSPACE FLORIDA LLC,1971000.0
BDW CONSTRUCTION LLC,1967651.0
BALLAST CONSTRUCTION  LLC,1966539.0
TRV MECHANICAL CONTRACTORS SOUTH LLC,1963312.0
Royal Plumbing Corp,1948850.0
YAGAR Construction Inc.,1938351.0
CUTTING EDGE INNOVATIVE REMODELING  LLC,1923297.0
TOMKA LLC,1922975.0
ASE TELECOM & DATA INC,1921395.0
CMS International Group Corp.,1916320.0
MEISNER ELECTRIC INC,1915882.0
S & G Service Intl  Corp.,1912862.0
AA Masters Mechanical Air Moving & Engineering Systems Corp,1904600.0
CROGNALE CONSTRUCTION COMPANY INC,1891575.0
T & S COOL AIR CORP,1887000.0
OVI ELECTRICAL CONTRACTORS  INC.,1880420.8
DILLON POOLS INC,1870101.0
ECOSTRUCTION LLC ,1867177.0
INDIGO CONSTRUCTION SERVICES DBA NAVICON CONSTRUCTION ,1857979.84
748 DEVELOPMENT dba DRYWALL MIAMI; RENOV; SHELL MIAMI; OH MY KITCHEN,1857890.0
Alarm & Electronics Systems LLC,1854535.0
SNYDER CONSTRUCTION INC,1853438.0
DBKP CONSTRUCTION  LLC,1853245.0
CMC CONTRACTORS LLC,1850744.0
SHORECREST CONSTRUCTION  INC,1844600.0
TRICON GROUP INC.,1830000.0
DIMENSION ONE  INC. dba DIMENSION ONE GROUP,1828835.0
NEWPORT PROPERTY CONSTRUCTION LTD,1825844.0
IVEY CONSULTING CORP DBA IVEY DESIGN BUILD  CORP.,1825286.0
EDGE CONSTRUCTION USA  INC. ,1825000.0
Johnson Controls Fire Protection LP,1819791.0
Ajil Construction Inc.,1819577.0
TRINTEC CONSTRUCTION  INC.,1817030.0
MONOGRAM WINDOWS AND DOORS  INC.,1812523.0
MV CONSTRUCTION & DEVELOPMENT GROUP INC,1801625.0
TIDAL CONSTRUCTION ,1800000.0
STALO CONSTRUCTIONS LLC,1800000.0
TYPE A CONSTRUCTION LLC,1794745.0
INFINITY AT YOUR SERVICE LLC,1792031.0
CRON CONSTRUCTION  INC,1783500.0
NATIVE CG LLC,1777135.0
EVOLUTION ELECTRICAL CONTRACTOR GROUP LLC ,1768307.0
GENERAL CONSTRUCTION CONSULTANTS OF SOUTH FLORIDA,1765940.0
IBEX TECH CORPORATION,1758653.2
Advanced Fire & Security Inc.,1751890.0
AP WELDING & STEEL MANUFACTURER. CORP.,1748119.0
DOUGLAS ORR PLUMBING INC,1747980.0
RUIZ CONSTRUCTION INCORPORATED,1735111.0
REYES QUALITY SERVICES INC,1733701.0
Ram Construction MGMT. Inc.,1724730.0
Atlantic Coast Restaurant & Mechanical Services LLC,1712213.0
AA Masters Construction Development And Engineering Group Corp,1703176.0
Puren Homes LLC,1684830.0
CONTEMPORARY BUILDERS INC,1678647.0
RYCON CONSTRUCTION  INC. ,1665390.0
MESA BROTHERS INC,1654838.0
NEELANDS (USA) LIMITED INC,1650000.0
JAROD CONSTRUCTION SERVICES  INC.,1648743.0
CARIBBEAN FIRE & ASSOCIATES INC,1642198.0
QUEST CONTRACTING LLC,1640500.0
CAPFORM  INC.,1632600.0
John Hall Electrical Contracting,1628000.0
BILANTAR CONSTRUCTIONS USA LLC,1627612.0
LEE CONSTRUCTION GROUP  INC.,1622100.0
 WHR HOLDINGS LLC  DBA WILKINSON HIRISE ,1619933.0
GO GREEN ELECTRIC LLC,1615625.0
METRO ELECTRIC SERVICE INC.,1613376.0
Alco Windows & Doors LLC,1604068.0
Wechsler Construction Group Inc.,1600000.0
ABW ELECTRIC INC  DBA A BETTER WAY ELECTRIC,1595661.0
Mascon Construction,1594710.0
MGC SYSTEMS CORP DBA MIRCOM ENGINEERED SYSTEMS,1593258.0
UNIVERSAL GROUP INC,1587299.0
CONTRACTORS 911 LLC,1585576.0
Aquarama Pools Inc.,1585180.0
ARRAS AIR CONDITIONING,1577200.0
U.S. STRUCTURES INC.,1575000.0
J Montaner Consultant LLC,1570600.0
GECKO GROUP INC,1569510.0
MG CONSTRUCTION MANAGEMENT LLC,1566500.0
JOE ROUSSEAU CONSTRUCTION INC,1565950.0
RG Construction Consultant Inc,1562490.46
A1 Renovation LLC,1562304.0
TANIN CONSTRUCTION LLC,1562200.0
ELITE INNOVATION CONSTRUCTION,1559023.0
CECO CONCRETE CONSTRUCTION  L.L.C. ,1558948.0
NAFA DESIGN LLC,1549351.0
WELLINGTON CONSTRUCTION GROUP INC.,1547490.0
ALES GROUP  INC,1543699.0
Electrical Masters,1540809.6
HARBOUR CONSTRUCTION INC.,1534675.25
NOVOA ELECTRICAL CONTRACTORS INC,1534355.2
ESSIG POOLS INC,1534147.0
Custom Call Centers Inc./dba  Connect C3,1533152.0
SAMA CONSTRUCTION  INC,1530910.0
PROJECT BUILDERS INC.,1529700.0
KROME CONSTRUCTION,1511302.0
A1 Duran Roofing Inc.,1503000.0
IMPACT DW CORPORATION,1500621.0
JAG BUILDING  GROUP INC,1490000.0
NEWTECH BUILDERS CORP,1488498.0
GESTIDO CONSTRUCTION  LLC,1486450.0
PEDREIRAS Inc.,1477835.0
Hood Depot International Inc,1472682.0
Atlantis Environmental Engineering Inc.,1469585.36
The Terracon Group Inc.,1467500.0
B & B CONCEPT DESIGNS INC,1462780.0
Solutions Electrical Corp. ,1462300.0
EDCA CONTRACTORS INC,1458400.0
SELENIS TECHNOLOGIES LLC,1453559.0
Nandez D&D  LLC,1452130.0
ESTRELLA PLUMBING SERVICES,1450500.0
ENGEL CONSTRCUTION INC,1450000.0
CMC FLORIDA INVESTMENTS INC,1447700.0
I G W T CONSTRUCTION INC,1443852.0
WINGLOAD ELECTRIC CONTRACTOR CORP,1442198.6
 MASTEC NETWORK SOLUTIONS  LLC,1438600.0
JA GLOBAL SERVICES GROUP INC,1437426.0
STAMBUL Construction LLC,1434231.0
D W Recreation Services Inc.,1431429.0
ROAD RUNNER ELECTRIC INC ,1427489.0
National Pool Design LLC,1422937.0
CASTELLON PLUMBING CORP,1414700.0
Hidalgo Construction Group LLC,1409162.25
Top Crafts Inc,1406500.0
DIAZ & RUSSELL CONSTRUCTION COMPANY,1405750.0
SPARTAN CONTRACTING CORPORATION,1393500.0
DASH DOOR & CLOSER SERVICE INCdba/Dash Door & Glass,1385907.0
Lucto Fire Sprinkler Corp.,1384162.0
STANSELL PROPERTIES & DEVELOPMENT LLC,1383875.0
HORIZON RETAIL CONSTRUCTION  INC,1380374.0
MILIANCORP INC,1380000.0
B&N PLUMBING CONTRACTOR CORP ,1379959.45
ARMSTRONG AIR CONDITION & HEATING OF CENTRAL FLORIDA INC,1376500.0
AB CONSTRUCTION GROUP LLC DBA FIVE EIGHTEEN CONSTRUCTION,1374970.0
E & M EQUIPMENT CORP.,1373365.0
AVANT BUILDERS  INC,1371680.0
USA HOME IMPROVEMENT,1370914.0
PRO FACADE LLC,1368455.0
ABA ELECTRIC CORP,1367109.0
RAIRCON CORP.,1366320.0
SILVER PALM PLUMBING,1358105.0
CHARGER CONSTRUCTION OF FLORIDA  LLC.,1355000.0
HEICA CONSTRUCTION CORP,1352625.0
SM CONTRACTING   LLC,1351700.0
CAST DEVELOPMENT  LLC/DBA HALMAC CONSTRUCTION,1350750.0
Action Retail Construction Services  LLC,1350000.0
FORTH BUILDING  LLC,1342075.0
DOCK & MARINE CONSTRUCTION INC,1340946.0
PROFESSIONAL BUILDING SOLUTIONS LLC AKA 4 POINT CONSTRUCTION OF FLORIDA,1338254.0
SOUTH FLORIDA CONSTRUCTION ASSOCIATES INC,1333393.0
FORTIS CONSTRUCTION GROUP LLC,1330500.0
Integrated Electrical Services of Dade Inc,1320801.0
Maber Construction LLC,1308250.0
RINGEMANN PLUMBING  INC,1296087.0
DEERE INDUSTRIES LLC,1295520.0
KL MCCaul Construction Inc.,1289000.0
DEACO CENTRAL AIR CONDITIONING CORP,1288150.0
Hereus Construction Inc,1282402.0
Global Security Products INC DBA PARADYME,1276257.0
TEAMWORK CONTRACTORS GROUP  LTD,1273075.0
G & A PLUMBING INC,1272500.0
3JW  CONTRUCTION INC,1270801.0
COASTAL HOMES OF SOUTH FLORIDA  INC,1269939.0
American Concrete Shell INC.,1268653.0
WAYNE AUTOMATIC FIRE SPRINKLERS  INC. ,1267399.0
KISO GROUP  LLC DBA KISO POOLS LLC,1265980.0
Mar B Plumbing Corp.,1261000.0
High Mark Construction LLC,1258750.0
BETANCO ELECTRICAL SERVICES  INC. ,1252866.2
RETOS SERVICES PLUS LLC,1240375.0
MADDOX GROUP INC,1236000.0
APOLLO ELECTRIC AI INC,1235405.0
WESTLAND PLUMBING CORP,1232800.0
RTC ELECTRIC CORP,1226510.2
L&H Construction Services,1224000.0
Santinacho Enterprises Corp,1219589.0
EXA USA CORP,1217500.0
PSG Plumbing Services Inc,1217421.0
BOSCAN CONSTRUCTION LLC,1215763.0
CMG GENERAL CONTRACTORS INC,1210252.0
BLUESTREAM DBA PROFESSIONAL ENERGY SERVICES LLC,1208000.0
Norway Builders LLC,1207401.0
J.R.T. CONSTRUCTION CO. ,1204332.0
Market Refrigeration  Inc.,1200000.0
RGEN ENTERPRISES  LLC,1198000.0
Brothers Two Windows & Screen Inc. d.b.a Hurricane Window & Screen,1197080.0
J. Crompton Electric Inc.,1193600.0
Debonair Mechanical Inc,1192000.0
Convergint Technologies LLC,1189040.0
FLORIDA SOLAR & AIR  INC.,1185565.0
DAIR CONDITIONING COMPANY,1182501.0
OLYMPUS CONSTRUCTION MANAGEMENT CORP,1180376.0
R & Y Electrical Corp,1175028.8
KETEC CONSTRUCTION SERVICES INC.,1174600.0
Regosa Engineering Services Inc.,1172193.0
PARADIGM CONSTRUCTION GROUP,1170007.0
John Bell Construction  Inc.,1151563.0
Elite Impact Glass LLC ,1149954.0
Skylight Security System Inc,1149634.0
ENGINEERED SYSTEMS SOLUTIONS LLC,1147961.0
ORO CONSTRUCTION LLC,1145474.0
SIGNATURE IMPACT WINDOWS & DOORS LLC,1142346.1
Air Masters LLC d/b/a Mechanical Air Masters,1140710.0
PARAGON SYSTEMS INTEGRATION LLC,1138368.0
Altman Glenewinkle Construction LLC,1137012.0
J ROMANO GROUP INC,1132828.0
ROFER CONSTRUCTION INC,1131000.0
WM CONSTRUCTION GROUP INC,1130233.0
LUKE & SONS CONSTRUCTION INC ,1128453.0
P.D.G CONSTRUCTION,1127713.0
AMERICAN RESTORATION AND WATERPROOFING LLC,1123847.0
WINDOW WORKS IMPACT GLAZING INC.,1122615.0
CPS Electric Inc.,1122301.0
brookstone construction llc,1111000.0
21st CENTURY ELECTRICALCONTRACTORS INC. DBA 21st CENTURY ELE,1108400.0
COCONUT GROVE GLASS & MIRROR CORP,1105785.0
THUNDER ELECTRICAL CONTRACTORS INC,1103900.0
JY CONSTRUCTION GROUP  LLC,1102897.0
A & C PORTELA PLUMBING INC,1102585.0
INBUILD GROUP INC,1100837.0
EPOCA CORP,1098930.0
NOCELLA CONTRACTING LLC ,1094870.0
AVIKTOR CORPORATION ,1094501.0
PEAL DEVELOPMENT GROUP  INC,1092000.8
GEORGES WELDING SERVICES INC.,1090830.0
V MAR GROUP INV,1090666.0
MAS ELECTRICAL CONTRACTORS INC,1089185.2
OXX Group LLC,1087275.0
TURNKEY INTERNATIONAL  INC. DBA PORRO JORGE EDUARDO,1086000.0
Riverside Electric and Contracting Services LLC,1084514.6
Bostic Steel Inc.,1082830.0
SMART SHADE STRUCTURES CORP,1076325.0
Charles E Culpepper Jr,1072505.0
Mitch Builders  LLC,1069902.0
CURRENT BUILDERS  INC.,1068758.0
ALLIED ROOFING IND INC  (EIN # INACTIVE),1068376.0
ATEXI SERVICES CORP.,1066576.0
SRV Structures LLC,1065000.0
ADVANCE IMPACT GLASS SYSTEM INC,1062693.17
WISE BUILDING TECHNOLOGIES  LLC,1058528.0
Horne Plumbing Company,1056850.0
MARAND BUILDERS INC.,1054418.0
Dade County Electrical Contractors LLC,1050387.0
CASA BLANCA BUILDERS  LLC ,1044065.0
ROX ENTERPRISES  INC.,1041300.0
HARTZELL CONSTRUCTION  INC.,1040980.0
NEC ELECTRICAL CONTRACTOR INC,1040322.0
VISTA CONSTRUCTION SERVICES INC,1038676.0
VENTURA ARCHITECTURE DEVELOPMENT INC.,1037840.0
SHADAY BAEZ LLC ,1036250.0
UNLIMITED POWER  CORP.,1034300.0
AABAA ELECTRICAL SERVICES,1028503.6
Swebuild Construction LLC,1026470.0
BUSLAM COMPANY PARTNERS INC,1021239.0
ATLANTIC MIAMI BOATLIFTS INC,1019000.0
ETech Electric Inc,1016000.0
FOCCO CONSTRUCTION & DESIGN CORP,1012230.0
Firm development Group LLC,1012013.0
ONICX LLC,1011000.0
MAG 2U INC,1010451.0
Well Electric Technology,1008356.0
Andelson Construction INC.,1007770.0
United Electrical Services Inc.,1000097.2
MaeTec Power  Inc,1000000.0
CARDELLA CONSTRUCTION COMPANY LLC,1000000.0
East Coast Builders & Development Corp/ ,1000000.0
BATES ELECTRIC SERVICE & TECHNOLOGY  INC.,1000000.0
