CompanyName,TotalCost
Altman Glenewinkle Construction LLC,39979012.0
SHAWMUT DESIGN AND CONSTRUCTION ,39105949.0
AURORA PLUMBING CORPORATION,38695793.33
LENNAR MULTIFAMILY BUILDERS LLC,38598000.0
ORIGIN CONSTRUCTION LLC,38495751.61
Hitt Contracting Inc.,37529223.0
Link Construction Group Inc,37272625.0
A & O PLUMBING,36270024.88
PRO MAX RESTORATION & PAINT CORP,33929654.51
SKYCON GROUP LLC,33182663.0
JUNEAU CONSTRUCTION COMPANY LLC,32781224.0
Sunview Construction LLC,32597800.0
C.G. ELECTRICAL & CONSULTING SERVICES INC. ,32051529.0
DPR Construction  A General Partnership,31182417.0
AMICON CONSTRUCTION SERVICES LLC,30638889.72
Becai Electric Inc.,30613335.2
WILLIAMS COMPANY SOUTHEAST,29950625.0
THORNTON CONSTRUCTION COMPANY INC.,29795450.0
R S Construction of Dade Inc,29117176.0
C & S PAINT AND WALLPAPER  INC. ,28686231.2
AKO PLUMBING,27648125.0
SPRINKLERMATIC FIRE PROTECTION SYSTEM INC,27290904.0
Mocca Construction LLC,27233366.0
SEAWOOD BUILDERS  LLC,26612700.0
VILARHOYNACK CONSTRUCTION COMPANY  LLC,26207475.0
L MILTON CONSTRUCTION CORP ,26062143.0
Bengoa Construction Inc.,25969463.0
Kearns Construction Company,25645351.0
CONCRETE PROTECTION AND RESTORATION  LLC,25394329.0
Strategic Group Builders LLC,25000000.0
CAMCON GROUP  LLC ,24934392.0
GT CONSTRUCTION & DEVELOPMENT INC,24801000.0
BERNAL CONSTRUCTION CORP,24702252.0
AURORA MECHANICAL CONTRACTORS INC,24539020.0
Million Air Conditioning Corp.,24483917.0
PETE VICARI GENERAL CONTRACTOR  L.L.C.,24399186.0
HB CONSTRUCTION LLC,24198072.0
Brodson Construction Inc.,23130136.0
EMERALD CONSTRUCTION CORP.,23055490.25
B & I CONTRACTORS INC,22864025.0
Suntech Plumbing Corp,22797200.0
JORDA MECHANICAL CONTRACTOR ,22731572.0
STATEWIDE ELECTRICAL CONTRACTORS INC,22418713.0
Soliman Structures Inc,22190462.0
Champ Plumbing Corp,22075624.0
T&G CONSTRUCTORS,21820962.0
Brickell Group Construction LLC,21747382.0
CAYAT LLC dba ONE CORE CONSTRUCTION MANAGEMENT,21725840.0
MCKENZIE CONSTRUCTION LLC,21598918.7
Rodel Fire Protection Inc,21510825.0
RECREATIONAL DESIGN & CONSTRUCTION  INC. ,21495542.0
CITRUS CONSTRUCTION COMPANY LLC,21363000.0
Alphacladding LLC,20962599.0
Gomez Construction Company,20677668.0
Gulf Plumbing Inc .,20535928.33
HYVAC Mechanical Services INC.,20469307.0
RC CONSTRUCTION & INVESTMENTS  LLC,20358758.27
ARIES LINKS  LLC ,20089714.0
Electraserve Inc,19922981.0
MAGNUM CONSTRUCTION MANAGEMENT  LLC dba MCM,19703189.0
The Rinaldi Group of Florida  LLC,19595926.0
RELATED URBAN CONSTRUCTION LLC,19509000.0
748 DEVELOPMENT dba DRYWALL MIAMI; RENOV; SHELL MIAMI; OH MY KITCHEN,19317247.0
ROYAL AMERICAN CONSTRUCTION COMPANY INC.,19245425.0
QUEST CONTRACTING LLC,19140500.0
MCRT FLORIDA CONSTRUCTION LLC,18956050.0
EMPIRE ELECTRIC MAINTENANCE & SERVICE INC.,18951185.6
MILLER ELECTRIC COMPANY,18921716.0
GILCO HOMES INC.,18717926.0
TGSV ENTERPRISES INC,18693480.0
HART MECHANICAL CONTRACTORS INC,18525800.0
KIEWIT INFRASTRUCTURE SOUTH CO. ,17975612.0
FLORIDA LEMARK CORPORATION,17920457.0
Telesco Construction Management  Inc,17397170.78
MORIAH DEMOLITION AND CONSTRUCTION COMPANY,17240396.0
AMERICAN ELECTRIC OF MIAMI  INC. ,17113657.0
V & M CONSULTING INC,17089683.0
STAR BRITE GROUP  INC,17087495.61
SUNTECH PLUMBING AND MECHANICAL  CORP,16893785.0
VICTORIA ELECTRIC INC,16708380.2
ICONSTRUCTORS  LLC,16615711.0
H A CONTRACTING CORP,16475354.0
TriCity Electric Co. Inc.,16442813.0
RED DOOR CONSTRUCTION LLC,16415067.0
LONGHORN CONSTRUCTION  LLC,16265676.0
COAST TO COAST GENERAL CONTRACTORS INC,15945534.0
Lemartec Corporation,15864895.0
Caibai Constuction LLC,15804674.0
Tetrad Building Group LLC,15785958.0
BY HIS GRACE CONSTRUCTION INC,15662534.61
ALL AMERICAN WINDOWS AND DOORS  INCORPORATED,15634403.0
Caymares Martin Electrical Contractor Inc,15474184.0
CONTINENTAL CONTRACTORS OF MD INC,15449000.0
EXECUTIVE CONSTRUCTION GROUP  Inc.,15315870.0
DBK INC,15273968.0
UNLIMITED ELECTRICAL CONTRACTORS CORP.,15200595.0
EXCLUSIVE CONSTRUCTION & ROOFING GROUP,15168450.940000001
CATALYST DESIGN AND CONSTRUCTION LLC,14794500.0
FINISH LINE BUILDERS INC,14685500.0
CA Lindman of South Florida LLC,14418104.0
180 PRODUCTION MANAGEMENT  INC.,14350000.0
Honshy Electric Company Inc.,14204077.8
GRYCON  LLC,14111425.0
McGOWAN BUILDERS INC ,14012462.0
GOLDEN SANDS GENERAL CONTRACTOR  INC,13950387.0
BRASFIELD & GORRIE  L.L.C. ,13943750.0
THUNDER ELECTRICAL CONTRACTORS INC,13839296.0
Rollan Plumbing Inc.,13694324.41
DC CONSTRUCTION ASSOCIATES  INC. ,13500093.0
AGE OF EMPIRE INC ,13328586.0
CDM Windows & Door Inc.,13282274.0
PENINSULA PLUMBING INC,13260980.0
KELLER NORTH AMERICA  INC.,13165000.0
DICKINSON CAMERON CONSTRUCTION COMPANY  INC. ,13114823.0
THE ROBINS & MORTON GROUP,12864000.0
Rothstar Construction,12828805.14
MCI CONTRACTORS  INC,12714563.0
The WhitingTurner Contracting Co.,12537034.0
JTM CONSTRUCTION GROUP,12507838.0
Land Ron Inc.,12256680.33
VCC LLC,12238839.0
GENERAL CONSTRUCTION CONSULTANTS OF SOUTH FLORIDA,12166378.629999999
COMPONENTI USA LLC,12143615.0
V MAR GROUP INV,12013617.0
M & Y Electrical Inc,11920781.0
STR MECHANICAL CORP,11756836.0
TROPICAL FIRE & SECURITY SYSTEMS INC,11703378.0
CPWR LLC DBA CAPITAL CONTRACTOR SERVICES,11688433.0
BEST AIR SOLUTIONS,11630785.0
TISW CORP,11456295.0
CABALLERO PLUMBING INC,11330000.0
DEANGELIS DIAMOND CONSTRUCTION LLC,11268000.0
Wahab Construction Co,10886838.0
HEDRICK BROS. CONSTRUCTION COMPANY INC,10613000.0
D STEPHENSON CONSTRUCTION INC,10495127.0
HABITAT DEVELOPMENT  LLC,10434101.0
DIANGO GROUP  INC,10419861.0
South florida Air Conditioning & Refrigerator Corp,10253501.0
Y & T PLUMBING CORPORATION,10215800.0
The Terracon Group Inc.,10176873.0
TEAM CONTRACTING INC,10143642.0
NR Group 3 Contractors Inc.,10037638.0
DIAZ & RUSSELL CONSTRUCTION COMPANY,10035807.0
MASS CONSTRUCTION CORPORATION,9992631.0
Biscayne Construction Company Inc. DBA Biscayne Roofing and Waterproofing Systems,9901874.0
Blanco Design Build Inc dba Blanco Design + Build LLC,9857743.0
NEWPORT PROPERTY CONSTRUCTION LTD,9850169.0
EPOCA CORP,9821280.0
YANMART CONSTRUCTION CORP,9710825.0
Rubio Construction Consulting  INC.,9546570.0
THERMAL CONCEPTS LLC,9516940.0
Kennedy Contractors Inc.,9367300.0
Ikon Builders,9353925.0
Best Interior Construction Inc,9285949.0
TECTA AMERICA SOUTH FLORIDA,9228077.0
TROPIC AIR CONDITIONING/DBA TROPIC MECHANICAL CONTRACTORS/DBA,9222232.0
DANIEL OCONNELLS SONS  INC.,9212814.0
DUAL TEMP AIR CONDITIONING  CORP,9095485.0
PROPERTY SERVICES WARRANTY  INC. ,8941770.0
CDC CONTRACTORS,8871000.0
Langerman Construction  LLC,8793815.280000001
SHEAR CONSTRUCTION & MANAGEMENT LLC ,8770770.17
American Concrete Shell INC.,8713579.0
Fallah Construction LLC dba FH Construction,8617225.0
REBUILD MIAMI  LLC ,8466202.0
ICH BUILDERS LLC,8370175.0
FIOCCHI GROUP LLC,8356800.0
UAG CONSTRUCTION  LLC ,8355116.0
UNIVERSAL AIR CONDITIONING CORP,8309273.0
VIKING AIR MECHANICAL INC,8261860.0
GALAXY CONSTRUCTION INC.,8223979.62
PK CONTRACTORS GROUP LLC,8223100.0
NV2A GROUP  LLC,8209086.0
MEISNER ELECTRIC INC,8177022.0
Drive Construction LLC,8168550.0
MIKE CARTER CONSTRUCTION INC,8112701.0
THE MERCOVA GROUP  LLC,8080250.0
BRV CONSTRUCTION SERVICES INC,8053450.0
305 BUILDERS GROUP LLC ,8035003.0
DANIEL H DAVIS CONSTRUCTIONS INC,8000000.0
INFINITY CONSTRUCTION SERVICES INC,7972300.0
Liberty Mission Critical Services LLC,7902100.0
Levy Design Build Consulting Group LLC,7876400.0
JRM CONSTRUCTION MANAGEMENT FLORIDA  LLC,7875313.0
FACADE DYNAMICS LLC ,7817564.5
R&G LLC,7755928.0
ETC COMPANIES LLC,7739463.0
LEE CONSTRUCTION GROUP  INC.,7677457.0
MJ Simpson Corp,7671285.0
RESTORE CONSTRUCTION GROUP  INC.,7653914.0
COMPLETE PROPERTY SERVICES LLC,7575878.0
WEBB PROPERTIES & IMPROVEMENTS  INC,7569500.0
AllGo Construction System  Inc,7529432.0
SUNSHINE  STATE AIR CONDITIONING INC,7495500.0
Archon Air Management Corp,7458680.0
MRG GLAZING CONTRACTORS INC.,7402331.0
EDCA CONTRACTORS INC,7353500.0
CDC BUILDERS  INC,7324466.0
HAMMOND ELECTRIC SERVICE INC,7320747.78
CIASA ENGINEERING USA  INC DBA MAT CONSTRUCTION,7310512.0
Good Air Inc.,7265000.0
R2 Construction Group LLC,7261000.0
MV CONSTRUCTION & DEVELOPMENT GROUP INC,7131767.0
JAM ENGINEERING INC.,7121570.0
Andelson Construction INC.,7103771.0
Glass Tech Engineering Inc,7096490.0
Electrical Masters,7080765.2
APOLLON CONTRACTING LLC ,6978847.0
Infinite Windows LLC & Infinite Builders LLC,6927674.0
AMDI Construction Inc.,6892238.0
Berlar LLC,6859961.0
Keylite Power & Lighting Corp.,6788664.6
Adasi Developers INC.,6754128.0
A.G.E CONSTRUCTION & DEVELOPMENT CORP,6690020.0
Tirone Electric  Inc,6683756.0
AYAN ELECTRICAL SERVICES INC,6681520.0
HARBOUR CONSTRUCTION INC.,6673688.25
Sunshine Electrical Contractors Corp,6658247.84
YAGAR Construction Inc.,6638367.0
ABW ELECTRIC INC  DBA A BETTER WAY ELECTRIC,6614237.0
CORRADI CONSTRUCTION GROUP LLC,6599487.75
FIREPAK INC,6544615.0
MASSARD CONSTRUCTION CORP.,6516175.0
Contractors Electrical Service Inc,6498150.2
IBEX TECH CORPORATION,6490953.2
ARQUIGREEN CORP,6485000.0
ABCO ELECTRIC INC,6459615.24
LINBECK GROUP  LLC,6458000.0
SR RENOVATIONS LLC ,6457806.0
Sigma Builders LLC,6455174.1
Parkway C& A LP ,6429007.0
WILLIAM R NASH INC,6410050.0
D W Recreation Services Inc.,6399168.0
MTM Glass Concepts  Inc.,6392819.0
BEN F. BLANTON CONSTRUCTION  INC.,6342000.0
CH Construction Group Corp.,6277163.0
Ajil Construction Inc.,6217999.0
Home Depot AtHome Services (the),6211331.15
Oak Construction Co Inc,6183765.0
OXFORD UNIVERSAL CORP,6180777.0
DOUGLAS ORR PLUMBING INC,6180660.0
U.S. CONSTRUCTION CORP.,6174576.0
J. RAYMOND CONSTRUCTION CORP,6158138.0
FHIA LLC,6033990.0
M.K. DEVELOPERS  INC,6028265.0
JJW CONSTRUCTION  INC,6020750.0
DAVID MANCINI & SONS INC,6005191.0
DEACO CENTRAL AIR CONDITIONING CORP,6002135.0
SAJO INC. DBA SAJO (MONTREAL) INC.,5973595.0
CMC CONTRACTORS LLC,5971034.0
EDGE CONSTRUCTION USA  INC. ,5965695.0
AVI Integrators  Inc dba Security 101,5954260.0
ALLIED ROOFING IND. INC. ,5949996.0
Benson Electric Inc,5901800.0
CONTRACTORS 911 LLC,5891683.0
WEST CONSTRUCTION INC,5878300.0
SUNLAND BUILDERS LLC,5850000.0
RamTech Construction Inc,5828581.0
RAC CONTRACTORS LLC ,5815151.0
MIAMI DADE COUNTY WATER AND SEWER DEPT.,5798783.0
ARKI Construction Inc.,5767013.0
Blue Wave Communications LLC,5742119.0
STAMBUL Construction LLC,5741548.0
Miller Construction Company,5719853.0
HCD GROUP CORP,5719838.0
BILTMORE CONSTRUCTION CO. INC.,5685000.0
Norway Builders LLC,5683548.220000001
NEC ELECTRICAL CONTRACTOR INC,5681943.0
ASINET,5673670.0
RCI AIR CONDITIONING COMPANY,5655205.0
Victory Management LLC,5613610.0
Superior Electrical Contractors Inc.,5588408.0
Green Planet Electric Inc.,5585912.0
KEVIN F. HATTON ELECTRIC  INC.,5571420.0
DADE CONSTRUCTION CORP,5552659.0
SKYLIGHT TECHNOLOGIES,5550207.0
Ocean Coast Electrical Inc.,5529648.0
MARAND BUILDERS INC.,5459572.0
JEMKO DEVELOPMENT CORP.,5437154.0
TORRE CONSTRUCTION & DEVELOPMENT LLC,5411164.0
FAB Interior & Exterior Inc,5407452.0
THE COMPANIES OF R & S INC (aka R&S WINDOW COMPANY),5377984.72
IBUILD INC,5333110.0
S.E.R.L.L. ELECTRIC  INC.,5322501.0
BUILCORE INC. ,5304388.0
Ebsary Foundation Company,5297000.0
GLOBAL PERFORMANCE WINDOWS INC dba EPSYLON USA,5279000.0
ARMSTRONG AIR CONDITION & HEATING OF CENTRAL FLORIDA INC,5221800.0
AG CONTRACTORS FL  LLC,5219756.0
Isaacs Roofing and  Insulation Corp.,5218299.0
PRZ CONSTRUCTION  INC ,5200163.0
TOTAL PANEL OF BROWARD INC. DBA SPACIO DESIGN BUILD,5197999.76
Artesian Pool Construction Inc,5196575.01
CORE BIM DBA COURTNEY DEVELOPMENT ,5141000.0
ARTIFEX CONSTRUCTION CORPORATION,5129514.0
RUIZ ELECTRIC CORPORATION,5107770.0
DUAL AIRE SERVICES,5100500.0
Morabito Construction LLC,5094401.0
LONCUS PLUMBING CONTRACTOR INC,5079935.0
gunther general contracting services inc,5076900.0
TRANSFORMERS ELECTRIC .LLC ,5004545.4
Insignia construction company llc,4982500.0
Hidalgo Construction Group LLC,4978994.25
PONS ESTIMATING Construction SERVICES ,4967416.47
BREIG ELECTRIC AND CONSULTANTS INC,4946190.0
Design Build Interamerican Inc,4941804.0
B & R ENGINEERING CORP,4911500.0
ARCO/ MURRAY NATIONAL CONSTRUCTION CO.  INC,4907758.0
Century Fire  Inc.,4902776.0
Metropolitan Plumbing  Inc.,4876500.0
TRON CONSTRUCTION LLC,4870875.0
Anrod Builders LLC,4866552.0
RJS CONSULTANTS INC. DBA PRESTIGE WINDOWS AND DOORS,4858056.4
THE G. STEEL GROUP  LLC ,4843388.4
BUILDING BLOCKS CONSTRUCTION  INC.,4839066.1
PERILLO CONSTRUCTION,4821779.0
Airtech Air Conditioning,4820250.0
TO BETTER DAYS CONSTRUCTION  LLC,4800000.0
Top Crafts Inc,4738235.0
NEWSTART CONSTRUCTION GROUP  LLC,4732464.0
TWENTY TWO GROUP LLC,4730863.0
Johnson Controls Fire Protection LP,4714552.0
Modular Contractors Inc,4704027.0
UNO CONSTRUCTION SERVICES LLC,4655800.0
CP Construction & Investment LLC,4635975.0
Building Block Realty LLC,4621618.0
LARKEN ELECTRIC INC,4620119.8
COLTEC ENGINEERING INC,4617000.0
O B Construction Group Inc,4552657.0
HABITAT GROUP INC,4550698.0
J P BUILDERS CORP.,4544813.0
DILLON POOLS INC,4529208.0
ERICSSON INC.,4488940.0
CALULACO CONSTRUCTION INC,4465717.0
UNIVERSAL GROUP INC,4460096.0
Albu & Associates Inc.,4455263.0
Intelligent Construction Inc.,4434617.0
ONICX LLC,4390737.0
Air South Mechanical Inc,4379300.0
Riverside Electric and Contracting Services LLC,4378079.2
ACTL GROUP  LLC,4370950.0
ADT COMMERCIAL LLC,4369633.0
VEPCCO CONSTRUCTION & MANAGEMENT CORP,4304628.0
EXCEL PLUMBING SERVICES  INC,4296310.0
DOCK & MARINE CONSTRUCTION INC,4295633.0
ECCS FLORIDA  LLC ,4289077.0
METRO ELECTRIC SERVICE INC.,4275665.8
Sigler Advanced Solutions Inc.,4259445.0
Benetti Services Inc,4230499.0
ADONAI DESIGN & CONSTRUCTION  INC.,4220363.0
PSG Plumbing Services Inc,4209390.0
ABA ELECTRIC CORP,4201534.2
TURNKEY INTERNATIONAL  INC. DBA PORRO JORGE EDUARDO,4199791.0
SUNCOAST CONSTRUCTION GROUP INC,4156751.0
CRAWFORDTRACEY CORP. ,4135649.0
LOVELAND ELECTRIC II  LLC,4118000.0
American Storm Protection Corp.,4090560.0
BALLAST CONSTRUCTION  LLC,4088464.0
ASSOCIATED STEEL AND ALUMINUM INC ,4085821.0
INDUSTRIAL ELECTRICAL SYSTEMS CORP,4051349.2
CONSTRUCT USA LLC,4048965.0
DIVERSIFIED ELECTRICAL MASTER CORP ,4026010.0
ARRAS AIR CONDITIONING,4016876.0
TRANSAMERICA CONSTRUCTION COMPANY,4001250.0
STRUCTURAL PRESERVATION SYSTEMS LLC,3982651.0
ROAD RUNNER ELECTRIC INC ,3976447.0
Atlantic Coast Restaurant & Mechanical Services LLC,3976314.0
ICG ICON CONSTRUCTION GROUP  LLC ,3962940.0
VALCOURT EXTERIOR BUILDING SERVICES OF FLORIDA LC,3953751.0
MUSTANG ELECTRIC CORP,3944800.0
AYA DIVERSITY ELECTRIC  LLC,3942386.0
CASTELLON PLUMBING CORP,3934550.0
PANAMERICAN ENGINEERING CONTRACTORS  CORP,3933175.0
ASE TELECOM & DATA INC,3929975.0
Mora United LLC,3920578.0
BTW CONSTRUCTION GROUP LLC,3878500.0
AMICON DEVELOPMENT GROUP  LLC,3866681.0
Play Space Services Inc.,3850450.0
MILLER GLASS & GLAZING INC,3837658.0
Bostic Steel Inc.,3833043.0
RYCON CONSTRUCTION  INC. ,3826048.0
DAIR CONDITIONING COMPANY,3824284.61
RING ELECTRIC INC,3791700.0
Santinacho Enterprises Corp,3786779.0
TASCO PLUMBING & MECHANICAL SERVICES  LLC DBA TASCO ELECTRICAL CONTRACTORS  LLC,3775575.0
AV ELECTRICAL SERVICE INC,3775574.0
OSDATEC INC. dba THE MIACON GROUP,3775099.7800000003
RINGEMANN PLUMBING  INC,3743231.0
BDW CONSTRUCTION LLC,3735001.0
DEERE INDUSTRIES LLC,3726496.0
TRUE POWER ELECTRICAL CONTRACTOR INC,3713086.0
TRV MECHANICAL CONTRACTORS SOUTH LLC,3703312.0
THREE COUNTY CONSTRUCTION INC.,3671279.4
STAMBUL LLC,3665589.0
PWI CONSTRUCTION  INC.,3646500.0
W PROJECTS CONSULTING LLC ,3644815.0
TI Contractors LLC,3623845.0
Striking Electric LLC,3622000.0
 MASTEC NETWORK SOLUTIONS  LLC,3621101.0
WESTLAND PLUMBING CORP,3618500.0
F L CRANE & SONS INC,3602164.0
Horne Plumbing Company,3584160.0
MAGANA PMC llc,3583684.0
J Montaner Consultant LLC,3569001.0
A & C PORTELA PLUMBING INC,3523785.0
MCGILVRAY MECHANICAL  LLC ,3506356.0
Oscar & Sons Air Conditioning Air,3505500.0
SUNTECH DEVELOPMENT INC.,3503362.0
T & S COOL AIR CORP,3503328.84
Morales And Son Inc.,3495235.0
JohnsonLaux Construction LLC,3489582.0
Ximeno Plumbing Inc.,3486590.0
CAST DEVELOPMENT  LLC/DBA HALMAC CONSTRUCTION,3484152.0
NEXTEP ELECTRIC INC,3483986.36
COOLTRACE INTERNATIONAL CORP,3483970.0
CANAM ELECTRIC  LLC ,3483400.0
 WHR HOLDINGS LLC  DBA WILKINSON HIRISE ,3482912.0
MILIANCORP INC,3480000.0
Gerrits Construction Inc.,3477355.0
GREAT DANE PETROLEM CONTRACTORS INC,3461433.0
ALLIED CONSTRUCTION SOFL GROUP LLC,3443500.0
Treo Construction LLC,3430908.0
CONINMAQ L.L.C. ,3420730.0
ALL COAST BUILDERS LLC,3420359.0
Build Manage Consult Construction Services  Inc.,3400000.0
AMERICAN IMPACT WINDOWS & DOORS LLC ,3395739.0
WINGLOAD ELECTRIC CONTRACTOR CORP,3395098.6
Secure Windows & Doors Inc,3383620.0
NOVOA ELECTRICAL CONTRACTORS INC,3375331.0
Royal Plumbing Corp,3363800.0
Hawkins Construction Inc.,3352248.0
TRINTEC CONSTRUCTION  INC.,3348220.0
Pinnacle Plumbing Inc,3347000.0
Harmison Electric Group Inc.,3337261.0
premier Air Conditioning & Refrigeration  Inc,3335260.0
ETech Electric Inc,3332274.6
RAMI CONSTRUCTION GROUP INC,3314700.0
XTreme Cool Service Corporation,3313450.0
SOUTH FLORIDA CONSTRUCTION ASSOCIATES INC,3308326.0
A B Knight Construction and Development  LLC,3300050.0
Symmentry Construction Group Corp.,3299325.0
CMG GENERAL CONTRACTORS INC,3291877.0
PEOPLES PLUMBING & MECHANICAL  INC.,3287000.0
AW CONTRACTING CORPORATION,3286000.0
HMJC CORPORATION,3284600.0
AA Masters Mechanical Air Moving & Engineering Systems Corp,3283631.0
BC ARVIZU CONSTRUCTION INC,3273174.0
CENTURY BUILDERS & RESTORATION INC,3267425.0
SELENIS TECHNOLOGIES LLC,3252848.0
GENEX BUILDERS  LLC ,3236229.0
Nandez D&D  LLC,3227356.0
C.B.S.FP LLC,3224675.0
SOUTH BEACH CONSTRUCTION INC,3208501.0
ANOUVILLE CONSULTING AND CONSTRUCTION LLC,3199025.0
SAN RAFAEL DOORS USA/DBA ARTISTIC BUILDING STUDIO INC,3183305.0
Atlas Plumbing Inc.,3169050.0
HYPOWER INC,3167262.0
JAROD CONSTRUCTION SERVICES  INC.,3157602.0
ENGINEERING SYSTEMS TECHNOLOGY INC.,3157421.0
Regosa Engineering Services Inc.,3155937.0
INFINITY DEVELOPERS INC,3124101.0
CARIBE S ELECTRIC  INC,3124081.4
FLORIDIAN BUILDERS II  LLC,3110110.0
PCL Construction Services Inc.,3100000.0
State Electrical Contractor  LLC,3091120.0
Cellucrete Corp.,3090579.0
CPS Electric Inc.,3087803.4
MAESTRE CONSTRUCTION INC,3087711.0
Atelier Construction  llc,3080650.0
NATIVE CG LLC,3074429.0
One Stop Construction Inc.,3058218.35
MATEU CONSTRUCTION LLC,3047125.0
GC3 CONSTRUCTION  LLC ,3043625.0
GM ELECTRICAL CONTRACTORS INC,3041707.2
WAYNE AUTOMATIC FIRE SPRINKLERS  INC. ,3034049.0
BUILDING CONCEPTS OF FLORIDA INC,3033941.0
ASIATECHCONSTRUCTION  LLC,3032522.0
GERARDI CONSTRUCTION INC,3026339.0
AP WELDING & STEEL MANUFACTURER. CORP.,3023720.0
HILL YORK SERVICE COMPANY  LLC,3023500.0
RG Construction Consultant Inc,3020528.46
MESA BROTHERS INC,3009458.0
CONTEMPORARY BUILDERS INC,3007647.0
Integrated Electrical Services of Dade Inc,2997326.0
RUIZ CONSTRUCTION INCORPORATED,2980629.2
POMA METALS CORP,2980460.0
CUDA CONSTRUCTION MANAGEMENT G&G CONSTRUCTION GROUP,2970140.0
S & G Service Intl  Corp.,2941337.0
John Bell Construction  Inc.,2917016.0
JP VERTEX CONSTRUCTION CORP,2913000.0
SIMJA ENTERPRISES  LLC,2909825.0
CONTEMPORARY CONSTRUCTION GROUP INC,2906345.0
 NUSPACE NETWORK  LLC DBA/NUSPACE FLORIDA LLC,2901600.0
KA STAR CONSTRUCTION INC,2891000.0
Advanced Fire & Security Inc.,2881806.0
GEC ASSOCIATES INC,2860127.0
CECO CONCRETE CONSTRUCTION  L.L.C. ,2858988.0
ABSOLUTE OUTDOOR LIVING LLC/STRUXURE  SOUTH FLORIDA,2857899.0
DIMENSION ONE  INC. dba DIMENSION ONE GROUP,2852335.0
THALES BUILDERS CORP,2848003.0
Artar Construction LLC,2830000.0
NORCA AIR CONDITIONING AND HEATING CORP,2828174.75
Dade County Electrical Contractors LLC,2807842.0
State Contracting & Engineering Corporation,2796427.0
UNLIMITED POWER  CORP.,2779300.0
Aquarama Pools Inc.,2777880.0
TANIN CONSTRUCTION LLC,2777765.0
J CAPPELLETI INC,2775570.0
Oscar Air Conditioning Inc,2773800.0
CITIQUIET WINDOWS AND DOORS ,2767977.0
MGC SYSTEMS CORP DBA MIRCOM ENGINEERED SYSTEMS,2763172.0
ACR Contractors Inc.,2755313.0
LHF Construction Inc,2749150.0
D&M Electrical and System LLC,2747500.0
BETANCO ELECTRICAL SERVICES  INC. ,2726403.7
GC One Inc,2717613.0
Critical Path Services Inc,2715500.0
CACERES CONSTRUCTION SERVICES ,2710950.0
SOLCO ENGINEERING LLC.,2698139.0
ADVANCED HOOD SYSTEMS LLC,2687434.0
