CompanyName,TotalCost,CompanyName,RemSQFT
WILLIAMS COMPANY SOUTHEAST,29950625.0,9,1222030.0
Fisk Electric Company,29356746.2,504,1381040.0
R S Construction of Dade Inc,29117176.0,2,0.0
C & S PAINT AND WALLPAPER  INC. ,27875654.0,7,1468.0
C.G. ELECTRICAL & CONSULTING SERVICES INC. ,27091389.0,212,29392.0
KVC CONSTRUCTORS INC,26039568.0,19,108808.0
AURORA PLUMBING CORPORATION,25872814.33,33,653720.0
Delant Construction Co,25591352.0,16,0.0
Strategic Group Builders LLC,25000000.0,1,0.0
GT CONSTRUCTION & DEVELOPMENT INC,24801000.0,4,67996.0
VILARHOYNACK CONSTRUCTION COMPANY  LLC,24552225.0,25,116505.0
Turner Construction Co,24079982.0,25,556745.0
Mocca Construction LLC,24057566.0,27,106592.0
AMICON CONSTRUCTION SERVICES LLC,23717005.72,25,300720.0
CONCRETE PROTECTION AND RESTORATION  LLC,23332619.0,16,80667.0
Kearns Construction Company,23121551.0,24,585.0
STATEWIDE ELECTRICAL CONTRACTORS INC,22238713.0,125,350990.0
THE BEC GROUP SERVICES INC,21818162.0,32,0.0
T&G CONSTRUCTORS,21720962.0,12,124863.0
CITRUS CONSTRUCTION COMPANY LLC,21363000.0,4,0.0
Alphacladding LLC,20957599.0,8,0.0
AKO PLUMBING,20783380.0,31,63540.0
Gomez Construction Company,20677668.0,10,0.0
RECREATIONAL DESIGN & CONSTRUCTION  INC. ,20539207.0,32,20712.0
HB CONSTRUCTION LLC,20346122.0,165,188905.0
SHAWMUT DESIGN AND CONSTRUCTION ,20274123.0,35,94776.0
Million Air Conditioning Corp.,19790652.0,59,617229.0
The Rinaldi Group of Florida  LLC,19595926.0,3,7510.0
RELATED URBAN CONSTRUCTION LLC,19509000.0,2,145666.0
QUEST CONTRACTING LLC,19140500.0,6,218405.0
Becai Electric Inc.,18987317.2,153,250268.0
MCRT FLORIDA CONSTRUCTION LLC,18956050.0,9,320.0
SPRINKLERMATIC FIRE PROTECTION SYSTEM INC,18947573.0,166,0.0
MILLER ELECTRIC COMPANY,18300466.0,30,151116.0
RC CONSTRUCTION & INVESTMENTS  LLC,18159457.27,351,75616.0
NAGELBUSH MECHANICAL INC,17597260.0,30,89168.0
Telesco Construction Management  Inc,17397170.78,3,350670.0
HART MECHANICAL CONTRACTORS INC,17325800.0,11,313469.0
HYVAC Mechanical Services INC.,17300307.0,10,0.0
V & M CONSULTING INC,17046483.0,30,0.0
SUNTECH PLUMBING AND MECHANICAL  CORP,16893785.0,7,0.0
Rodel Fire Protection Inc,16830825.0,92,0.0
EMPIRE ELECTRIC MAINTENANCE & SERVICE INC.,16490833.6,313,676914.0
LONGHORN CONSTRUCTION  LLC,16265676.0,3,0.0
RED DOOR CONSTRUCTION LLC,15906499.0,76,113255.0
MORIAH DEMOLITION AND CONSTRUCTION COMPANY,15882146.0,39,0.0
Tetrad Building Group LLC,15785958.0,6,200000.0
AURORA MECHANICAL CONTRACTORS INC,15454220.0,26,33331.0
DBK INC,15273968.0,9,172937.0
ICONSTRUCTORS  LLC,15151611.0,23,188430.0
Champ Plumbing Corp,15020224.0,18,53226.0
FLORIDA LEMARK CORPORATION,15001907.0,24,10479.0
CONTINENTAL CONTRACTORS OF MD INC,14949000.0,1,362230.0
Brodson Construction Inc.,14936735.0,36,62528.0
EXCLUSIVE CONSTRUCTION & ROOFING GROUP,14784937.940000001,33,208399.0
MCKENZIE CONSTRUCTION LLC,14452685.7,55,174125.0
Electraserve Inc,14112606.0,63,6782.0
A & O PLUMBING,13930024.879999999,21,5018.0
GOLDEN SANDS GENERAL CONTRACTOR  INC,13899387.0,32,245627.0
CAMCON GROUP  LLC ,13278393.0,36,39786.0
Soliman Structures Inc,13276012.0,22,0.0
AGE OF EMPIRE INC ,13198586.0,26,13874.0
KELLER NORTH AMERICA  INC.,13165000.0,2,0.0
Bengoa Construction Inc.,12988078.0,10,51344.0
Gulf Plumbing Inc .,12903928.33,21,62052.0
THE ROBINS & MORTON GROUP,12864000.0,24,54115.0
Rothstar Construction,12674805.14,69,176619.0
COAST TO COAST GENERAL CONTRACTORS INC,12529526.0,9,12175.0
EXECUTIVE CONSTRUCTION GROUP  Inc.,12247219.0,49,150414.0
VICTORIA ELECTRIC INC,12214500.2,144,105470.0
Rollan Plumbing Inc.,12154124.41,5,0.0
Land Ron Inc.,12009291.71,2,346675.0
ALL AMERICAN WINDOWS AND DOORS  INCORPORATED,11968955.0,11,0.0
CAYAT LLC dba ONE CORE CONSTRUCTION MANAGEMENT,11927516.0,88,19434.0
COMPONENTI USA LLC,11901615.0,24,0.0
CDM Windows & Door Inc.,11824459.0,35,0.0
TROPICAL FIRE & SECURITY SYSTEMS INC,11645382.0,206,0.0
TISW CORP,11347745.0,287,0.0
DICKINSON CAMERON CONSTRUCTION COMPANY  INC. ,11134823.0,24,40983.0
BEST AIR SOLUTIONS,10798785.0,33,42257.0
HEDRICK BROS. CONSTRUCTION COMPANY INC,10613000.0,2,23473.0
D STEPHENSON CONSTRUCTION INC,10495127.0,7,6602.0
748 DEVELOPMENT dba DRYWALL MIAMI; RENOV; SHELL MIAMI; OH MY KITCHEN,10361997.0,49,6753.0
McGOWAN BUILDERS INC ,10162672.0,26,119367.0
TEAM CONTRACTING INC,10143642.0,19,5759.0
DIANGO GROUP  INC,10107361.0,56,0.0
GILCO HOMES INC.,9986351.0,16,0.0
YANMART CONSTRUCTION CORP,9710825.0,35,1030.0
M & Y Electrical Inc,9670781.0,76,17528.0
JTM CONSTRUCTION GROUP,9576500.0,8,60121.0
PENINSULA PLUMBING INC,9573820.0,123,536075.0
AMERICAN ELECTRIC OF MIAMI  INC. ,9528000.0,1,0.0
GENERAL CONSTRUCTION CONSULTANTS OF SOUTH FLORIDA,9451847.629999999,51,0.0
JORDA MECHANICAL CONTRACTOR ,9424485.0,16,10592.0
Caymares Martin Electrical Contractor Inc,9342355.0,90,0.0
Biscayne Construction Company Inc. DBA Biscayne Roofing and Waterproofing Systems,9297474.0,25,0.0
DANIEL OCONNELLS SONS  INC.,9179814.0,2,0.0
Best Interior Construction Inc,9024324.0,25,86227.0
Langerman Construction  LLC,8793815.280000001,3,57572.0
MASS CONSTRUCTION CORPORATION,8792981.0,26,52777.0
Fallah Construction LLC dba FH Construction,8617225.0,8,39233.0
EMERALD CONSTRUCTION CORP.,8542052.25,39,155893.0
PROPERTY SERVICES WARRANTY  INC. ,8534525.0,47,135854.0
Honshy Electric Company Inc.,8473722.8,83,10678.0
Rubio Construction Consulting  INC.,8277819.0,49,89581.0
Blanco Design Build Inc dba Blanco Design + Build LLC,8247543.0,57,500.0
NR Group 3 Contractors Inc.,8130200.0,55,48894.0
THE MERCOVA GROUP  LLC,8080250.0,8,86162.0
305 BUILDERS GROUP LLC ,8035003.0,9,101097.0
JRM CONSTRUCTION MANAGEMENT FLORIDA  LLC,7875313.0,5,60703.0
THUNDER ELECTRICAL CONTRACTORS INC,7872611.0,65,47969.0
VIKING AIR MECHANICAL INC,7831875.0,152,986240.0
Liberty Mission Critical Services LLC,7776100.0,14,101656.0
ETC COMPANIES LLC,7739463.0,1,88451.0
FACADE DYNAMICS LLC ,7648564.5,12,0.0
THERMAL CONCEPTS LLC,7637665.0,7,123821.0
RESTORE CONSTRUCTION GROUP  INC.,7625414.0,10,9675.0
R&G LLC,7574678.0,175,5295.0
WEBB PROPERTIES & IMPROVEMENTS  INC,7569500.0,3,51371.0
NEWPORT PROPERTY CONSTRUCTION LTD,7528019.0,19,37383.0
TECTA AMERICA SOUTH FLORIDA,7323022.0,42,0.0
DUAL TEMP AIR CONDITIONING  CORP,7281485.0,6,0.0
R2 Construction Group LLC,7261000.0,7,2997.0
HAMMOND ELECTRIC SERVICE INC,7094327.78,247,456235.0
Caibai Constuction LLC,7002885.0,142,22837.0
Y & T PLUMBING CORPORATION,6900500.0,8,6401.0
H A CONTRACTING CORP,6880354.0,11,45084.0
Glass Tech Engineering Inc,6841844.0,16,0.0
Infinite Windows LLC & Infinite Builders LLC,6814212.0,111,3444.0
CDC CONTRACTORS,6739000.0,8,0.0
COASTAL/TISHMAN  A JOINT VENTURE ,6575530.0,17,0.0
ARQUIGREEN CORP,6485000.0,32,0.0
MRG GLAZING CONTRACTORS INC.,6469004.0,112,0.0
ABCO ELECTRIC INC,6391515.24,305,409077.0
MTM Glass Concepts  Inc.,6372819.0,50,2630.0
STAR BRITE GROUP  INC,6303681.61,165,28744.0
DYNALECTRIC COMPANY,6303005.0,28,19024.0
ABW ELECTRIC INC  DBA A BETTER WAY ELECTRIC,6302217.0,58,177243.0
MAGNUM CONSTRUCTION MANAGEMENT  LLC dba MCM,6300400.0,18,53173.0
AMDI Construction Inc.,6215238.0,27,33803.0
Suntech Plumbing Corp,6200000.0,6,0.0
J. RAYMOND CONSTRUCTION CORP,6158138.0,2,43508.0
Adasi Developers INC.,6154128.0,46,5568.0
INFINITY CONSTRUCTION SERVICES INC,6141775.0,430,268661.0
BY HIS GRACE CONSTRUCTION INC,6086229.88,48,81256.0
Tirone Electric  Inc,6071556.0,81,158250.0
STR MECHANICAL CORP,6056836.0,6,0.0
V MAR GROUP INV,6042788.0,135,1500.0
Lemartec Corporation,5941395.0,6,26722.0
OXFORD UNIVERSAL CORP,5934777.0,33,4379.0
SUNLAND BUILDERS LLC,5850000.0,4,0.0
BRV CONSTRUCTION SERVICES INC,5823450.0,58,51212.0
JJW CONSTRUCTION  INC,5815750.0,9,63176.0
RAC CONTRACTORS LLC ,5815151.0,7,0.0
FHIA LLC,5801667.0,305,440.0
UNIVERSAL AIR CONDITIONING CORP,5792773.0,30,29624.0
ICH BUILDERS LLC,5778800.0,25,17700.0
BRASFIELD & GORRIE  L.L.C. ,5762500.0,3,30000.0
Blue Wave Communications LLC,5742119.0,96,0.0
ALLIED ROOFING IND. INC. ,5724331.0,43,0.0
Miller Construction Company,5719853.0,16,400.0
D W Recreation Services Inc.,5700168.0,25,420.0
ARKI Construction Inc.,5649951.0,12,0.0
TROPIC AIR CONDITIONING/DBA TROPIC MECHANICAL CONTRACTORS/DBA,5631485.0,25,166793.0
SHEAR CONSTRUCTION & MANAGEMENT LLC ,5620770.17,33,20185.0
Victory Management LLC,5613610.0,35,0.0
Keylite Power & Lighting Corp.,5608135.6,28,331183.0
RCI AIR CONDITIONING COMPANY,5605905.0,148,681020.0
ASINET,5598670.0,132,0.0
WILLIAM R NASH INC,5580489.0,37,440381.0
CH Construction Group Corp.,5579413.0,38,24106.0
AVI Integrators  Inc dba Security 101,5570031.0,78,0.0
CA Lindman of South Florida LLC,5568279.0,7,441.0
Home Depot AtHome Services (the),5562967.15,356,1086.0
DADE CONSTRUCTION CORP,5552659.0,8,31384.0
SKANSKA USA BUILDING INC,5543964.0,11,10255.0
South florida Air Conditioning & Refrigerator Corp,5529125.0,8,54378.0
CORRADI CONSTRUCTION GROUP LLC,5520154.0,27,13494.0
YAGAR Construction Inc.,5504367.0,37,36776.0
Kennedy Contractors Inc.,5458500.0,6,26898.0
Contractors Electrical Service Inc,5457402.2,106,319985.0
CIASA ENGINEERING USA  INC DBA MAT CONSTRUCTION,5438824.0,73,26028.0
M.K. DEVELOPERS  INC,5428265.0,65,0.0
ROTUNDA STRUCTURES LC,5424800.0,12,56689.0
FAB Interior & Exterior Inc,5382452.0,21,3073.0
Sunshine Electrical Contractors Corp,5293104.84,437,157834.0
EDGE CONSTRUCTION USA  INC. ,5283195.0,12,21868.0
GLOBAL PERFORMANCE WINDOWS INC dba EPSYLON USA,5279000.0,8,0.0
THE COMPANIES OF R & S INC (aka R&S WINDOW COMPANY),5253247.72,172,0.0
MCI CONTRACTORS  INC,5209812.0,97,10487.0
IBUILD INC,5203160.0,25,3994.0
CORE BIM DBA COURTNEY DEVELOPMENT ,5141000.0,4,1300.0
ARTIFEX CONSTRUCTION CORPORATION,5124514.0,18,56637.0
DUAL AIRE SERVICES,5100500.0,3,0.0
Morabito Construction LLC,5094401.0,11,61934.0
gunther general contracting services inc,5076900.0,9,28066.0
Wahab Construction Co,5028438.0,5,28976.0
PRZ CONSTRUCTION  INC ,4997913.0,67,11147.0
UAG CONSTRUCTION  LLC ,4994240.0,35,4769.0
Insignia construction company llc,4982500.0,26,0.0
S.E.R.L.L. ELECTRIC  INC.,4972501.0,13,585.0
SKYLIGHT TECHNOLOGIES,4969400.0,149,0.0
CMC CONTRACTORS LLC,4936534.0,29,50.0
AYAN ELECTRICAL SERVICES INC,4920775.0,33,522930.0
ARCO/ MURRAY NATIONAL CONSTRUCTION CO.  INC,4907758.0,11,53530.0
FIREPAK INC,4872615.0,20,0.0
Anrod Builders LLC,4866552.0,62,4400.0
U.S. CONSTRUCTION CORP.,4843326.0,19,35198.0
Hidalgo Construction Group LLC,4838743.25,44,39784.0
RJS CONSULTANTS INC. DBA PRESTIGE WINDOWS AND DOORS,4834023.4,184,1.0
AG CONTRACTORS FL  LLC,4819756.0,33,4072.0
TO BETTER DAYS CONSTRUCTION  LLC,4800000.0,1,0.0
AllGo Construction System  Inc,4790701.0,19,0.0
BUILDING BLOCKS CONSTRUCTION  INC.,4752616.1,17,44196.0
LEE CONSTRUCTION GROUP  INC.,4747957.0,14,22261.0
RUIZ ELECTRIC CORPORATION,4722770.0,18,33744.0
Modular Contractors Inc,4704027.0,25,51222.0
Johnson Controls Fire Protection LP,4699552.0,102,0.0
RamTech Construction Inc,4687581.0,27,400.0
Oak Construction Co Inc,4678913.0,7,28069.0
Building Block Realty LLC,4621618.0,11,0.0
Artesian Pool Construction Inc,4621575.01,48,0.0
PERILLO CONSTRUCTION,4604866.0,25,48842.0
LARKEN ELECTRIC INC,4575119.8,182,305427.0
Century Fire  Inc.,4567776.0,68,0.0
Norway Builders LLC,4567423.220000001,14,0.0
TRANSFORMERS ELECTRIC .LLC ,4554145.4,158,157902.0
O B Construction Group Inc,4537857.0,106,240.0
COMPLETE PROPERTY SERVICES LLC,4480878.0,7,47630.0
STAMBUL Construction LLC,4475980.0,30,116785.0
DAVID MANCINI & SONS INC,4455591.0,3,66152.0
CABALLERO PLUMBING INC,4444000.0,29,187361.0
Airtech Air Conditioning,4442250.0,74,910088.0
WEST CONSTRUCTION INC,4434300.0,5,0.0
Electrical Masters,4403159.2,226,78171.0
American Concrete Shell INC.,4389579.0,32,1200.0
DEACO CENTRAL AIR CONDITIONING CORP,4386885.0,33,101831.0
HARBOUR CONSTRUCTION INC.,4385713.25,27,24399.0
ACTL GROUP  LLC,4370950.0,7,5909.0
TGSV ENTERPRISES INC,4368180.0,16,34885.0
ADT COMMERCIAL LLC,4338309.0,156,0.0
KEVIN F. HATTON ELECTRIC  INC.,4336420.0,32,4355.0
Isaacs Roofing and  Insulation Corp.,4333299.0,32,0.0
Parkway C& A LP ,4314107.0,8,13734.0
Air South Mechanical Inc,4224300.0,53,331620.0
ARMSTRONG AIR CONDITION & HEATING OF CENTRAL FLORIDA INC,4221800.0,6,0.0
ERICSSON INC.,4199240.0,139,400.0
Sigma Builders LLC,4185173.1,40,0.0
CP Construction & Investment LLC,4180912.0,19,253.0
CRAWFORDTRACEY CORP. ,4135649.0,7,0.0
Benetti Services Inc,4100465.0,92,56633.0
BALLAST CONSTRUCTION  LLC,4088464.0,11,26371.0
LONCUS PLUMBING CONTRACTOR INC,4084335.0,103,169102.0
MEISNER ELECTRIC INC,4052543.0,51,70152.0
CONSTRUCT USA LLC,4048965.0,40,0.0
TORRE CONSTRUCTION & DEVELOPMENT LLC,4011164.0,10,10784.0
Sigler Advanced Solutions Inc.,3984995.0,35,126317.0
Metropolitan Plumbing  Inc.,3961500.0,24,146198.0
VALCOURT EXTERIOR BUILDING SERVICES OF FLORIDA LC,3953751.0,3,3500.0
MUSTANG ELECTRIC CORP,3944800.0,29,0.0
TRANSAMERICA CONSTRUCTION COMPANY,3936250.0,28,3100.0
Top Crafts Inc,3930841.0,29,50.0
EXCEL PLUMBING SERVICES  INC,3926310.0,32,384626.0
ASE TELECOM & DATA INC,3917175.0,131,0.0
ASSOCIATED STEEL AND ALUMINUM INC ,3916821.0,105,0.0
AYA DIVERSITY ELECTRIC  LLC,3910786.0,9,68872.0
BTW CONSTRUCTION GROUP LLC,3878500.0,8,3800.0
STRUCTURAL PRESERVATION SYSTEMS LLC,3852651.0,7,5901.0
Play Space Services Inc.,3850450.0,2,42988.0
Brickell Group Construction LLC,3828556.0,33,15675.0
JEMKO DEVELOPMENT CORP.,3824551.0,49,0.0
DOCK & MARINE CONSTRUCTION INC,3822345.0,45,300.0
SUNSHINE  STATE AIR CONDITIONING INC,3809000.0,22,107968.0
NEWSTART CONSTRUCTION GROUP  LLC,3791214.0,56,0.0
ICG ICON CONSTRUCTION GROUP  LLC ,3760140.0,12,14344.0
HCD GROUP CORP,3756838.0,19,9600.0
JUNEAU CONSTRUCTION COMPANY LLC,3725580.0,26,7843.0
RYCON CONSTRUCTION  INC. ,3708198.0,25,10772.0
TRV MECHANICAL CONTRACTORS SOUTH LLC,3703312.0,23,145689.0
American Storm Protection Corp.,3697392.0,156,783.0
Bostic Steel Inc.,3683043.0,46,0.0
ONICX LLC,3671263.0,12,48950.0
STAMBUL LLC,3665589.0,1,35031.0
TRUE POWER ELECTRICAL CONTRACTOR INC,3663086.0,57,68576.0
Striking Electric LLC,3622000.0,4,458688.0
A.G.E CONSTRUCTION & DEVELOPMENT CORP,3596508.0,14,6281.0
HABITAT GROUP INC,3596185.0,90,17185.0
DILLON POOLS INC,3563212.0,86,0.0
CPWR LLC DBA CAPITAL CONTRACTOR SERVICES,3530933.0,8,69190.0
TI Contractors LLC,3502145.0,76,54896.0
JohnsonLaux Construction LLC,3489582.0,10,400.0
NEXTEP ELECTRIC INC,3483986.36,59,126286.0
COOLTRACE INTERNATIONAL CORP,3453970.0,48,290401.0
NEC ELECTRICAL CONTRACTOR INC,3439436.0,142,106154.0
Horne Plumbing Company,3438360.0,103,805576.0
Treo Construction LLC,3430908.0,24,0.0
OSDATEC INC. dba THE MIACON GROUP,3391672.7800000003,20,55194.0
MARAND BUILDERS INC.,3377700.0,8,18201.0
MILIANCORP INC,3365500.0,15,44095.0
GALAXY CONSTRUCTION INC.,3330186.62,43,0.0
XTreme Cool Service Corporation,3313450.0,7,44874.0
ARRAS AIR CONDITIONING,3299211.0,44,346572.0
CMG GENERAL CONTRACTORS INC,3274377.0,41,900.0
AMERICAN IMPACT WINDOWS & DOORS LLC ,3263485.0,102,0.0
PEOPLES PLUMBING & MECHANICAL  INC.,3262000.0,9,216851.0
T & S COOL AIR CORP,3255730.84,25,260692.0
RING ELECTRIC INC,3248700.0,12,1462.0
GENEX BUILDERS  LLC ,3236229.0,4,36665.0
Green Planet Electric Inc.,3235977.0,27,4586.0
BERNAL CONSTRUCTION CORP,3229530.0,39,61483.0
Harmison Electric Group Inc.,3206961.0,56,86369.0
SOUTH BEACH CONSTRUCTION INC,3193501.0,10,9946.0
DAIR CONDITIONING COMPANY,3190999.61,90,71488.0
CONTRACTORS 911 LLC,3190303.0,58,1000.0
SAN RAFAEL DOORS USA/DBA ARTISTIC BUILDING STUDIO INC,3183305.0,11,2650.0
Secure Windows & Doors Inc,3172486.0,80,0.0
TASCO PLUMBING & MECHANICAL SERVICES  LLC DBA TASCO ELECTRICAL CONTRACTORS  LLC,3167575.0,23,324101.0
HYPOWER INC,3167262.0,8,85029.0
SOUTH FLORIDA CONSTRUCTION ASSOCIATES INC,3158326.0,21,44474.0
Santinacho Enterprises Corp,3153091.0,87,44008.0
PSG Plumbing Services Inc,3151421.0,145,102989.0
UNLIMITED ELECTRICAL CONTRACTORS CORP.,3143568.0,72,22399.0
AV ELECTRICAL SERVICE INC,3126141.0,92,38396.0
REBUILD MIAMI  LLC ,3124502.0,33,0.0
Ajil Construction Inc.,3124373.0,133,529.0
ADONAI DESIGN & CONSTRUCTION  INC.,3111356.0,66,4884.0
FLORIDIAN BUILDERS II  LLC,3110110.0,4,527.0
ENGINEERING SYSTEMS TECHNOLOGY INC.,3100988.0,161,875.0
PCL Construction Services Inc.,3100000.0,1,17505.0
DIVERSIFIED ELECTRICAL MASTER CORP ,3092156.0,50,49489.0
Atelier Construction  llc,3080650.0,14,5896.0
 WHR HOLDINGS LLC  DBA WILKINSON HIRISE ,3078985.0,93,0.0
NATIVE CG LLC,3074429.0,20,6731.0
Royal Plumbing Corp,3049350.0,61,342378.0
Atlantic Coast Restaurant & Mechanical Services LLC,3049314.0,111,39195.0
 MASTEC NETWORK SOLUTIONS  LLC,3037100.0,159,12.0
ASIATECHCONSTRUCTION  LLC,3032522.0,4,1800.0
GERARDI CONSTRUCTION INC,3026339.0,14,4782.0
TriCity Electric Co. Inc.,3019760.0,37,49947.0
Intelligent Construction Inc.,3014617.0,20,40355.0
INDUSTRIAL ELECTRICAL SYSTEMS CORP,3012789.2,178,147494.0
RINGEMANN PLUMBING  INC,2999480.0,136,1149029.0
Cellucrete Corp.,2993329.0,40,0.0
POMA METALS CORP,2980460.0,15,0.0
BREIG ELECTRIC AND CONSULTANTS INC,2977190.0,38,47570.0
SAJO INC. DBA SAJO (MONTREAL) INC.,2973595.0,15,32721.0
AMICON DEVELOPMENT GROUP  LLC,2954181.0,16,38978.0
BUILDING CONCEPTS OF FLORIDA INC,2948941.0,13,25768.0
BUILCORE INC. ,2945688.0,21,29680.0
EDCA CONTRACTORS INC,2941900.0,37,0.0
VEPCCO CONSTRUCTION & MANAGEMENT CORP,2939628.0,21,2865.0
METRO ELECTRIC SERVICE INC.,2887253.8,206,34436.0
The WhitingTurner Contracting Co.,2887034.0,14,0.0
RG Construction Consultant Inc,2873528.46,11,70270.0
MV CONSTRUCTION & DEVELOPMENT GROUP INC,2871871.0,31,19947.0
CECO CONCRETE CONSTRUCTION  L.L.C. ,2858988.0,22,0.0
ABSOLUTE OUTDOOR LIVING LLC/STRUXURE  SOUTH FLORIDA,2847899.0,15,10191.0
Artar Construction LLC,2830000.0,2,0.0
premier Air Conditioning & Refrigeration  Inc,2828260.0,6,32702.0
The Terracon Group Inc.,2823963.0,11,31957.0
INFINITY DEVELOPERS INC,2798101.0,8,0.0
State Contracting & Engineering Corporation,2796427.0,8,18342.0
DEERE INDUSTRIES LLC,2793996.0,29,22110.0
UNLIMITED POWER  CORP.,2779300.0,7,0.0
CITIQUIET WINDOWS AND DOORS ,2767977.0,12,0.0
JP VERTEX CONSTRUCTION CORP,2763000.0,28,0.0
LHF Construction Inc,2749150.0,16,450.0
D&M Electrical and System LLC,2747500.0,7,0.0
MGC SYSTEMS CORP DBA MIRCOM ENGINEERED SYSTEMS,2739422.0,77,0.0
TRON CONSTRUCTION LLC,2717500.0,6,2800.0
ROAD RUNNER ELECTRIC INC ,2712997.0,69,86323.0
CACERES CONSTRUCTION SERVICES ,2710950.0,15,1552.0
TANIN CONSTRUCTION LLC,2707077.0,34,0.0
CANAM ELECTRIC  LLC ,2703400.0,3,0.0
Pinnacle Plumbing Inc,2697000.0,17,247306.0
DOUGLAS ORR PLUMBING INC,2696320.0,114,782632.0
ADVANCED HOOD SYSTEMS LLC,2687434.0,47,3304.0
GRYCON  LLC,2648525.0,4,12999.0
ABA ELECTRIC CORP,2642034.2,69,70005.0
RUIZ CONSTRUCTION INCORPORATED,2633202.0,56,178592.0
CARIBE S ELECTRIC  INC,2632906.4,78,64613.0
The Auto Project Inc,2627038.0,3,29929.0
DAVID HESTER INC,2622500.0,9,7876.0
Weber Group II LLC,2617000.0,2,28974.0
Build Manage Consult Construction Services  Inc.,2600000.0,2,19263.0
AA Masters Mechanical Air Moving & Engineering Systems Corp,2598201.0,136,48329.0
NOVOA ELECTRICAL CONTRACTORS INC,2594346.2,151,53940.0
Regosa Engineering Services Inc.,2583712.0,159,53594.0
Polaris Fire Protection  Inc.,2567701.0,10,0.0
Aquarama Pools Inc.,2548380.0,102,0.0
ART DECO CONTRACTORS  CORP.,2543187.0,3,11083.0
BDW CONSTRUCTION LLC,2508001.0,8,19886.0
GC One Inc,2507613.0,3,16427.0
FORBES CONSTRUCTION LLC,2492590.0,17,32655.0
A & C PORTELA PLUMBING INC,2488185.0,77,119709.0
PACMAN DATA VOICE & ELECTRIC INC,2485881.0,11,74851.0
DIMENSION ONE  INC. dba DIMENSION ONE GROUP,2482335.0,12,13818.0
