,name,title,ID,permit_num,permit_type,review_type,app_start_date,issue_date,processing_time,street_num,street_dir,street_name,street_suffix,work_desc,building_fee_paid,zoning_fee_paid,other_fee_paid,subtotal_paid,building_fee_unpaid,zoning_fee_unpaid,other_fee_unpaid,subtotal_unpaid,building_fee_waived,zoning_fee_waived,other_fee_waived,total_fee,reported_cost,ward,full_address,app_year_start
10,AKINDELE ANTHONY,ARCHITECT,3012039.0,100805197,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2019-10-28,10/28/2019,0.0,2344,S,STATE,ST,*DIRECT DEV SERVICES* NEW CONSTRUCTION OF A 6-STORY AFFORDABLE HOUSING PROJECT WITH 103 TOTAL DWELLING UNITS INCLUDING GROUND FLOOR RETAIL AND SURFACE PARKING. BUILDING B-4.,60148.0,3781.0,27149.0,91078.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91078.0,2200000.0,3.0,2344 S STATE ST,2019.0
11,LANDON PETER,ARCHITECT,3094499.0,100855532,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2020-03-10,08/18/2020,161.0,2614,N,EMMETT,ST,"**DIRECT DEVELOPER SERVICES** NEW I-B PRECAST CONSTRUCTION OF A SEVEN-STORY, 100-UNIT A2 RESIDENTIAL BUILDING WITH ACCESSORY OFFICE, COMMUNITY, AND F - COMMERCIAL TENANT SPACES WITH 20 OPEN AIR PARKING SPACES.",66049.02,3724.0,10000.0,79773.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79773.02,29600152.0,35.0,2614 N EMMETT ST,2020.0
12,DE ROUIN MICHAEL E,ARCHITECT,2913543.0,100745212,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2018-04-11,04/16/2018,5.0,205,S,PEORIA,ST,"*DIRECT DEVELOPER SERVICES*  FOUNDATIONS AND PODIUM SUPERSTRUCTURE ONLY PERMIT UP TO LVL 5 FOR A NEW 19-STORY, 275 D.U. APARTMENT BUILDING.",55769.45,1566.0,0.0,57335.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57335.45,5900000.0,25.0,205 S PEORIA ST,2018.0
13,HIRSCH HOWARD M,ARCHITECT,2965527.0,100776830,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2020-04-09,04/22/2020,13.0,1650,W,DIVISION,ST,***DIRECT DEVELOPER SERVICES*** NEW CONSTRUCTION OF TWELVE (12) FOUR (4) STORY TOWNHOMES AS PER PLANS,20504.88,1200.0,16682.0,38386.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38386.88,15000000.0,1.0,1650 W DIVISION ST,2020.0
14,DOLINAR JOSEPH P,ARCHITECT,3079003.0,100846353,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2020-03-11,04/24/2020,44.0,320,S,CANAL,ST,(DIRECT DEVELOPER SERVICES) NEW CONSTRUCTION OF A FORTY-SIX (46) STORY OFFICE BUILDING TO INCLUDE TWO (2) LEVELS OF BELOW GRADE PARKING AND GROUND FLOOR AS PER PLANS.  (FOUNDATION PERMIT# 100817719) CONSULTANT REVIEWER: GLOBETROTTERS ENGINEERING  [SEE REVISION 100878321 TO ADD (4) FLOORS],882191.2,19166.0,0.0,901357.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,901357.2,321000000.0,42.0,320 S CANAL ST,2020.0
15,NATKE ROBERT E,ARCHITECT,3155084.0,100899044,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2021-12-09,12/13/2021,4.0,3559,W,LAWRENCE,AVE,***DIRECT DEVELOPER SERVICES*** PROPOSED SIX (6) STORY 50 DWELLING UNIT RESIDENTIAL BUILDING WITH THIRTEEN (13) PARKING SPACES AND COMMERCIAL/RETAIL ON THE GROUND FLOOR AS PER PLANS. CONSULTANT REVIEWER: GLOBETROTTERS ENGINEERING,31549.0,8325.0,9233.0,49107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49107.0,10000000.0,33.0,3559 W LAWRENCE AVE,2021.0
16,FRISCH MARK,ARCHITECT,3239894.0,100959459,PERMIT - NEW CONSTRUCTION,TRADITIONAL DEVELOPER SERVICES,2022-02-23,02/23/2022,0.0,10000,W,OHARE,ST,Deep Foundation - CAISSONS ONLY PERMIT- for a proposed 6-story concrete parking garage structure at Terminal 5 of OHare International Airport as per plans.,6000.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,8224.0,0.0,14224.0,2200000.0,41.0,10000 W OHARE ST,2022.0
17,HARTSHORNE RAY,ARCHITECT,2839020.0,100700097,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2017-12-08,12/08/2017,0.0,202,W,HILL,ST,"***DIRECT DEVELOPER SERVICES*** NEW CONSTRUCTION OF 39-STORY RESIDENTIAL TOWER WITH GROUND FLOOR RETAIL AND PARKING, 6-STORY PODIUM AND 428 RESIDENTIAL UNITS.",352755.0,9033.0,0.0,361788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361788.0,15000000.0,27.0,202 W HILL ST,2017.0
18,FENG ZISONG,ARCHITECT,2873056.0,100721033,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2017-12-05,12/06/2017,1.0,1323,W,MORSE,AVE,"***DIRECT DEVELOPER SERVICES*** NEW EIGHT (8) STORY RESIDENTIAL BUILIDING WITH 50 DWELLING UNITS AND 73 PARKING SPACES AS PER PLANS,23 OF THE PARKING SPACES WILL BE NON-ACCESSORY (PUBLIC PARKING) AND 50 SPACES WILL SERVE THE DWELLING UNITS",45743.94,2350.0,23788.0,71881.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71881.94,30000000.0,49.0,1323 W MORSE AVE,2017.0
19,CLARK JOHN W,ARCHITECT,2915568.0,100746234,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2018-03-19,03/22/2018,3.0,710,W,14TH,ST,"***DIRECT DEVELOPER SERVICES*** REVISION TO PERMIT NUMBER 100680853; ENCLOSE AMENITY SPACE ON 5TH FLOOR; REVISIONS TO COMMON AREAS ON FLOORS ONE, FIVE, SIX AND SEVEN; LIGHTING IN THE GARAGE ON FLOORS 1 AND 2, AND LIGHTING IN CORRIDORS ON ALL FLOORS HAS BEEN REVISED. THE MECHANICAL PLANS HAVE BEEN REVISED TO REDUCE THE QUANTITY AND LOCATIONS OF HVAC EQUIPMENT IN A NUMBER OF DWELLING UNIT TYPES ON FLOORS 2-7. WINDOWS ON THE NORTH AND EAST ELEVATIONS HAVE BEEN ADDED OR RELOCATED. THE BORROWED LITE OPENINGS IN THE TYPE 3 UNITS HAVE BEEN RECONFIGURED; ALL AS PER PLANS",2000.0,75.0,0.0,2075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2075.0,150000.0,11.0,710 W 14TH ST,2018.0
20,PIEKARZ RONALD R,ARCHITECT,3198495.0,100930928,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2021-08-03,02/23/2022,204.0,710,S,SEELEY,AVE,(DIRECT DEVELOPER SERVICES / PRE-2019 CBC)  NEW CONSTRUCTION OF A SIX (6) STORY HOTEL  (135 ROOMS) AS PER PLANS.   (REPLACING FOUNDATION PERMIT 100855284)  (CONSTRUCTION TYPE: 1C / OCCUPANCY CLASSIFICATION: A-2) CONSULTANT REVIEWER: GLOBETROTTERS ENGINEERING,45110.52,2339.0,0.0,47449.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47449.52,18800000.0,28.0,710 S SEELEY AVE,2021.0
21,BOOTH LAURENCE OGDEN,ARCHITECT,3180420.0,100917983,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2021-07-28,03/10/2022,225.0,1131,W,WINONA,ST,"DDS 2019 CBC: NEW CONSTRUCTION OF A 5-STORY RESIDENTIAL BUILDING WITH 116 DWELLING UNITS AND 8 PARKING SPACES ON THE GGROUND LEVEL (OCC GROUP R-2, S-2; CONST TYPE II-A) CONSULTANT REVIEWER: GLOBETROTTERS ENGINEERING",59502.72,2578.0,35431.0,97511.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97511.72,20000000.0,48.0,1131 W WINONA ST,2021.0
22,WALSH MARK R,ARCHITECT,2853948.0,100709349,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2018-04-06,04/06/2018,0.0,720,S,WELLS,ST,"DIRECT DEVELOPER SERVICES: BELOW GRADE CONCRETE VAULT FOR WATER FEATURE PUMP-ROOM. NEW CONCRETE RETAINING WALLS, ELEVATED WOOD WALKWAY ON WOOD PILES, DRINKING FOUNTAINS, WATER FEATURE, PLAYGROUND EQUIPMENT, 4FT HIGH METAL FENCE, GUARDRAILS & LANDSCAPING",4380.75,75.0,0.0,4455.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4455.75,12000000.0,25.0,720 S WELLS ST,2018.0
23,WALSH MARK R,ARCHITECT,2853959.0,100709354,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2018-03-23,04/11/2018,19.0,800,S,WELLS,ST,"DIRECT DEVELOPER SERVICES: 50' LONG CONCRETE RETAINING WALL, COMED TRANSFORMER PAD, GUARDRAILS, DRINKING FOUNTAINS & ASSOCIATED LANDSCAPING",3000.0,75.0,0.0,3075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3075.0,250000.0,25.0,800 S WELLS ST,2018.0
24,HAYMES DAVID A,ARCHITECT,2891195.0,100732309,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2018-02-23,03/12/2018,17.0,59,E,11TH,ST,"***DIRECT DEVELOPER SERVICES*** INTERIOR RENOVATION (REVISION TO PERMIT#100696252) TO INCLUDE RECONFIGURATION OF GROUND FLOOR LOBBY, 8TH FLOORAMENITY SPACES AND RENOVATION OF HOTEL ROOMS ON FLOORS 23-29. EXISTINGHOTEL SUITES OF 85 KEYS TO BE CONVERTED TO 146 HOTEL KEYS. TOTAL HOTELKEYS TO INCREASE FROM 281 TO 342.",34777.55,1958.0,2.0,36737.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36737.55,3000000.0,4.0,59 E 11TH ST,2018.0
25,WALSH MARK R,ARCHITECT,3127710.0,100878289,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2021-05-06,06/07/2021,32.0,234,W,POLK,ST,**DIRECT DEVELOPER SERVICES** FOUNDATIONS ONLY PERMIT FOR THE NEW CONSTRUCTION OF A HIGH RISE RESIDENTIAL BUILDING. *CONSULATANT REVIEWER: GLOBETROTTERS ENGINEERING,6480.81,75.0,0.0,6555.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6555.81,7000000.0,,234 W POLK ST,2021.0
26,DARNSTADT KATHERINE,ARCHITECT,3241539.0,100960566,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2022-05-05,05/05/2022,0.0,4411,W,CHICAGO,AVE,DDS 2019 CBC: CAISSONS ONLY (VERTICAL PENETRATION ONLY) PERMIT FOR THE NEW CONSTRUCTION OF A 3 STORY COMMUNITY CENTER WITH GYM (OCC GROUP: A-3 ; CONST TYPE: IIA) CONSULTANT REVIEWER: PRIMERA ENGINEERING (Note: MWBE Report Due Upon COO),6000.0,75.0,0.0,6075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6075.0,450000.0,37.0,4411 W CHICAGO AVE,2022.0
27,BARGMANN JAY DOUGLAS,ARCHITECT,2741391.0,100641596,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2017-02-01,02/01/2017,0.0,1200,S,INDIANA,AVE,"***DIRECT DEVELOPER SERVICES***PARTIAL SUPERSTRUCTURE TO THE UNDERSIDE OF LEVEL 4 FOR PROPOSED 76-STORY RESIDENTIAL TOWER WITH 792 DWELLING UNITS, GROUND FLOOR RETAIL AND 12 LEVELS OF PARKING.",42902.46,3560.0,0.0,46462.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46462.46,7300000.0,3.0,1200 S INDIANA AVE,2017.0
28,HIRSCH HOWARD M,ARCHITECT,2802274.0,100678630,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2017-04-03,04/03/2017,0.0,734,W,SHERIDAN,RD,***DIRECT DEVELOPER SERVICES*** NEW TEN (10) STORY 100 DWELLING UNIT RESIDENTIAL BUILDING; WITH GROUND FLOOR COMMERCIAL AND 59 PARKING SPACES; ALL AS PER PLANS,69270.42,3778.0,41316.0,114364.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114364.42,25000000.0,46.0,734 W SHERIDAN RD,2017.0
29,PLUNKARD JAMES M,ARCHITECT,2857222.0,100711273,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2017-09-13,07/03/2018,293.0,813,W,AGATITE,AVE,***DIRECT DEVELOPER SERVICES*** 813-829 W AGATITE AVE - NEW CONSTRUCTION OF EIGHT (8) THREE (3) STORY TOWNHOMES AS PER PLANS.,7434.53,2200.0,0.0,9634.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9634.53,700000.0,46.0,813 W AGATITE AVE,2017.0
30,SUBAWALLA CYRUS,ARCHITECT,2857573.0,100711521,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2017-11-02,11/02/2017,0.0,2025,N,MILWAUKEE,AVE,"***DIRECT DEVELOPER SERVICES*** Erect a 7-story, 88-unit residential mid-rise with at grade parking and 1st Floor Retail",37762.74,1999.0,8802.0,48563.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48563.74,14229000.0,1.0,2025 N MILWAUKEE AVE,2017.0
31,GIBSON GREGORY DAVID,ARCHITECT,2863060.0,100714852,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2017-12-07,12/08/2017,1.0,4346,N,HONORE,ST,"**DIRECT DEVELOPER SERVICES*** FOUNDATION ONLY FOR A PROPOSED FIVE (5) STORY 38 DWELLING UNIT, (OF WHICH 4 DWELLING UNITS WILL BE ON-SITE AFFORDABLE UNITS) RESIDENTIAL BUILDING WITH GROUND FLOOR COMMERCIAL (RESTAURANT); AS PER PLANS",2136.24,75.0,0.0,2211.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2211.24,10000000.0,47.0,4346 N HONORE ST,2017.0
32,"MILWAUKEE LEAVITT OWNER , LLC",OWNER AS ARCHITECT,2867343.0,100717427,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2017-08-28,08/28/2017,0.0,1767,N,MILWAUKEE,AVE,***DIRECT DEVELOPER SERVICES*** REVISION TO PERMIT NUMBER 100655685; ADDING ONE BLACK IRON GREASE DUCT IN A SIX STORY 94 DWELLING UNIT BUILDING WITH GROUND FLOOR RETAIL AS PER PLANS,750.0,75.0,0.0,825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825.0,149000.0,32.0,1767 N MILWAUKEE AVE,2017.0
33,KOO JAH HEE,ARCHITECT,2869514.0,100718834,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2017-11-13,03/20/2018,127.0,900,E,GRAND,AVE,"***DIRECT DEVELOPER SERVICES*** FOUNDATION SYSTEMS ONLY FOR PROPOSED 7-STORY,  223 KEY HOTEL AT NAVY PIER.",6088.5,75.0,0.0,6163.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6163.5,1442500.0,42.0,900 E GRAND AVE,2017.0
34,KERWIN THOMAS PATRICK,ARCHITECT,2871739.0,100720189,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2017-12-21,04/12/2018,112.0,939,W,WASHINGTON,BLVD,"*** DIRECT DEVELOPER SERVICES *** FOUNDATION AND FIRST FLOOR SLAB ONLY FOR PROPOSED 15-STORY WITH PENTHOUSE, 358 UNIT RESIDENTIAL BUILDING WITH ABOVE AND BELOW GRADE PARKING, AND GROUND FLOOR RETAIL SPACE.",25679.7,75.0,0.0,25754.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25754.7,4750000.0,25.0,939 W WASHINGTON BLVD,2017.0
35,HIRSCH HOWARD M,ARCHITECT,2875135.0,100722337,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2017-11-13,12/07/2017,24.0,1640,W,DIVISION,ST,***DIRECT DEVELOPER SERVICES*** REVISION TO FULL BUILDING PERMIT 100695536; LEVEL 1 LAYOUT REVISION TO RELOCATE THE RESIDENTIAL LOBBY TO THE WEST FACE OF THE BUILDING.  SIX ADDITIONAL RESIDENTIAL UNITS ADDED TO LEVEL 2. LEVEL 2 ADDITIONAL BUSINESS CENTER AMENITY SPACE AND A SMALLER COMMERCIAL SPACE. AS PER PLANS.,3735.72,75.0,0.0,3810.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3810.72,1000000.0,1.0,1640 W DIVISION ST,2017.0
36,HIRSCH HOWARD M,ARCHITECT,2875138.0,100722340,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2017-10-17,11/03/2017,17.0,1640,W,DIVISION,ST,***DIRECT DEVELOPER SERVICES*** REVISION TO FOUNDATION AND SUPERSTRUCTURE PERMIT NUMBER 100669848; LOW-RISE WALL ABUTTING EAST PROPERTY LINE HAS BEEN REVISED TO PRECAST CONCRETE WALL PANEL; PENTHOUSE AND MEP SCREEN WALL AT BUILDING'S ROOF HAS BEEN REVISED TO TERRA-COTTA COLORED CEMENT PANELS; MECHANICAL SUPPORT SPACES AT LEVEL 2 HAVE BEEN RECONFIGURED; TRASH CHUTE HAS BEEN RELOCATED TOWARD THE NORTH END OF THE CORRIDOR; ALL AS PER PLANS,3000.0,75.0,0.0,3075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3075.0,140000.0,1.0,1640 W DIVISION ST,2017.0
37,HAYMES DAVID A,ARCHITECT,2876791.0,100723349,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2018-03-02,03/14/2018,12.0,2611,N,HERMITAGE,AVE,"***DIRECT DEVELOPER SERVICES*** FULL BUILDING PERMIT FOR PROPOSED 4-STORY,  43 DWELLING UNIT APARTMENT BUILDING WITH UNDERGROUND PARKING.  FOUNDATION PERMIT # 100700635",67224.06,3551.0,0.0,70775.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70775.06,13000000.0,32.0,2611 N HERMITAGE AVE,2018.0
38,BROZ DAVID G,ARCHITECT,2877220.0,100723599,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2018-02-06,02/16/2018,10.0,754,S,WABASH,AVE,"DIRECT DEVELOPER SERVICES: CAISSON FOUNDATION AND GROUND FLOOR SLAB ONLY FOR PROPOSED 5-STORY STUDENT CENTER FOR COLUMBIA COLLEGE. FOUNDATION, GRADE BEAMS AND SLAB ON GRADE.",7352.24,910.0,0.0,8262.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8262.24,1600000.0,4.0,754 S WABASH AVE,2018.0
39,DOLINAR JOSEPH P,ARCHITECT,2880269.0,100725551,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2018-04-06,04/09/2018,3.0,110,N,WACKER,DR,"(DIRECT DEVELOPER SERVICES)  FOUNDATION & PARTIAL SUPERSTRUCTURE FOR A FIFTY-FOUR (54) STORY OFFICE BUILDING TO INCLUDE GROUND FLOOR SLAB AND BUILDING CORE TO THE 4TH FLOOR, WITH TWO (2) BASEMENTS TO INCLUDE PARKING ON LOWER LEVEL 1 AND LOWER LEVEL 2 (110 PARKING SPACES), GROUND FLOOR RETAIL AND ASSOCIATED SITE WORK AS PER PLANS.",44919.61,3684.0,0.0,48603.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48603.61,40000000.0,42.0,110 N WACKER DR,2018.0
40,ANTUNOVICH JOSEPH M,ARCHITECT,2882194.0,100726778,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,2018-06-07,06/08/2018,1.0,450,W,BELMONT,AVE,"(DIRECT DEVELOPER SERVICES)  FOUNDATION & SUPERSTRUCTURE FOR NEW CONSTRUCTION OF AN EIGHTEEN (18) STORY RESIDENTIAL APARTMENT BUILDING (80 UNITS), PARKING ON LEVELS 1-3 (48 PARKING SPACES) AND ASSOCIATED SITE WORK AS PER PLANS.",50600.16,75.0,39440.0,90115.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90115.16,1.0,44.0,450 W BELMONT AVE,2018.0
