,Project Type,Project Name,Association Name,City,Zip,County,ID
42,CONDOMINIUM,"PORTOFINO SOUTH CONDOMINIUM ASSOCIATION OF WEST PALM BEACH, INC.","PORTOFINO SOUTH CONDOMINIUM ASSOCIATION OF WEST PALM BEACH, INC.",WEST PALM BEACH,33405-2366,PALM BEACH,207816
43,CONDOMINIUM,"SEMINOLE CONDO ASSOC, INC",SEMINOLE CONDO,JUNO BEACH,33408-2372,PALM BEACH,259092
44,CONDOMINIUM,MARINA BAY COA,MARINA BAY CONDO,NORTH PALM BEACH,33408-3818,PALM BEACH,298087
46,CONDOMINIUM,CENTURY VILLAGE SOUTHAMPTON B,SOUTHAMPTON B CONDO. ASSOC. INC.,WEST PALM BEACH,33417-7812,PALM BEACH,249461
48,CONDOMINIUM,JUPITER HARBOUR CONDOMINIUM,ISLAND AT RIVE HARBOUR,JUPITER,33477-4449,PALM BEACH,237754
49,CONDOMINIUM,HAMILTON HOUSE CONDOMINIUM APARTMENTS INC.,HAMILTON HOUSE CONDOMINIUM APARTMENTS INC.,DELRAY BEACH,33483-6538,PALM BEACH,229110
50,CONDOMINIUM,EL CORTIJO,EL CORTIJO CONDOMIIUM,GULF STREAM,33483-7273,PALM BEACH,207006
51,CONDOMINIUM,"LATITUDE DELRAY BEACH CONDOMINIUM ASSOCIATION, INC.","LATITUDE DELRAY BEACH CONDOMINIUM ASSOCIATION, INC.",DELRAY BEACH,33483-8062,PALM BEACH,238030
52,CONDOMINIUM,VILLA COSTA CONDO,VILLA COSTA CONDO ASSOCIATION INC,HIGHLAND BEACH,33487-2511,PALM BEACH,210958
68,CONDOMINIUM,SEA OAKS CONDO,"SEA OAKS CONDOMINIUM ASSOCIATION, INC.",DANIA,BROWARD,BROWARD,248855
69,CONDOMINIUM,"LAUDERDALE OAKS CONDOMINIUM, XIIB, INC.","LAUDERDALE OAKS CONDOMINIUM, XIIB, INC.",LAUDERDALE LAKES,BROWARD,BROWARD,248379
74,CONDOMINIUM,CONCORD VILLAGE CONDOMINIUM IX,CONCORD VILLAGE CONDOMINIUM IX ASSN INC.,TAMARAC,FL,BROWARD,265381
75,CONDOMINIUM,STRUCTURAL INTEGRITY RESERVES STUDY REPORT,23 BISCAYNE BAY CONDOMINIUM INC.,MIAMI,FLA,MIAMI-DADE,284094
79,COOPERATIVE,SIRS,"ST. FRANCIS APTS., INC.",HOLLYWOOD,HOLLYWOOD,BROWARD,270750
81,CONDOMINIUM,KING DAVID TOWERS,KING DAVID TOWERS,MANAGEMENT OFFICE,MIAMI BEACH,MIAMI-DADE,221554
82,CONDOMINIUM,LISETTE CONDOMINIUM ASSOCIATION INC.,LISETTE CONDOMINIUM ASSOCIATION INC.,MIAMI BEACH,MIAMI BEACH,MIAMI-DADE,215431
83,CONDOMINIUM,"BELLE TOWERS CONDOMINIUM, INC","BELLE TOWERS CONDOMINIUM, INC.",,MIAMI BEACH,MIAMI-DADE,313816
88,CONDOMINIUM,"COLONY POINT 2 CONDOMINIUM ASSOCIATION, INC.","COLONY POINT 2 CONDOMINIUM ASSOCIATION, INC.",PEMBROKE PINES,PEMBROKE PINES,BROWARD,322204
91,CONDOMINIUM,LA PERLA CONDOMINIUM,LA PERLA CONDOMINIUM ASSOCIATION,MANAGEMENT,SUNNY ISLES BEACH,MIAMI-DADE,250141
92,CONDOMINIUM,OCEANIA IV CONDOMINIUM,OCEANIA IV CONDOMINIUM,MANAGEMENT OFFICE,SUNNY ISLES BEACH,MIAMI-DADE,277282
93,CONDOMINIUM,SUNRISE LAKES CONDO NO. 189,SUNRISE LAKES CONDO PH 4 INC 3,SUNRISE,SUNRISE,BROWARD,240627
94,CONDOMINIUM,SIRS,"SOUTHAMPTON CONDOMINIUM J ASSOCIATION, INC.",7680 N NOB HILL RD,TAMARAC,BROWARD,228051
95,CONDOMINIUM,GRANVILLE CONDO A,GRANVILLE CONDO A,SAME AS ABOVE,TAMARAC,BROWARD,212789
99,CONDOMINIUM,NEW WAVE CONDO,"NEW WAVE CONDOMINIUM ASSOCIATION, INC.",MIAMI,3137,MIAMI-DADE,198822
102,CONDOMINIUM,THE PONCE DE LEON CONDO ASSN,THE PONCE DE LEON CONDO ASSN,CORAL GABLES,3334,MIAMI-DADE,280685
1351,CONDOMINIUM,MEADOWBROOK LAKES  #6,MEADOWBROOK LAKES CONDO  APARTMENTS BLDG 6 INC.,DANIA,33004,BROWARD,263514
1352,CONDOMINIUM,MEADOWBROOK LAKES 12,MEADOWBROOK LAKES CONDO 12 ASSN INC,DANIA,33004,BROWARD,236385
1353,CONDOMINIUM,MEADOWBROOK LAKES CONDO APTS BLDG. 16,MEADOWBROOK LAKES BLDG. 16 CONDO ASN INC,DANIA,33004,BROWARD,239893
1354,CONDOMINIUM,SIRS REPORT,"MEADOWBROOK LAKES CONDOMINIUM APARTMENTS BUILDING 12, INC.",DANIA,33004,BROWARD,253135
1355,CONDOMINIUM,"DANIA CHATEAU DE VILLE C.A., INC. SIRS COMPONENTS",DANIA CHATEAU DE VILLE,DANIA BEACH,33004,BROWARD,313416
1356,CONDOMINIUM,MEADOWBROOK LAKES,MEADOWBROOK LAKES CONDO APTS BLDG 1,DANIA BEACH,33004,BROWARD,264574
1357,CONDOMINIUM,MEADOWBROOK LAKES BUILDING 11,MEADOWBROOK LAKES BUILDING 11,DANIA BEACH,33004,BROWARD,208958
1358,CONDOMINIUM,MEADOWBROOK LAKES CONDO #4,MEADOWBROOK LAKES CONDO APT BLDG. 4 INC.,DANIA BEACH,33004,BROWARD,284806
1359,CONDOMINIUM,MEADOWBROOK LAKES CONDO 11 ASSN INC,MEADOWBROOK LAKES BUILDING 11,DANIA BEACH,33004,BROWARD,208979
1360,CONDOMINIUM,MEADOWBROOK LAKES CONDO 18 ASSN INC,MEADOWBROOK LAKES CONDO 18 ASSN INC,DANIA BEACH,33004,BROWARD,263165
1361,CONDOMINIUM,MEADOWBROOK LAKES CONDO APTS BLDG 16,MEADOWBROOK LAKES CONDOMINIUM APARTMENTS BUILDING #16,DANIA BEACH,33004,BROWARD,201699
1362,CONDOMINIUM,MEADOWBROOK LAKES CONDOMINIUM APARTMENTS BUILDING #5 INC,MEADOWBROOK LAKES CONDO 5,DANIA BEACH,33004,BROWARD,253506
1363,CONDOMINIUM,"MEADOWBROOK LAKES CONDOMINIUM APARTMENTS BUILDING #7, INC.","MEADOWBROOK LAKES CONDOMINIUM APARTMENTS BUILDING #7, INC.",DANIA BEACH,33004,BROWARD,235799
1364,CONDOMINIUM,MEADOWBROOK LAKES CONDOMINIUM PHASE II - BUILDING 9,"MEADOWBROOK LAKES CONDOMINIUM APARTMENTS BUILDING 9, INC.",DANIA BEACH,33004,BROWARD,239145
1365,CONDOMINIUM,"MEADOWBROOK LAKES, BUILDING 18 DANIA BEACH, FL",MEADOWBROOK LAKES CONDO 18 ASSN INC,DANIA BEACH,33004,BROWARD,209044
1366,CONDOMINIUM,PALM VILLAGE CLUB CONDO,PALM VILLAGE CLUB CONDOMINIUM ASSOCIATION INC,DANIA BEACH,33004,BROWARD,261499
1367,CONDOMINIUM,PR1S002872,MEADOWBROOK LAKES CONDOMINIUM APTS BLDG 10,DANIA BEACH,33004,BROWARD,212871
1368,CONDOMINIUM,SHERIDAN BEACH CLUB CONDO NUMBER TWO,SHERIDAN BEACH CLUB CONDO ASSN NUMBER TWO INC,DANIA BEACH,33004,BROWARD,269267
1369,CONDOMINIUM,SHERIDAN EAST CONDOMINIUM ASSOCIATIONQ,SHERIDAN EAST CONDOMINIUM  ASSOCIATION,DANIA BEACH,33004,BROWARD,234484
1370,CONDOMINIUM,SIRS STRUCTURAL INTEGRITY RESERVE STUDY,MEADOWBROOK LAKES CONDOMINIUM 3 INC,DANIA BEACH,33004,BROWARD,247935
1371,CONDOMINIUM,STRUCTURAL INTEGRITY RESERVE STUDY,"MEADOWBROOK LAKES CONDOS/APTS BLDG 2 INC. 202 SE 10TH STREET DANIA BEACH , FL 33004",DANIA BEACH,33004,BROWARD,259844
1372,COOPERATIVE,COASTAL VII APARTMENTS INC,COASTAL VII APARTMENTS INC,HALLANDALE,33009,BROWARD,307370
1373,COOPERATIVE,PARADISE HARBOUR APTS. INC,PARADISE HARBOUR APT. INC,HALLANDALE,33009,BROWARD,299869
1374,CONDOMINIUM,"APRIL MIST ASSOCIATION, INC. A CONDOMINIUM ASSOCIATION","APRIL MIST ASSOCIATION, INC. A CONDOMINIUM ASSOCIATION",HALLANDALE,33009,BROWARD,232024
1375,CONDOMINIUM,ELDORADO COUNTRY CLUB TOWERS NORTH ASOCIATION,ELDORADO COUNTRY CLUB TOWERS NORTH ASOCIATION,HALLANDALE,33009,BROWARD,320457
1376,CONDOMINIUM,ELDORADO COUNTRY CLUB TOWERS NORTH ASSOCIATION,ELDORADO COUNTRY CLUB TOWERS NORTH ASOCIATION,HALLANDALE,33009,BROWARD,314272
1377,CONDOMINIUM,IMPERIAL TOWERS NORTH SIRS,IMPERIAL TOWERS NORTH SIRS,HALLANDALE,33009,BROWARD,250129
1378,CONDOMINIUM,"MEADOWBROOK CONDOMINIUM APARTMENTS BUILDING # 4, INC.",MEADOWBROOK CONDO #4,HALLANDALE,33009,BROWARD,255643
1379,CONDOMINIUM,MEADOWBROOK TOWERS CONDO F,MEADOWBROOK TOWERS CONDO F,HALLANDALE,33009,BROWARD,232812
1380,CONDOMINIUM,PRINCE GEORGE CONDO,PRINCE GEORGE CONDO,HALLANDALE,33009,BROWARD,240857
1381,CONDOMINIUM,SEA EDGE CONDOMINIUM,SEA EDGE CONDOMINIUM,HALLANDALE,33009,BROWARD,246036
1382,CONDOMINIUM,SIRS REPORT,ATLANTIC SHORES CONDO,HALLANDALE,33009,BROWARD,289642
1383,CONDOMINIUM,TOWERS OF OCEANVIEW POINT,200 LESLIE CONDOMINIUM ASSOCIATION INC,HALLANDALE,33009,BROWARD,276543
1384,COOPERATIVE,GOLDEN BAY MANOR INC.,GOLDEN BAY MANOR INC.,HALLANDALE BEACH,33009,BROWARD,258703
1385,COOPERATIVE,GOLDEN BAY TOWERS INC. COOPERATIVE PROJECT,"GOLDEN BAY TOWERS, INC.",HALLANDALE BEACH,33009,BROWARD,302871
1386,COOPERATIVE,PARADISE TOWERS,"PARADISE TOWERS, INC",HALLANDALE BEACH,33009,BROWARD,217944
1387,COOPERATIVE,RESERVE STUDY,"TAROMINA APARTMENTS, INCORPORATED",HALLANDALE BEACH,33009,BROWARD,221618
1388,CONDOMINIUM,2000 OCEAN CONDO,2000 OCEAN CONDO,HALLANDALE BEACH,33009,BROWARD,209471
1389,CONDOMINIUM,"2080 OCEAN DRIVE, A CONDO","2080 OCEAN DRIVE CONDO ASSN, INC",HALLANDALE BEACH,33009,BROWARD,240631
1390,CONDOMINIUM,"2080 OCEAN DRIVE, A CONDO","2080 OCEAN DRIVE CONDOMINIUM ASSOCIATION, INC.",HALLANDALE BEACH,33009,BROWARD,262018
1391,CONDOMINIUM,"2300 DIANA, A CONDO","2300 DIANA CONDOMINIUM ASSOCIATION, INC.",HALLANDALE BEACH,33009,BROWARD,248624
1392,CONDOMINIUM,BEACH CLUB TOWER ONE CONDOMINIUM,"THE BEACH CLUB OF HALLANDALE CONDOMINIUM ASSOCIATION, INC.",HALLANDALE BEACH,33009,BROWARD,218856
1393,CONDOMINIUM,"BEACH CLUB TWO OF HALLANDALE CONDO ASSOC, INC","BEACH CLUB TWO OF HALLANDALE CONDO ASSOC, INC",HALLANDALE BEACH,33009,BROWARD,244169
1394,CONDOMINIUM,BEACHWALK CONDO,BEACHWALK (AT HALLANDALE) CONDO ASSN INC,HALLANDALE BEACH,33009,BROWARD,225368
1395,CONDOMINIUM,CAPTAINS PARADISE CONDO INC,CAPTAINS PARADISE CONDO INC,HALLANDALE BEACH,33009,BROWARD,260256
1396,CONDOMINIUM,CLIFTON CONDOMINIUM ASSOCIATION INC,CLIFTON CONDOMINIUM ASSOCIATION INC,HALLANDALE BEACH,33009,BROWARD,267923
1397,CONDOMINIUM,CONDOMINIUM ASSOCIATION OF LA MER ESTATES,CONDOMINIUM ASSOCIATION OF LA MER ESTATES,HALLANDALE BEACH,33009,BROWARD,231838
1398,CONDOMINIUM,ELDORADO PLAZA EAST,"ELDORADO PLAZA EAST CONDOMINIUM ASSOCIATION, INC",HALLANDALE BEACH,33009,BROWARD,248867
1400,CONDOMINIUM,FAIRWAYS RIVIERA NORTH ASSN INC,FAIRWAYS RIVIERA NORTH ASSN INC,HALLANDALE BEACH,33009,BROWARD,238891
1401,CONDOMINIUM,FAIRWAYS ROYALE,"FAIRWAYS ROYALE ASSOCIATION, INC",HALLANDALE BEACH,33009,BROWARD,249289
1402,CONDOMINIUM,GOLDEN HORN CONDOMINIUM,GOLDEN HORN CONDOMINIUM,HALLANDALE BEACH,33009,BROWARD,234200
1403,CONDOMINIUM,GOLDEN ISLES LAKES CONDO,GOLDEN ISLES LAKES CONDOMINIUM ASSN,HALLANDALE BEACH,33009,BROWARD,298151
1404,CONDOMINIUM,GOLDEN SURF TOWERS,GOLDEN SURF TOWERS,HALLANDALE BEACH,33009,BROWARD,215644
1405,CONDOMINIUM,GOLDEN SURF TOWERS,GOLDEN SURF TOWERS,HALLANDALE BEACH,33009,BROWARD,216097
1406,CONDOMINIUM,IMPERIAL TOWERS CONDOMINIUM INC,IMPERIAL TOWERS CONDO,HALLANDALE BEACH,33009,BROWARD,229676
1407,CONDOMINIUM,LAKE POINT TOWER CONDOMINIUM,LAKE POINT TOWER CONDOMINIUM,HALLANDALE BEACH,33009,MIAMI-DADE,239369
1408,CONDOMINIUM,"LINDAL APARTMENTS CONDOMINIUM ASSOCIATION, INC.","LINDAL APARTMENTS CONDOMINIUM ASSOCIATION, INC.",HALLANDALE BEACH,33009,BROWARD,291597
1409,CONDOMINIUM,MALAGA TOWERS,MALAGA TOWERS CONDOMINIUM ASSOCIATION,HALLANDALE BEACH,33009,BROWARD,287517
1410,CONDOMINIUM,MEADOWBROOK CONDO ASSN BLDG #10 INC.,MEADOWBROOK CONDO ASSN BLDG #10 INC.,HALLANDALE BEACH,33009,BROWARD,251375
1411,CONDOMINIUM,MEADOWBROOK TOWERS CONDO D INC,"MEADOWBROOK TOWERS ""D"" CONDO ASSOCIATION",HALLANDALE BEACH,33009,BROWARD,292037
1412,CONDOMINIUM,MEADOWBROOK TOWERS CONDO L INC,"MEADOWBROOK TOWERS CONDOMINIUM ""L"", INC.",HALLANDALE BEACH,33009,BROWARD,294893
1413,CONDOMINIUM,MEADOWBROOK TOWERS CONDO. BLDG. J,MEADOWBROOK TOWERS CONDO. BLDG. J,HALLANDALE BEACH,33009,BROWARD,268751
1414,CONDOMINIUM,MEADOWBROOK TOWERS G,MEADOWBROOK TOWERS G,HALLANDALE BEACH,33009,BROWARD,233146
1415,CONDOMINIUM,MOFFETT PLACE CONDO,MOFFETT PLACE CONDO,HALLANDALE BEACH,33009,BROWARD,266155
1416,CONDOMINIUM,,GOLDEN ISLES YACHT CLUB,HALLANDALE BEACH,33009,BROWARD,217851
1417,CONDOMINIUM,OCEAN MARINE YACHT CLUB,OCEAN MARINE YACHT CLUB,HALLANDALE BEACH,33009,BROWARD,238254
1419,CONDOMINIUM,ONE-TWENTY-ONE GOLDEN CONDO,"ONE TWENTY ONE GOLDEN CONDO ASSOC., INC.",HALLANDALE BEACH,33009,BROWARD,269272
1420,CONDOMINIUM,PARK LAYNE TOWERS OWNERS ASSOCIATION INC.,PARK LAYNE TOWERS OWNERS ASSOCIATION INC.,HALLANDALE BEACH,33009,BROWARD,254307
1421,CONDOMINIUM,PARKER DORADO CONDOMINIUM ASSOCIATION,PARKER DORADO CONDOMINIUM ASSOCIATION,HALLANDALE BEACH,33009,BROWARD,304809
1422,CONDOMINIUM,SIRS PROJECT,MEADOWBROOK CONDOMINIUM APT. BUILDING #2,HALLANDALE BEACH,33009,BROWARD,293661
1423,CONDOMINIUM,SIRS-APRIL SONG CONDO,APRIL SONG CONDO ASSOC.,HALLANDALE BEACH,33009,BROWARD,249064
1424,CONDOMINIUM,SIRS-MEADOWBROOK CONDO BLD. 7,MEADOWBROOK CONDO #7,HALLANDALE BEACH,33009,BROWARD,239990
1425,CONDOMINIUM,STRUCTURAL INTEGRITY RESERVE STUDY,AVANT GARDE CONDOMINIUM ASSOCIATION,HALLANDALE BEACH,33009,BROWARD,244565
1426,CONDOMINIUM,STRUCTURAL INTEGRITY RESERVE STUDY,THE HEMISPHERES CONDOMINIUM ASSOCIATION INC.,HALLANDALE BEACH,33009,BROWARD,220162
1427,CONDOMINIUM,STRUCTURAL INTEGRITY RESERVE STUDY(SIRS),"ANCHOR BAY CLUB CONDOMINIUM ASSOCIATION, INC.",HALLANDALE BEACH,33009,BROWARD,291551
1428,CONDOMINIUM,TAROMINA APTS,TAROMINA APTS INC,HALLANDALE BEACH,33009,BROWARD,236448
1429,CONDOMINIUM,"THE ISLANDS-BERMUDA ASSOCIATION, INC","THE ISLANDS-BERMUDA ASSOCIATION, INC",HALLANDALE BEACH,33009,BROWARD,248808
1430,CONDOMINIUM,"THE ISLANDS-BERMUDA ASSOCIATION, INC.","THE ISLANDS-BERMUDA ASSOCIATION, INC.",HALLANDALE BEACH,33009,BROWARD,248611
1431,CONDOMINIUM,TOWERS OF OCEANVIEW SOUTH,TOWERS OF OCEANVIEW SOUTH,HALLANDALE BEACH,33009,BROWARD,253079
1432,CONDOMINIUM,"WOODLAKE APARTMENTS CONDOMINIUM ASSOCIATION, INC.","WOODLAKE APARTMENTS CONDOMINIUM ASSOCIATION, INC.",HALLANDALE BEACH,33009,BROWARD,240770
1433,CONDOMINIUM,SIRS MEADOWBROOK TOWERS CONDO B,MEADOWBROOK TOWERS CONDO 'B',HALLANDALE BREACH,33009,BROWARD,239561
1434,CONDOMINIUM,SIRS-MEADOWBROOK CONDO ASSN BLDG 2,MEADOWBROOK CONDO ASSN BLDG #2,HALLANDALE BREACH,33009,BROWARD,245645
1435,CONDOMINIUM,SIRS-MEADOWBROOK CONDO- BLDG 1,MEADOWBROOK CONDO ASSN BLDG 1,HALLANDALE BREACH,33009,BROWARD,250921
1436,CONDOMINIUM,SIRS-MEADOWBROOK TOWER CONDO G,MEADOWBROOK TOWERS CONDO G,HALLANDALE BREACH,33009,BROWARD,239506
1437,CONDOMINIUM,SIRS-MEADOWBROOK TOWERS CONDO 'F',MEADOWBROOK TOWERS CONDO 'F',HALLANDALE BREACH,33009,BROWARD,239531
1438,CONDOMINIUM,SIRS-MEADOWBROOK TOWERS CONDO A,MEADOWBROOK TOWERS CONDO A,HALLANDALE BREACH,33009,BROWARD,239644
1439,CONDOMINIUM,SIRS-MEADOWBROOK TOWERS CONDO C,MEADOWBROOK TOWERS CONDO C,HALLANDALE BREACH,33009,BROWARD,239733
1440,CONDOMINIUM,SPANISH VILLAS CONDOMINIUM ASSOCIATION INC.,SPANISH VILLAS CONDOMINIUM ASSOCIATION NC.,HIALEAH,33010,MIAMI-DADE,265143
1441,CONDOMINIUM,CASA BELLA CONDO OF HIALEAH,CASA BELLA CONDO OF HIALEAH,HIALEAH,33012,MIAMI-DADE,239910
1442,CONDOMINIUM,CASA REAL CONDOMINIUM ASSOCIATION,CASA REAL CONDOMINIUM,HIALEAH,33012,MIAMI-DADE,246054
1443,CONDOMINIUM,"MORADA NUMBER ONE A CONDOMINIUM ASSOCIATION, INC.","MORADA NUMBER ONE A CONDOMINIUM ASSOCIATION, INC.",HIALEAH,33012,MIAMI-DADE,291281
1444,CONDOMINIUM,PALMA REAL TOWNHOMES CONDOMINIUM,PALMA REAL TOWNHOMES CONDOMINIUM,HIALEAH,33012,MIAMI-DADE,239921
1445,CONDOMINIUM,"THE IMPERIAL TERRACES CONDOMINIUM ASSOCIATION, INC.","THE IMPERIAL TERRACES CONDOMINIUM ASSOCIATION, INC.",HIALEAH,33012,MIAMI-DADE,266271
1446,CONDOMINIUM,THE MILE APARTMENTS CONDOMINIUM,MILE APARTMENTS CONDOMINIUM ASSOCIATION,HIALEAH,33012,MIAMI-DADE,300673
1447,CONDOMINIUM,TIERRA DEL SOL,"TIERRA DEL SOL CONDO ASSN., INC",HIALEAH,33012,MIAMI-DADE,302489
1448,CONDOMINIUM,TIERRA WEST CONDO,TIERRA WEST CONDO ASSOC. INC.,HIALEAH,33012,MIAMI-DADE,264672
1449,CONDOMINIUM,"TREASURY CONDO. ASSN. INC,THE","TREASURY CONDO. ASSN. INC,THE",HIALEAH,33012,MIAMI-DADE,215825
1450,CONDOMINIUM,"VERSAILLES PLAZA CONDOMINIUM ASSOCIATION, INC.","VERSAILLES PLAZA CONDOMINIUM ASSOCIATION, INC.",HIALEAH,33012,MIAMI-DADE,255050
1451,CONDOMINIUM,WESTLAN-EDEN CONDO II,WESTLAN-EDEN CONDO II,HIALEAH,33012,MIAMI-DADE,240873
1452,CONDOMINIUM,WESTLAND COURTS CONDO,NEIGHBORHOOD PROPERTY MANAGEMENT,HIALEAH,33012,MIAMI-DADE,235854
1453,CONDOMINIUM,WESTLAND GARDEN E. CONDO,WESTLAND GARDEN EAST CONDOMINIUM,HIALEAH,33012,MIAMI-DADE,239875
1454,CONDOMINIUM,THE MILE APARTMENTS CONDOMINIUM,MILE APARTMENTS CONDO ASSOCIATION,MIAMI,33012,MIAMI-DADE,235439
1455,CONDOMINIUM,1325 W 68 ST KC,"KING'S COVE CONDOMINIUM ASSOCIATION, INC.",HIALEAH,33014,MIAMI-DADE,274528
1456,CONDOMINIUM,1335 W 68 ST,KING COVE CONDOMINIUM ASSOCIATION INC,HIALEAH,33014,MIAMI-DADE,274531
1458,CONDOMINIUM,STRUCTURAL INTEGRITY RESERVES STUDY REPORT,BELLA VENEZIA CONDOMINIUM ASSOCIATION.COM,HIALEAH,33014,MIAMI-DADE,232006
1459,CONDOMINIUM,EAGLE NEST CONDOMINIUM,EAGLE NEST CONDO,MIAMI LAKES,33014,MIAMI-DADE,235449
1462,CONDOMINIUM,"CORAL GATE WEST CONDOMINIUM ASSOCIATION, INC.","CORAL GATE WEST CONDOMINIUM ASSOCIATION, INC.",HIALEAH,33015,MIAMI-DADE,286403
1463,CONDOMINIUM,COUNTRY LANE CONDOMINIUM NO. 1,COUNTRY LANE CONDOMINIUM NO. 1,HIALEAH,33015,MIAMI-DADE,259211
1464,CONDOMINIUM,LAS BRISAS AT COUNTRY CLUB,LAS BRISAS AT COUNTRY CLUB,HIALEAH,33015,MIAMI-DADE,245089
1466,CONDOMINIUM,"LUDLUM LAKE ASSOCIATION, INC.","LUDLUM LAKE ASSOCIATION, INC.",HIALEAH,33015,MIAMI-DADE,250197
1467,CONDOMINIUM,SIRS,SAN MARCO VILLAS OF MIAMI CONDOMINIUM,HIALEAH,33015,MIAMI-DADE,249599
1468,CONDOMINIUM,VILLA BELLINI CONDO SIRS,VILLA BELLINI CONDO,HIALEAH,33015,MIAMI-DADE,235126
1469,CONDOMINIUM,VILLA RUSTICA I CONDO,VILLA RUSTICA I CONDOMINIUM ASSOCIATION,HIALEAH,33015,MIAMI-DADE,232156
1470,CONDOMINIUM,VILLAS OF MIAMI LAKES CONDOMINIUM,"VILLAS OF MIAMI LAKES, A CONDO",MIAMI LAKES,33015,MIAMI-DADE,309011
1471,CONDOMINIUM,ALAMEDA TOWER 6 CONDO ASSN INC.,ALAMEDA TOWER 6 CONDOMINIUM,HIALEAH,33016,MIAMI-DADE,234117
1472,CONDOMINIUM,SIRS REPORT ALAMEDA TOWER 1 CONDOMINIUM,ALAMEDA TOWER 1 CONDOMINIUM ASSOCIATION,HIALEAH,33016,MIAMI-DADE,239962
1473,CONDOMINIUM,WESTLAND EDEN 1 SIRS REPORT,WESTLAND EDEN 1 CONDOMINIUM ASSOCIATION INC,HIALEAH,33016,MIAMI-DADE,239966
1474,CONDOMINIUM,SIRS INSPECTION,PALM SPRINGS GARDEN #4,HIALEAH GARDENS,33016,MIAMI-DADE,277582
