borough,neighborhood_name,Classification,property_group,year_quarter,deal_volume,avg_price,median_price,# of Deals
Brooklyn,Bedford-Stuyvesant,Residential,Multi-Family Dwelling,20/Q1,"$7,631,994","$1,526,399","$1,240,000",5
Brooklyn,Bensonhurst,Residential,Condo,20/Q1,"$1,349,800","$674,900","$674,900",2
Brooklyn,Bensonhurst,Residential,Multi-Family Dwelling,20/Q1,"$5,888,000","$1,177,600","$1,200,000",5
Brooklyn,Bensonhurst,Residential,Single-Family Home,20/Q1,"$2,908,000","$969,333","$978,000",3
Brooklyn,Bergen Beach,Residential,Condo,20/Q1,"$520,000","$520,000","$520,000",1
Brooklyn,Bergen Beach,Residential,Single-Family Home,20/Q1,"$3,034,500","$758,625","$751,000",4
Brooklyn,Boerum Hill,Residential,Condo,20/Q1,"$6,092,500","$2,030,833","$2,000,000",3
Brooklyn,Borough Park,Residential,Condo,20/Q1,"$2,395,500","$798,500","$715,000",3
Brooklyn,Borough Park,Residential,Multi-Family Dwelling,20/Q1,"$5,123,500","$1,280,875","$1,471,500",4
Brooklyn,Brighton Beach,Residential,Condo,20/Q1,"$1,315,000","$657,500","$657,500",2
Brooklyn,Brighton Beach,Residential,Co-op,20/Q1,"$435,000","$435,000","$435,000",1
Brooklyn,Brighton Beach,Residential,Single-Family Home,20/Q1,"$437,500","$437,500","$437,500",1
Brooklyn,Brooklyn Heights,Residential,Condo,20/Q1,"$13,864,555","$3,466,139","$2,457,278",4
Brooklyn,Brooklyn Heights,Residential,Co-op,20/Q1,"$417,000","$417,000","$417,000",1
Brooklyn,Brooklyn Heights,Residential,Multi-Family Dwelling,20/Q1,"$4,500,000","$4,500,000","$4,500,000",1
Brooklyn,Brownsville,Residential,Multi-Family Dwelling,20/Q1,"$2,497,000","$832,333","$842,000",3
Brooklyn,Brownsville,Residential,Single-Family Home,20/Q1,"$535,000","$535,000","$535,000",1
Brooklyn,Bushwick,Residential,Condo,20/Q1,"$4,137,193","$689,532","$662,929",6
Brooklyn,Bushwick,Residential,Multi-Family Dwelling,20/Q1,"$3,499,000","$1,166,333","$999,000",3
Brooklyn,Canarsie,Residential,Condo,20/Q1,"$595,750","$297,875","$297,875",2
Brooklyn,Canarsie,Residential,Multi-Family Dwelling,20/Q1,"$7,931,627","$721,057","$740,000",11
Brooklyn,Canarsie,Residential,Single-Family Home,20/Q1,"$1,200,000","$600,000","$600,000",2
Brooklyn,Carroll Gardens,Residential,Condo,20/Q1,"$4,542,525","$1,514,175","$1,781,938",3
Brooklyn,Carroll Gardens,Residential,Co-op,20/Q1,"$999,000","$999,000","$999,000",1
Brooklyn,Carroll Gardens,Residential,Multi-Family Dwelling,20/Q1,"$3,460,000","$1,730,000","$1,730,000",2
Brooklyn,Clinton Hill,Residential,Condo,20/Q1,"$3,260,000","$1,086,667","$900,000",3
Brooklyn,Clinton Hill,Residential,Co-op,20/Q1,"$2,587,000","$646,750","$643,500",4
Brooklyn,Cobble Hill,Residential,Condo,20/Q1,"$1,375,000","$1,375,000","$1,375,000",1
Brooklyn,Cobble Hill,Residential,Single-Family Home,20/Q1,"$12,019,396","$6,009,698","$6,009,698",2
Brooklyn,Coney Island,Residential,Condo,20/Q1,"$482,000","$482,000","$482,000",1
Brooklyn,Coney Island,Residential,Co-op,20/Q1,"$1,160,000","$386,667","$390,000",3
Brooklyn,Coney Island,Residential,Single-Family Home,20/Q1,"$530,000","$530,000","$530,000",1
Brooklyn,Crown Heights,Residential,Condo,20/Q1,"$4,680,214","$1,560,071","$1,400,094",3
Brooklyn,Crown Heights,Residential,Co-op,20/Q1,"$776,000","$776,000","$776,000",1
Brooklyn,Crown Heights,Residential,Single-Family Home,20/Q1,"$2,375,000","$2,375,000","$2,375,000",1
Brooklyn,Ditmars Park,Residential,Co-op,20/Q1,"$955,000","$477,500","$477,500",2
Brooklyn,Ditmars Park,Residential,Single-Family Home,20/Q1,"$1,375,000","$1,375,000","$1,375,000",1
Brooklyn,Downtown Brooklyn,Residential,Condo,20/Q1,"$6,253,440","$893,349","$825,000",7
Brooklyn,DUMBO,Residential,Condo,20/Q1,"$3,750,000","$3,750,000","$3,750,000",1
Brooklyn,Dyker Heights,Residential,Multi-Family Dwelling,20/Q1,"$9,441,888","$1,348,841","$1,140,000",7
Brooklyn,Dyker Heights,Residential,Single-Family Home,20/Q1,"$5,369,000","$894,833","$900,000",6
Brooklyn,East New York,Residential,Multi-Family Dwelling,20/Q1,"$12,903,793","$614,466","$636,218",21
Brooklyn,East New York,Residential,Single-Family Home,20/Q1,"$2,122,000","$707,333","$699,000",3
Brooklyn,East Williamsburg,Residential,Condo,20/Q1,"$14,460,468","$1,112,344","$1,030,000",13
Brooklyn,East Williamsburg,Residential,Multi-Family Dwelling,20/Q1,"$5,150,000","$2,575,000","$2,575,000",2
Brooklyn,East Williamsburg-Bushwick,Residential,Condo,20/Q1,"$960,000","$960,000","$960,000",1
Brooklyn,Flatbush,Residential,Condo,20/Q1,"$745,000","$745,000","$745,000",1
Brooklyn,Flatbush,Residential,Multi-Family Dwelling,20/Q1,"$3,414,000","$853,500","$997,000",4
Brooklyn,Flatbush,Residential,Single-Family Home,20/Q1,"$415,000","$415,000","$415,000",1
Brooklyn,Flatlands,Residential,Co-op,20/Q1,"$180,000","$180,000","$180,000",1
Brooklyn,Flatlands,Residential,Multi-Family Dwelling,20/Q1,"$2,037,000","$679,000","$640,000",3
Brooklyn,Flatlands,Residential,Single-Family Home,20/Q1,"$2,445,880","$611,470","$655,000",4
Brooklyn,Fort Greene,Residential,Condo,20/Q1,"$2,290,000","$1,145,000","$1,145,000",2
Brooklyn,Gowanus,Residential,Condo,20/Q1,"$5,375,000","$767,857","$755,000",7
Brooklyn,Gravesend,Residential,Condo,20/Q1,"$551,382","$551,382","$551,382",1
Brooklyn,Gravesend,Residential,Co-op,20/Q1,"$610,000","$305,000","$305,000",2
Brooklyn,Gravesend,Residential,Multi-Family Dwelling,20/Q1,"$8,371,174","$1,046,397","$989,998",8
Brooklyn,Gravesend,Residential,Single-Family Home,20/Q1,"$1,100,000","$1,100,000","$1,100,000",1
Brooklyn,Greenpoint,Residential,Condo,20/Q1,"$3,901,500","$975,375","$941,250",4
Brooklyn,Greenwood,Residential,Condo,20/Q1,"$2,252,665","$750,888","$790,000",3
Brooklyn,Homecrest,Residential,Condo,20/Q1,"$2,151,776","$717,259","$585,000",3
Brooklyn,Homecrest,Residential,Co-op,20/Q1,"$649,300","$216,433","$167,800",3
Brooklyn,Homecrest,Residential,Multi-Family Dwelling,20/Q1,"$4,225,500","$845,100","$850,500",5
Brooklyn,Homecrest,Residential,Single-Family Home,20/Q1,"$2,945,000","$736,250","$752,500",4
Brooklyn,Kensington,Residential,Co-op,20/Q1,"$1,171,365","$390,455","$423,365",3
Brooklyn,Kensington,Residential,Multi-Family Dwelling,20/Q1,"$995,000","$995,000","$995,000",1
Brooklyn,Madison,Residential,Co-op,20/Q1,"$250,000","$250,000","$250,000",1
Brooklyn,Madison,Residential,Multi-Family Dwelling,20/Q1,"$900,000","$900,000","$900,000",1
Brooklyn,Manhattan Beach,Residential,Multi-Family Dwelling,20/Q1,"$2,190,000","$2,190,000","$2,190,000",1
Brooklyn,Manhattan Beach,Residential,Single-Family Home,20/Q1,"$1,460,000","$1,460,000","$1,460,000",1
Brooklyn,Mapleton,Residential,Single-Family Home,20/Q1,"$1,104,500","$1,104,500","$1,104,500",1
Brooklyn,Marine Park,Residential,Single-Family Home,20/Q1,"$2,360,000","$590,000","$625,000",4
Brooklyn,Midwood,Residential,Condo,20/Q1,"$1,450,000","$725,000","$725,000",2
Brooklyn,Midwood,Residential,Co-op,20/Q1,"$478,000","$239,000","$239,000",2
Brooklyn,Midwood,Residential,Multi-Family Dwelling,20/Q1,"$1,065,000","$1,065,000","$1,065,000",1
Brooklyn,Midwood,Residential,Single-Family Home,20/Q1,"$4,144,000","$1,036,000","$999,500",4
Brooklyn,Mill Basin,Residential,Multi-Family Dwelling,20/Q1,"$880,000","$880,000","$880,000",1
Brooklyn,Northeast Flatbush,Residential,Co-op,20/Q1,"$905,500","$226,375","$219,500",4
Brooklyn,Northeast Flatbush,Residential,Multi-Family Dwelling,20/Q1,"$5,636,000","$805,143","$790,000",7
Brooklyn,Northeast Flatbush,Residential,Single-Family Home,20/Q1,"$4,268,469","$533,559","$589,235",8
Brooklyn,North Williamsburg,Residential,Condo,20/Q1,"$8,278,408","$1,379,735","$1,252,535",6
Brooklyn,Ocean Hill,Residential,Multi-Family Dwelling,20/Q1,"$3,882,000","$970,500","$1,028,500",4
Brooklyn,Ocean Parkway,Residential,Condo,20/Q1,"$455,000","$455,000","$455,000",1
Brooklyn,Ocean Parkway,Residential,Co-op,20/Q1,"$282,000","$282,000","$282,000",1
Brooklyn,Ocean Parkway,Residential,Single-Family Home,20/Q1,"$5,345,000","$5,345,000","$5,345,000",1
Brooklyn,Old Mill Basin,Residential,Multi-Family Dwelling,20/Q1,"$975,000","$975,000","$975,000",1
Brooklyn,Park Slope,Residential,Condo,20/Q1,"$7,965,881","$1,593,176","$1,649,000",5
Brooklyn,Park Slope,Residential,Co-op,20/Q1,"$3,323,092","$830,773","$710,000",4
Brooklyn,Park Slope,Residential,Multi-Family Dwelling,20/Q1,"$6,640,000","$1,660,000","$1,837,500",4
Brooklyn,Prospect Heights,Residential,Condo,20/Q1,"$5,625,000","$1,875,000","$1,425,000",3
Brooklyn,Prospect Heights,Residential,Co-op,20/Q1,"$2,140,000","$713,333","$830,000",3
Brooklyn,Prospect Lefferts Ga,Residential,Condo,20/Q1,"$1,135,000","$567,500","$567,500",2
Brooklyn,Prospect Lefferts Ga,Residential,Single-Family Home,20/Q1,"$1,538,500","$1,538,500","$1,538,500",1
Brooklyn,Prospect Park South,Residential,Condo,20/Q1,"$825,000","$825,000","$825,000",1
Brooklyn,Red Hook,Residential,Condo,20/Q1,"$867,848","$867,848","$867,848",1
Brooklyn,Red Hook,Residential,Multi-Family Dwelling,20/Q1,"$1,390,000","$1,390,000","$1,390,000",1
Brooklyn,Sea Gate,Residential,Multi-Family Dwelling,20/Q1,"$975,000","$975,000","$975,000",1
Brooklyn,Sheepshead Bay,Residential,Co-op,20/Q1,"$503,000","$251,500","$251,500",2
Brooklyn,Sheepshead Bay,Residential,Multi-Family Dwelling,20/Q1,"$4,145,000","$1,036,250","$741,250",4
Brooklyn,South Williamsburg,Residential,Condo,20/Q1,"$4,350,000","$1,087,500","$1,200,000",4
Brooklyn,South Williamsburg,Residential,Co-op,20/Q1,"$1,883,000","$1,883,000","$1,883,000",1
Brooklyn,Stuyvesant Heights,Residential,Condo,20/Q1,"$890,815","$445,407","$445,407",2
Brooklyn,Stuyvesant Heights,Residential,Multi-Family Dwelling,20/Q1,"$6,932,000","$1,386,400","$1,360,000",5
Brooklyn,Stuyvesant Heights,Residential,Single-Family Home,20/Q1,"$200,000","$200,000","$200,000",1
Brooklyn,Sunset Park,Residential,Condo,20/Q1,"$1,306,000","$435,333","$448,000",3
Brooklyn,Sunset Park,Residential,Co-op,20/Q1,"$240,000","$240,000","$240,000",1
Brooklyn,Sunset Park,Residential,Multi-Family Dwelling,20/Q1,"$4,445,000","$1,481,667","$1,370,000",3
Brooklyn,,Residential,Condo,20/Q1,"$1,049,000","$524,500","$524,500",2
Brooklyn,,Residential,Co-op,20/Q1,"$1,085,000","$542,500","$542,500",2
Brooklyn,,Residential,Multi-Family Dwelling,20/Q1,"$1,450,000","$1,450,000","$1,450,000",1
Brooklyn,,Residential,Single-Family Home,20/Q1,"$288,713","$288,713","$288,713",1
Manhattan,Battery Park City,Residential,Condo,20/Q1,"$2,330,000","$1,165,000","$1,165,000",2
Manhattan,Carnegie Hill,Residential,Condo,20/Q1,"$5,600,000","$5,600,000","$5,600,000",1
Manhattan,Carnegie Hill,Residential,Co-op,20/Q1,"$6,228,000","$1,245,600","$680,000",5
Manhattan,Carnegie Hill,Residential,Single-Family Home,20/Q1,"$8,000,000","$8,000,000","$8,000,000",1
Manhattan,Central Harlem,Residential,Condo,20/Q1,"$1,633,786","$816,893","$816,893",2
Manhattan,Chelsea,Residential,Condo,20/Q1,"$9,740,319","$4,870,160","$4,870,160",2
Manhattan,Chelsea,Residential,Co-op,20/Q1,"$1,799,378","$299,896","$156,615",6
Manhattan,East Harlem,Residential,Condo,20/Q1,"$1,982,390","$660,797","$875,000",3
Manhattan,East Harlem,Residential,Co-op,20/Q1,"$1,252,500","$417,500","$417,500",3
Manhattan,East Village,Residential,Condo,20/Q1,"$3,052,800","$1,017,600","$1,080,000",3
Manhattan,East Village,Residential,Co-op,20/Q1,"$1,900,000","$950,000","$950,000",2
Manhattan,Financial District,Residential,Condo,20/Q1,"$4,855,000","$1,213,750","$1,030,000",4
Manhattan,Financial District,Residential,Co-op,20/Q1,"$2,945,875","$981,958","$999,875",3
Manhattan,Flatiron,Residential,Co-op,20/Q1,"$1,410,000","$1,410,000","$1,410,000",1
Manhattan,Garment District,Residential,Condo,20/Q1,"$570,000","$570,000","$570,000",1
Manhattan,Gramercy Park,Residential,Condo,20/Q1,"$885,000","$885,000","$885,000",1
Manhattan,Gramercy Park,Residential,Co-op,20/Q1,"$2,419,000","$604,750","$605,000",4
Manhattan,Greenwich Village,Residential,Condo,20/Q1,"$17,600,000","$8,800,000","$8,800,000",2
Manhattan,Greenwich Village,Residential,Co-op,20/Q1,"$2,745,000","$915,000","$870,000",3
Manhattan,Hamilton Heights,Residential,Condo,20/Q1,"$1,270,000","$635,000","$635,000",2
Manhattan,Hell's Kitchen,Residential,Condo,20/Q1,"$1,935,000","$967,500","$967,500",2
Manhattan,Hell's Kitchen,Residential,Co-op,20/Q1,"$1,062,500","$531,250","$531,250",2
Manhattan,Hudson Heights,Residential,Co-op,20/Q1,"$1,950,000","$1,950,000","$1,950,000",1
Manhattan,Hudson Square,Residential,Condo,20/Q1,"$8,380,000","$2,793,333","$3,100,000",3
Manhattan,Hudson Yards,Residential,Condo,20/Q1,"$1,770,000","$1,770,000","$1,770,000",1
Manhattan,Inwood,Residential,Co-op,20/Q1,"$3,907,807","$651,301","$637,500",6
Manhattan,Kips Bay,Residential,Condo,20/Q1,"$575,000","$575,000","$575,000",1
Manhattan,Kips Bay,Residential,Co-op,20/Q1,"$455,000","$455,000","$455,000",1
Manhattan,Lenox Hill,Residential,Condo,20/Q1,"$8,065,309","$2,016,327","$2,030,000",4
Manhattan,Lenox Hill,Residential,Co-op,20/Q1,"$25,766,750","$1,982,058","$1,200,000",13
Manhattan,Lincoln Square,Residential,Condo,20/Q1,"$37,220,886","$2,658,635","$2,193,500",14
Manhattan,Lincoln Square,Residential,Co-op,20/Q1,"$8,860,000","$1,772,000","$1,195,000",5
Manhattan,Lower East Side,Residential,Condo,20/Q1,"$3,162,000","$1,054,000","$1,100,000",3
Manhattan,Lower East Side,Residential,Co-op,20/Q1,"$1,287,500","$643,750","$643,750",2
Manhattan,Manhattan Valley,Residential,Condo,20/Q1,"$646,500","$646,500","$646,500",1
Manhattan,Manhattan Valley,Residential,Co-op,20/Q1,"$270,000","$270,000","$270,000",1
Manhattan,Marble Hill,Residential,Condo,20/Q1,"$390,000","$390,000","$390,000",1
Manhattan,Murray Hill,Residential,Condo,20/Q1,"$940,000","$940,000","$940,000",1
Manhattan,Murray Hill,Residential,Co-op,20/Q1,"$790,000","$395,000","$395,000",2
Manhattan,Noho,Residential,Co-op,20/Q1,"$2,350,000","$2,350,000","$2,350,000",1
Manhattan,NoMad,Residential,Condo,20/Q1,"$6,500,000","$3,250,000","$3,250,000",2
Manhattan,NoMad,Residential,Co-op,20/Q1,"$495,000","$495,000","$495,000",1
Manhattan,Plaza District,Residential,Condo,20/Q1,"$3,275,000","$3,275,000","$3,275,000",1
Manhattan,Plaza District,Residential,Co-op,20/Q1,"$1,079,000","$539,500","$539,500",2
Manhattan,Sixth Avenue,Residential,Condo,20/Q1,"$14,065,848","$3,516,462","$3,017,020",4
Manhattan,SoHo,Residential,Condo,20/Q1,"$6,925,000","$3,462,500","$3,462,500",2
Manhattan,SoHo,Residential,Co-op,20/Q1,"$3,170,000","$1,585,000","$1,585,000",2
Manhattan,SoHo,Residential,Multi-Family Dwelling,20/Q1,"$13,450,000","$13,450,000","$13,450,000",1
Manhattan,South Harlem,Residential,Condo,20/Q1,"$3,720,000","$1,240,000","$1,430,000",3
Manhattan,South Harlem,Residential,Co-op,20/Q1,"$570,000","$570,000","$570,000",1
Manhattan,South Harlem,Residential,Multi-Family Dwelling,20/Q1,"$3,900,000","$3,900,000","$3,900,000",1
Manhattan,South Harlem,Residential,Single-Family Home,20/Q1,"$2,999,000","$2,999,000","$2,999,000",1
Manhattan,Sutton Place,Residential,Condo,20/Q1,"$3,405,000","$1,135,000","$1,250,000",3
Manhattan,Sutton Place,Residential,Co-op,20/Q1,"$9,438,539","$858,049","$755,000",11
Manhattan,Times Square,Residential,Condo,20/Q1,"$1,245,000","$622,500","$622,500",2
Manhattan,Times Square,Residential,Co-op,20/Q1,"$1,386,380","$462,127","$346,380",3
Manhattan,Times Square North,Residential,Condo,20/Q1,"$2,440,186","$1,220,093","$1,220,093",2
Manhattan,Tribeca,Residential,Condo,20/Q1,"$50,770,034","$3,905,387","$3,223,780",13
Manhattan,Tribeca,Residential,Co-op,20/Q1,"$8,555,000","$2,851,667","$3,300,000",3
Manhattan,Turtle Bay,Residential,Condo,20/Q1,"$1,907,000","$953,500","$953,500",2
Manhattan,Turtle Bay,Residential,Co-op,20/Q1,"$5,527,500","$1,381,875","$1,362,500",4
Manhattan,Upper East Side,Residential,Condo,20/Q1,"$2,170,000","$1,085,000","$1,085,000",2
Manhattan,Upper East Side,Residential,Co-op,20/Q1,"$28,950,500","$3,618,813","$3,175,000",8
Manhattan,Upper East Side,Residential,Multi-Family Dwelling,20/Q1,"$6,700,000","$6,700,000","$6,700,000",1
Manhattan,Upper West Side,Residential,Condo,20/Q1,"$13,871,500","$1,981,643","$866,500",7
Manhattan,Upper West Side,Residential,Co-op,20/Q1,"$28,815,252","$1,800,953","$1,369,500",16
Manhattan,Washington Heights,Residential,Condo,20/Q1,"$600,000","$600,000","$600,000",1
Manhattan,Washington Heights,Residential,Co-op,20/Q1,"$430,000","$430,000","$430,000",1
Manhattan,West Village,Residential,Condo,20/Q1,"$10,500,000","$10,500,000","$10,500,000",1
Manhattan,West Village,Residential,Co-op,20/Q1,"$1,314,000","$657,000","$657,000",2
Manhattan,West Village,Residential,Multi-Family Dwelling,20/Q1,"$6,240,000","$6,240,000","$6,240,000",1
Manhattan,Yorkville,Residential,Condo,20/Q1,"$6,224,800","$1,244,960","$750,000",5
Manhattan,Yorkville,Residential,Co-op,20/Q1,"$8,871,500","$739,292","$650,000",12
Manhattan,,Residential,Condo,20/Q1,"$13,990,000","$4,663,333","$4,990,000",3
Manhattan,,Residential,Co-op,20/Q1,"$2,209,990","$1,104,995","$1,104,995",2
Queens,Astoria,Residential,Condo,20/Q1,"$3,719,687","$619,948","$590,384",6
Queens,Astoria,Residential,Co-op,20/Q1,"$160,000","$160,000","$160,000",1
Queens,Astoria,Residential,Multi-Family Dwelling,20/Q1,"$6,675,000","$2,225,000","$1,755,000",3
Queens,Auburndale,Residential,Multi-Family Dwelling,20/Q1,"$1,507,010","$1,507,010","$1,507,010",1
Queens,Bayside,Residential,Condo,20/Q1,"$750,000","$750,000","$750,000",1
Queens,Bayside,Residential,Multi-Family Dwelling,20/Q1,"$5,984,000","$997,333","$850,000",6
Queens,Bayside,Residential,Single-Family Home,20/Q1,"$4,076,000","$815,200","$780,000",5
Queens,Bayswater,Residential,Multi-Family Dwelling,20/Q1,"$640,000","$640,000","$640,000",1
Queens,Bay Terrace,Residential,Co-op,20/Q1,"$595,000","$297,500","$297,500",2
Queens,Beechhurst,Residential,Co-op,20/Q1,"$623,000","$311,500","$311,500",2
Queens,Beechhurst,Residential,Single-Family Home,20/Q1,"$1,100,000","$1,100,000","$1,100,000",1
Queens,Belle Harbor,Residential,Single-Family Home,20/Q1,"$1,445,000","$722,500","$722,500",2
Queens,Bellerose,Residential,Single-Family Home,20/Q1,"$3,740,000","$623,333","$622,500",6
Queens,Briarwood,Residential,Co-op,20/Q1,"$200,000","$200,000","$200,000",1
Queens,Briarwood,Residential,Multi-Family Dwelling,20/Q1,"$1,330,000","$1,330,000","$1,330,000",1
Queens,Briarwood,Residential,Single-Family Home,20/Q1,"$1,515,000","$757,500","$757,500",2
Queens,Broad Channel,Residential,Multi-Family Dwelling,20/Q1,"$908,920","$454,460","$454,460",2
Queens,Brookville,Residential,Multi-Family Dwelling,20/Q1,"$855,000","$855,000","$855,000",1
Queens,Brookville,Residential,Single-Family Home,20/Q1,"$325,000","$325,000","$325,000",1
Queens,Cambria Heights,Residential,Single-Family Home,20/Q1,"$1,652,500","$550,833","$555,000",3
Queens,Clearview,Residential,Co-op,20/Q1,"$280,000","$280,000","$280,000",1
Queens,Clearview,Residential,Single-Family Home,20/Q1,"$1,515,000","$757,500","$757,500",2
Queens,College Point,Residential,Condo,20/Q1,"$949,300","$474,650","$474,650",2
Queens,College Point,Residential,Multi-Family Dwelling,20/Q1,"$1,690,000","$845,000","$845,000",2
Queens,College Point,Residential,Single-Family Home,20/Q1,"$1,379,888","$689,944","$689,944",2
Queens,Corona,Residential,Condo,20/Q1,"$695,320","$347,660","$347,660",2
Queens,Corona,Residential,Single-Family Home,20/Q1,"$820,000","$820,000","$820,000",1
Queens,Douglaston,Residential,Co-op,20/Q1,"$1,330,000","$443,333","$510,000",3
Queens,Douglaston,Residential,Single-Family Home,20/Q1,"$866,169","$866,169","$866,169",1
Queens,East Elmont,Residential,Single-Family Home,20/Q1,"$1,909,308","$636,436","$590,000",3
Queens,East Flushing,Residential,Condo,20/Q1,"$490,000","$490,000","$490,000",1
Queens,East Flushing,Residential,Co-op,20/Q1,"$380,000","$380,000","$380,000",1
