address,developer,units,acerage,price_sale,price_loan,loan_financer,category,description,story_link
2634 Northeast Second Avenue,Trilogy Real Estate Group,,0.6,9800000,na,na,,"<a href=""https://therealdeal.com/miami/2021/12/29/chicago-firm-plans-apartments-commercial-complex-on-edgewater-oz-site/"">Trilogy Real Estate</a> paid $9.8 million for three properties — 2634 Northeast Second Avenue, 192 Northeast 27th Street, 186 Northeast 27th Street — and has plans to build a mix of residential and commercial buildings.",https://therealdeal.com/miami/2021/12/29/chicago-firm-plans-apartments-commercial-complex-on-edgewater-oz-site/
192 Northeast 27th Street,Trilogy Real Estate Group,unknown,0.6,9800000,na,na,,"<a href=""https://therealdeal.com/miami/2021/12/29/chicago-firm-plans-apartments-commercial-complex-on-edgewater-oz-site/"">Trilogy Real Estate</a> paid $9.8 million for three properties — 2634 Northeast Second Avenue, 192 Northeast 27th Street, 186 Northeast 27th Street — and has plans to build a mix of residential and commercial buildings.",https://therealdeal.com/miami/2021/12/29/chicago-firm-plans-apartments-commercial-complex-on-edgewater-oz-site/
186 Northeast 27th Street,Trilogy Real Estate Group,commercial property,0.6,9800000,na,na,,"<a href=""https://therealdeal.com/miami/2021/12/29/chicago-firm-plans-apartments-commercial-complex-on-edgewater-oz-site/"">Trilogy Real Estate</a> paid $9.8 million for three properties — 2634 Northeast Second Avenue, 192 Northeast 27th Street, 186 Northeast 27th Street — and has plans to build a mix of residential and commercial buildings.",https://therealdeal.com/miami/2021/12/29/chicago-firm-plans-apartments-commercial-complex-on-edgewater-oz-site/
480 Northeast 29th Street,"SB Development Group, Hazelton Capital Group",,0.6,12200000,na,na,planned,"<a href=""https://therealdeal.com/miami/2021/08/11/new-york-developers-buy-edgewater-assemblage-for-boutique-high-rise/"">Two NYC development firms </a>have teamed up to redevelop three bayfront properties — 480 Northeast 29th Street, 456 Northeast 29th Street and 496 Northeast 29th Street. Architects Kobi Karp and Dieguez Fridman are collaborating on the project.",https://therealdeal.com/miami/2021/08/11/new-york-developers-buy-edgewater-assemblage-for-boutique-high-rise/
456 Northeast 29th Street,"SB Development Group, Hazelton Capital Group",,0.6,12200000,na,na,planned,"<a href=""https://therealdeal.com/miami/2021/08/11/new-york-developers-buy-edgewater-assemblage-for-boutique-high-rise/"">Two NYC development firms </a>have teamed up to redevelop three bayfront properties — 480 Northeast 29th Street, 456 Northeast 29th Street and 496 Northeast 29th Street. Architects Kobi Karp and Dieguez Fridman are collaborating on the project.",https://therealdeal.com/miami/2021/08/11/new-york-developers-buy-edgewater-assemblage-for-boutique-high-rise/
496 Northeast 29th Street,"SB Development Group, Hazelton Capital Group",,0.6,12200000,na,na,planned,"<a href=""https://therealdeal.com/miami/2021/08/11/new-york-developers-buy-edgewater-assemblage-for-boutique-high-rise/"">Two NYC development firms </a>have teamed up to redevelop three bayfront properties — 480 Northeast 29th Street, 456 Northeast 29th Street and 496 Northeast 29th Street. Architects Kobi Karp and Dieguez Fridman are collaborating on the project.",https://therealdeal.com/miami/2021/08/11/new-york-developers-buy-edgewater-assemblage-for-boutique-high-rise/
116 Northeast 24th Street,Omni New York,TBD,0.7,7200000,na,na,planned,"<a href=""https://therealdeal.com/miami/2021/11/04/mlbs-mo-the-hit-dog-vaughn-scores-edgewater-dev-site-for-apartments/"">Owned by former baseball</a> first baseman Mo ""The Hit Dog"" Vaughn, Omni New York plans to build a yet-to-be-determined number of market-rate apartments. Current zoning for the site allows for up to eight stories and 100 units",https://therealdeal.com/miami/2021/11/04/mlbs-mo-the-hit-dog-vaughn-scores-edgewater-dev-site-for-apartments/
711 Northeast 23rd Terrace,Melo Group,800,5,,,,planned,"<a href=""https://therealdeal.com/miami/2021/06/15/seeing-double-melo-joins-miami-condo-craze-with-two-tower-edgewater-project/"">Designed by Bernardo Fort-Brescia of Arquitectonica</a>, the two-tower project will have 800 units between $750K and $12 million. Sales have launched.",https://therealdeal.com/miami/2021/06/15/seeing-double-melo-joins-miami-condo-craze-with-two-tower-edgewater-project/
2501 Biscayne Boulevard,"Arch Companies, Infinity Real Estate",250,1+ ,13000000,na,na,planned,"<a href=""https://therealdeal.com/miami/2021/06/14/arch-infinity-jv-to-build-mixed-use-multifamily-tower-in-miamis-edgewater/"">Arch Companies and Infinity Real Estate</a> plan a 250-unit, 20-plus-story building. Mimi's Cafe, a pop-up created by Arch and Michael Kaplan's New Wave Hospitality group, will open during the planning phase of the project.",https://therealdeal.com/miami/2021/06/14/arch-infinity-jv-to-build-mixed-use-multifamily-tower-in-miamis-edgewater/
555 Northeast 34th Street,Aimco,271,,89600000,,,proposed,"<a href=""https://therealdeal.com/miami/2022/05/26/aimco-plans-60-story-apartment-tower-on-waterfront-site-in-miamis-edgewater/"">Denver-based Aimco</a> proposed a 28-story, 271-unit bayfront building at 555, 560, 600, 610, 620, 630 and 640 Northeast 34th Street",
