,neighborhood,borough,Quarter/Year,property_group,trd_doc_classification,SUM of doc_amount,MEDIAN of doc_amount,AVERAGE of doc_amount,SUM of bbl_count,year
480,Bensonhurst,Brooklyn,Q1 2024,Mixed-Use,Commercial,"$1,480,000","$1,480,000","$1,480,000",1,2024
483,Bensonhurst,Brooklyn,Q1 2025,Mixed-Use,Commercial,"$9,780,000","$1,750,000","$1,956,000",5,2025
484,Bensonhurst,Brooklyn,Q1 2025,Multi-Family Dwelling,Commercial,"$7,669,765","$1,560,000","$1,533,953",5,2025
487,Bensonhurst,Brooklyn,Q1 2026,Co-op,Commercial,"$901,630","$901,630","$901,630",1,2026
490,Bensonhurst,Brooklyn,Q1 2026,Mixed-Use,Commercial,"$7,104,200","$1,150,000","$1,184,033",6,2026
491,Bensonhurst,Brooklyn,Q1 2026,Multi-Family Dwelling,Commercial,"$19,285,000","$1,800,000","$1,753,182",11,2026
496,Bensonhurst,Brooklyn,Q2 2025,Mixed-Use,Commercial,"$9,473,500","$1,750,000","$1,894,700",5,2025
497,Bensonhurst,Brooklyn,Q2 2025,Multi-Family Dwelling,Commercial,"$10,425,000","$1,650,000","$2,085,000",5,2025
499,Bensonhurst,Brooklyn,Q2 2025,Single-Family Home,Commercial,"$14,250,000","$14,250,000","$14,250,000",1,2025
503,Bensonhurst,Brooklyn,Q3 2025,Mixed-Use,Commercial,"$4,080,000","$1,500,000","$1,360,000",3,2025
504,Bensonhurst,Brooklyn,Q3 2025,Multi-Family Dwelling,Commercial,"$11,780,500","$1,788,000","$1,682,929",7,2025
506,Bensonhurst,Brooklyn,Q3 2025,Retail,Commercial,"$2,045,000","$2,045,000","$2,045,000",1,2025
514,Bensonhurst,Brooklyn,Q4 2025,Mixed-Use,Commercial,"$4,150,000","$1,300,000","$1,383,333",3,2025
515,Bensonhurst,Brooklyn,Q4 2025,Multi-Family Dwelling,Commercial,"$21,898,160","$1,895,660","$1,990,742",11,2025
517,Bensonhurst,Brooklyn,Q4 2025,Office,Commercial,"$2,400,000","$2,400,000","$2,400,000",1,2025
530,Bergen Beach,Brooklyn,Q3 2025,Condo,Commercial,"$524,705","$524,705","$524,705",1,2025
543,Boerum Hill,Brooklyn,Q1 2025,Multi-Family Dwelling,Commercial,"$4,875,000","$2,437,500","$2,437,500",2,2025
548,Boerum Hill,Brooklyn,Q1 2026,Industrial,Commercial,"$1,175,000","$1,175,000","$1,175,000",1,2026
549,Boerum Hill,Brooklyn,Q1 2026,Land,Commercial,"$4,000,000","$4,000,000","$4,000,000",1,2026
550,Boerum Hill,Brooklyn,Q1 2026,Multi-Family Dwelling,Commercial,"$13,390,000","$3,095,000","$3,347,500",4,2026
554,Boerum Hill,Brooklyn,Q2 2025,Condo,Commercial,"$349,995","$349,995","$349,995",1,2025
558,Boerum Hill,Brooklyn,Q3 2024,Condo,Commercial,"$602,696","$602,696","$602,696",1,2024
561,Boerum Hill,Brooklyn,Q3 2025,Multi-Family Dwelling,Commercial,"$10,030,000","$5,015,000","$5,015,000",2,2025
567,Boerum Hill,Brooklyn,Q4 2025,Condo,Commercial,"$782,250","$782,250","$782,250",1,2025
569,Boerum Hill,Brooklyn,Q4 2025,Mixed-Use,Commercial,"$7,850,000","$7,850,000","$7,850,000",1,2025
570,Boerum Hill,Brooklyn,Q4 2025,Multi-Family Dwelling,Commercial,"$55,125,000","$14,000,000","$18,375,000",3,2025
574,Borough Park,Brooklyn,Q1 2025,Condo,Commercial,"$2,741,788","$2,741,788","$2,741,788",1,2025
576,Borough Park,Brooklyn,Q1 2025,Mixed-Use,Commercial,"$16,130,000","$2,400,000","$2,304,286",7,2025
577,Borough Park,Brooklyn,Q1 2025,Multi-Family Dwelling,Commercial,"$9,450,000","$1,350,000","$1,575,000",6,2025
581,Borough Park,Brooklyn,Q1 2026,Condo,Commercial,"$457,194","$457,194","$457,194",1,2026
583,Borough Park,Brooklyn,Q1 2026,Industrial,Commercial,"$4,200,000","$4,200,000","$4,200,000",1,2026
584,Borough Park,Brooklyn,Q1 2026,Mixed-Use,Commercial,"$11,475,000","$2,287,500","$2,868,750",4,2026
585,Borough Park,Brooklyn,Q1 2026,Multi-Family Dwelling,Commercial,"$11,756,500","$1,700,000","$1,959,417",6,2026
589,Borough Park,Brooklyn,Q2 2025,Condo,Commercial,"$9,600,000","$9,600,000","$9,600,000",1,2025
591,Borough Park,Brooklyn,Q2 2025,Mixed-Use,Commercial,"$18,527,503","$1,800,000","$2,058,611",9,2025
592,Borough Park,Brooklyn,Q2 2025,Multi-Family Dwelling,Commercial,"$8,798,000","$1,678,000","$1,759,600",5,2025
597,Borough Park,Brooklyn,Q3 2025,Condo,Commercial,"$600,000","$600,000","$600,000",1,2025
599,Borough Park,Brooklyn,Q3 2025,Mixed-Use,Commercial,"$20,147,717","$1,840,000","$2,238,635",9,2025
600,Borough Park,Brooklyn,Q3 2025,Multi-Family Dwelling,Commercial,"$11,640,000","$1,500,000","$1,662,857",7,2025
602,Borough Park,Brooklyn,Q3 2025,Office,Commercial,"$42,300,000","$42,300,000","$42,300,000",1,2025
605,Borough Park,Brooklyn,Q4 2024,Land,Commercial,"$2,100,000","$2,100,000","$2,100,000",1,2024
606,Borough Park,Brooklyn,Q4 2024,Mixed-Use,Commercial,"$8,600,000","$4,300,000","$4,300,000",2,2024
607,Borough Park,Brooklyn,Q4 2024,Multi-Family Dwelling,Commercial,"$2,150,000","$2,150,000","$2,150,000",1,2024
611,Borough Park,Brooklyn,Q4 2025,Mixed-Use,Commercial,"$2,750,000","$2,750,000","$2,750,000",1,2025
612,Borough Park,Brooklyn,Q4 2025,Multi-Family Dwelling,Commercial,"$9,025,000","$2,412,500","$2,256,250",4,2025
635,Briarwood,Queens,Q4 2025,Multi-Family Dwelling,Commercial,"$1,150,000","$1,150,000","$1,150,000",1,2025
639,Brighton Beach,Brooklyn,Q1 2025,Condo,Commercial,"$1,800,000","$1,800,000","$1,800,000",1,2025
641,Brighton Beach,Brooklyn,Q1 2025,Industrial,Commercial,"$4,200,000","$4,200,000","$4,200,000",1,2025
642,Brighton Beach,Brooklyn,Q1 2025,Multi-Family Dwelling,Commercial,"$1,475,000","$1,475,000","$1,475,000",1,2025
647,Brighton Beach,Brooklyn,Q1 2026,Mixed-Use,Commercial,"$1,250,000","$1,250,000","$1,250,000",1,2026
648,Brighton Beach,Brooklyn,Q1 2026,Multi-Family Dwelling,Commercial,"$2,250,000","$1,125,000","$1,125,000",2,2026
651,Brighton Beach,Brooklyn,Q2 2025,Co-op,Commercial,"$285,000","$285,000","$285,000",1,2025
654,Brighton Beach,Brooklyn,Q2 2025,Mixed-Use,Commercial,"$1,994,000","$1,994,000","$1,994,000",1,2025
655,Brighton Beach,Brooklyn,Q2 2025,Multi-Family Dwelling,Commercial,"$3,125,500","$1,149,500","$1,041,833",3,2025
658,Brighton Beach,Brooklyn,Q3 2025,Co-op,Commercial,"$785,000","$392,500","$392,500",2,2025
668,Brighton Beach,Brooklyn,Q4 2025,Mixed-Use,Commercial,"$1,850,000","$1,850,000","$1,850,000",1,2025
669,Brighton Beach,Brooklyn,Q4 2025,Multi-Family Dwelling,Commercial,"$12,875,000","$12,875,000","$12,875,000",1,2025
671,Brighton Beach,Brooklyn,Q4 2025,Office,Commercial,"$1,360,000","$1,360,000","$1,360,000",1,2025
677,Broad Channel,Queens,Q3 2025,Land,Commercial,"$250,000","$250,000","$250,000",1,2025
678,Broad Channel,Queens,Q3 2025,Mixed-Use,Commercial,"$825,000","$825,000","$825,000",1,2025
681,Broad Channel,Queens,Q4 2024,Single-Family Home,Commercial,"$430,000","$430,000","$430,000",1,2024
686,Bronxdale,Bronx,Q1 2025,Mixed-Use,Commercial,"$1,600,000","$1,600,000","$1,600,000",1,2025
692,Bronxdale,Bronx,Q2 2025,Multi-Family Dwelling,Commercial,"$54,986,130","$7,626,245","$9,164,355",6,2025
695,Bronxdale,Bronx,Q4 2024,Multi-Family Dwelling,Commercial,"$5,067,362","$5,067,362","$5,067,362",1,2024
699,Bronxwood,Bronx,Q1 2025,Multi-Family Dwelling,Commercial,"$4,100,000","$4,100,000","$4,100,000",1,2025
704,Bronxwood,Bronx,Q1 2026,Mixed-Use,Commercial,"$1,200,000","$1,200,000","$1,200,000",1,2026
709,Bronxwood,Bronx,Q2 2025,Mixed-Use,Commercial,"$1,387,500","$693,750","$693,750",2,2025
710,Bronxwood,Bronx,Q2 2025,Multi-Family Dwelling,Commercial,"$11,048,000","$999,000","$2,209,600",5,2025
714,Bronxwood,Bronx,Q3 2025,Multi-Family Dwelling,Commercial,"$2,105,000","$1,052,500","$1,052,500",2,2025
724,Brooklyn Heights,Brooklyn,Q1 2025,Multi-Family Dwelling,Commercial,"$12,774,000","$6,387,000","$6,387,000",2,2025
727,Brooklyn Heights,Brooklyn,Q1 2026,Co-op,Commercial,"$600,000","$600,000","$600,000",1,2026
730,Brooklyn Heights,Brooklyn,Q1 2026,Multi-Family Dwelling,Commercial,"$27,900,000","$6,050,000","$9,300,000",3,2026
734,Brooklyn Heights,Brooklyn,Q2 2025,Condo,Commercial,"$8,566,884","$8,566,884","$8,566,884",1,2025
736,Brooklyn Heights,Brooklyn,Q2 2025,Multi-Family Dwelling,Commercial,"$7,350,000","$7,350,000","$7,350,000",1,2025
739,Brooklyn Heights,Brooklyn,Q3 2025,Co-op,Commercial,"$1,000,000","$1,000,000","$1,000,000",1,2025
742,Brooklyn Heights,Brooklyn,Q3 2025,Land,Commercial,"$5,400,000","$5,400,000","$5,400,000",1,2025
743,Brooklyn Heights,Brooklyn,Q3 2025,Multi-Family Dwelling,Commercial,"$10,100,000","$5,050,000","$5,050,000",2,2025
750,Brooklyn Heights,Brooklyn,Q4 2025,Multi-Family Dwelling,Commercial,"$10,795,000","$5,397,500","$5,397,500",2,2025
752,Brooklyn Heights,Brooklyn,Q4 2025,Office,Commercial,"$140,500,000","$140,500,000","$140,500,000",1,2025
763,Brookville,Queens,Q4 2025,Land,Commercial,"$8,872,370","$8,872,370","$8,872,370",1,2025
765,Brookville,Queens,Q4 2025,Single-Family Home,Commercial,"$775,000","$775,000","$775,000",1,2025
767,Brownsville,Brooklyn,Q1 2025,Mixed-Use,Commercial,"$925,000","$925,000","$925,000",1,2025
768,Brownsville,Brooklyn,Q1 2025,Multi-Family Dwelling,Commercial,"$8,821,771","$911,771","$980,197",9,2025
771,Brownsville,Brooklyn,Q1 2026,Mixed-Use,Commercial,"$2,200,000","$750,000","$733,333",3,2026
772,Brownsville,Brooklyn,Q1 2026,Multi-Family Dwelling,Commercial,"$14,845,391","$988,869","$927,837",16,2026
775,Brownsville,Brooklyn,Q2 2025,Multi-Family Dwelling,Commercial,"$8,144,950","$1,062,500","$1,018,119",8,2025
778,Brownsville,Brooklyn,Q3 2024,Mixed-Use,Commercial,"$930,000","$930,000","$930,000",1,2024
780,Brownsville,Brooklyn,Q3 2025,Mixed-Use,Commercial,"$1,300,000","$1,300,000","$1,300,000",1,2025
781,Brownsville,Brooklyn,Q3 2025,Multi-Family Dwelling,Commercial,"$9,319,713","$1,000,000","$1,035,524",9,2025
784,Brownsville,Brooklyn,Q4 2024,Multi-Family Dwelling,Commercial,"$3,577,000","$838,500","$894,250",4,2024
787,Brownsville,Brooklyn,Q4 2025,Mixed-Use,Commercial,"$1,680,000","$840,000","$840,000",2,2025
788,Brownsville,Brooklyn,Q4 2025,Multi-Family Dwelling,Commercial,"$15,060,968","$1,100,000","$1,158,536",13,2025
809,Bushwick,Brooklyn,Q1 2025,Mixed-Use,Commercial,"$3,750,000","$1,875,000","$1,875,000",2,2025
810,Bushwick,Brooklyn,Q1 2025,Multi-Family Dwelling,Commercial,"$24,852,500","$1,125,000","$2,071,042",12,2025
814,Bushwick,Brooklyn,Q1 2026,Mixed-Use,Commercial,"$11,098,345","$1,287,500","$1,387,293",8,2026
815,Bushwick,Brooklyn,Q1 2026,Multi-Family Dwelling,Commercial,"$14,821,000","$1,756,500","$1,646,778",9,2026
820,Bushwick,Brooklyn,Q2 2025,Mixed-Use,Commercial,"$4,450,000","$2,225,000","$2,225,000",2,2025
821,Bushwick,Brooklyn,Q2 2025,Multi-Family Dwelling,Commercial,"$17,800,000","$850,000","$1,047,059",17,2025
827,Bushwick,Brooklyn,Q3 2025,Mixed-Use,Commercial,"$4,850,500","$1,550,500","$1,616,833",3,2025
828,Bushwick,Brooklyn,Q3 2025,Multi-Family Dwelling,Commercial,"$15,076,852","$1,961,000","$1,884,607",8,2025
832,Bushwick,Brooklyn,Q4 2024,Mixed-Use,Commercial,"$1,650,000","$1,650,000","$1,650,000",1,2024
833,Bushwick,Brooklyn,Q4 2024,Multi-Family Dwelling,Commercial,"$10,950,233","$1,820,616","$1,825,039",6,2024
837,Bushwick,Brooklyn,Q4 2025,Mixed-Use,Commercial,"$8,214,000","$1,950,000","$2,053,500",4,2025
838,Bushwick,Brooklyn,Q4 2025,Multi-Family Dwelling,Commercial,"$28,975,000","$1,392,500","$1,810,938",16,2025
844,Cambria Heights,Queens,Q1 2026,Land,Commercial,"$275,000","$275,000","$275,000",1,2026
849,Cambria Heights,Queens,Q3 2025,Mixed-Use,Commercial,"$735,000","$735,000","$735,000",1,2025
854,Cambria Heights,Queens,Q4 2025,Mixed-Use,Commercial,"$920,000","$920,000","$920,000",1,2025
858,Canarsie,Brooklyn,Q1 2025,Mixed-Use,Commercial,"$1,050,000","$1,050,000","$1,050,000",1,2025
859,Canarsie,Brooklyn,Q1 2025,Multi-Family Dwelling,Commercial,"$730,000","$730,000","$730,000",1,2025
863,Canarsie,Brooklyn,Q1 2026,Mixed-Use,Commercial,"$2,390,000","$1,195,000","$1,195,000",2,2026
865,Canarsie,Brooklyn,Q1 2026,Single-Family Home,Commercial,"$610,000","$610,000","$610,000",1,2026
870,Canarsie,Brooklyn,Q2 2025,Mixed-Use,Commercial,"$2,425,000","$1,212,500","$1,212,500",2,2025
871,Canarsie,Brooklyn,Q2 2025,Multi-Family Dwelling,Commercial,"$2,123,000","$1,061,500","$1,061,500",2,2025
875,Canarsie,Brooklyn,Q3 2025,Multi-Family Dwelling,Commercial,"$1,090,400","$1,090,400","$1,090,400",1,2025
